거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"20,200",,2003,2020,역삼동,우림루미아트1,1,3,24,,706-11,11680,8,,
"77,000",,2004,2020,역삼동,현대하이츠,1,3,99.22,,775-15,11680,4,,
"39,500",,1996,2020,역삼동,한스빌(836),1,4,41.95,,836,11680,11,,
"85,000",,2012,2020,역삼동,강남서해더블루,1,6,62.26,,796-29,11680,10,,
"148,800",,1998,2020,역삼동,동부센트레빌,1,6,59.82,,716,11680,21,,
"56,000",,2002,2020,역삼동,트레벨,1,6,33.48,,766-8,11680,4,,
"20,400",,2003,2020,역삼동,우림루미아트1,1,6,23.9,,706-11,11680,7,,
"20,500",,2003,2020,역삼동,우림루미아트1,1,9,23.9,,706-11,11680,10,,
"74,950",,2002,2020,역삼동,갤러리하우스,1,9,76.52,,783-3,11680,5,,
"208,000",,2006,2020,역삼동,역삼푸르지오,1,11,84.9097,,754-1,11680,2,,
"157,500",,2005,2020,역삼동,역삼래미안,1,11,59.4,,757,11680,20,,
"270,000",,2006,2020,역삼동,역삼I'PARK,1,13,130.156,,713-11,11680,16,,
"45,000",,2002,2020,역삼동,풍림지오빌,1,13,42.69,,635-5,11680,3,,
"125,000",,2004,2020,역삼동,성영forU,1,14,115.4,,681-46,11680,3,,
"55,000",,1998,2020,역삼동,세종빌라트,1,15,122.45,,791-23,11680,1,,
"65,000",,2004,2020,역삼동,역삼동우정에쉐르1,1,16,57.98,,826-29,11680,12,,
"58,000",,2001,2020,역삼동,역삼예명,1,18,67.08,,664-5,11680,3,,
"32,000",,2002,2020,역삼동,대우디오빌,1,20,30.03,,720-25,11680,6,,
"35,800",,2001,2020,역삼동,한화진넥스빌,1,20,39.2,,706-20,11680,13,,
"55,500",,2003,2020,역삼동,지석천평대,1,28,63.03,,789-29,11680,4,,
"285,000",,2019,2020,개포동,디에이치아너힐즈,1,4,94.29,,138,11680,12,,
"124,500",,1992,2020,개포동,성원대치2단지아파트,1,4,49.86,,12,11680,6,,
"203,000",,2004,2020,개포동,개포자이(12-2),1,6,134.3,,12-2,11680,17,,
"220,000",,1984,2020,개포동,개포우성3차,1,9,133.46,,652,11680,3,,
"103,000",,1992,2020,개포동,성원대치2단지아파트,1,10,39.53,,12,11680,2,,
"146,000",,1992,2020,개포동,삼익대청아파트,1,11,60,,12,11680,14,,
"171,000",,1983,2020,개포동,개포주공7단지,1,12,60.76,,185,11680,2,,
"111,000",,1992,2020,개포동,성원대치2단지아파트,1,13,39.53,,12,11680,14,,
"180,000",,1983,2020,개포동,개포주공6단지,1,14,60.13,,185,11680,14,,
"188,000",,2019,2020,개포동,래미안블레스티지,1,17,59.897,,1280,11680,4,,
"107,000",,1992,2020,개포동,성원대치2단지아파트,1,28,39.53,,12,11680,3,,
"100,500",,1992,2020,개포동,삼익대청아파트,1,31,39.53,,12,11680,13,,
"60,000",,2005,2020,청담동,휴먼스타빌,1,4,35.905,,5-25,11680,22,,
"195,000",,2002,2020,청담동,청담대림이-편한세상,1,10,113.57,,30-33,11680,8,,
"176,000",,2011,2020,청담동,청담자이,1,11,49.618,,134-38,11680,24,,
"22,000",,2015,2020,청담동,청담스위트,1,14,14.224,,34-13,11680,3,,
"143,000",,2007,2020,청담동,청담범신칼릭스빌2차,1,15,102.69,,109-16,11680,3,,
"144,000",,1999,2020,청담동,삼환아파트101동,1,18,84.88,,10,11680,1,,
"21,600",,2015,2020,청담동,청담스위트,1,18,13.425,,34-13,11680,3,,
"167,000",,1999,2020,청담동,삼환아파트101동,1,18,114.97,,10,11680,5,,
"176,000",,2011,2020,청담동,청담자이,1,30,49.619,,134-38,11680,26,,
"23,000",,2015,2020,청담동,청담스위트,1,31,13.425,,34-13,11680,3,,
"224,500",,2008,2020,삼성동,현대힐스테이트2단지,1,3,84.679,,50,11680,5,,
"124,500",,2008,2020,삼성동,현대힐스테이트2단지,1,8,38.671,,50,11680,21,,
"145,000",,1998,2020,삼성동,서광아파트,1,10,59.67,,2,11680,4,,
"148,000",,2004,2020,삼성동,미켈란147,1,10,83.69,,147-2,11680,16,,
"161,000",,2005,2020,삼성동,삼성펠리스,1,16,174.1,,129-5,11680,6,,
"295,000",,2005,2020,삼성동,삼성동롯데캐슬킹덤,1,17,170.8,,43,11680,12,,
"145,000",,2006,2020,삼성동,삼성팰리스(71-16),1,20,114.26,,71-16,11680,8,,
"245,000",,2005,2020,삼성동,레미안삼성1차(101동),1,30,125.8,,104-10,11680,11,,
"300,000",,2008,2020,대치동,대치아이파크,1,2,114.97,,888,11680,10,,
"247,000",,2004,2020,대치동,포스코더샵,1,2,139.54,,902,11680,3,,
"340,000",,2015,2020,대치동,래미안대치팰리스,1,4,94.5,,1027,11680,11,,
"84,000",,2004,2020,대치동,대치동우정에쉐르1,1,7,79.07,,891-28,11680,2,,
"24,500",,2004,2020,대치동,선릉역대우아이빌(890-49),1,8,25.42,,890-49,11680,14,,
"375,000",,2005,2020,대치동,동부센트레빌,1,9,145.83,,670,11680,8,,
