거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"44,700",,2013,2020,미아동,이너스내안에,1,1,84.96,,1361,11305,6,,
"52,800",,2004,2020,미아동,에스케이북한산시티,1,1,84.86,,1353,11305,21,,
"56,000",,2010,2020,미아동,삼성래미안트리베라2단지,1,1,59.38,,812,11305,2,,
"55,000",,2004,2020,미아동,에스케이북한산시티,1,1,84.86,,1353,11305,20,,
"52,850",,2004,2020,미아동,에스케이북한산시티,1,1,84.92,,1353,11305,2,,
"50,000",,2003,2020,미아동,경남아너스빌(1356-0),1,1,59.964,,1356,11305,10,,
"54,500",,2004,2020,미아동,벽산라이브파크,1,1,114.68,,1354,11305,11,,
"36,000",,2004,2020,미아동,벽산라이브파크,1,2,59.67,,1354,11305,8,,
"48,800",,2004,2020,미아동,에스케이북한산시티,1,2,84.76,,1353,11305,1,,
"45,800",,2004,2020,미아동,벽산라이브파크,1,2,84.89,,1354,11305,10,,
"57,500",,2004,2020,미아동,에스케이북한산시티,1,2,114.85,,1353,11305,10,,
"45,000",,2004,2020,미아동,에스케이북한산시티,1,3,59.98,,1353,11305,16,,
"61,500",,2004,2020,미아동,에스케이북한산시티,1,3,114.85,,1353,11305,22,,
"45,500",,2004,2020,미아동,에스케이북한산시티,1,3,59.98,,1353,11305,14,,
"45,000",,2004,2020,미아동,에스케이북한산시티,1,3,59.98,,1353,11305,9,,
"74,500",,2010,2020,미아동,삼성래미안트리베라2단지,1,3,84.15,,812,11305,4,,
"72,000",,2017,2020,미아동,꿈의숲롯데캐슬,1,3,59.99,,4,11305,12,,
"54,700",,2011,2020,미아동,두산위브트레지움,1,3,59.54,,811,11305,1,,
"59,000",,2010,2020,미아동,삼성래미안트리베라2단지,1,3,59.38,,812,11305,3,,
"51,500",,2004,2020,미아동,에스케이북한산시티,1,3,84.92,,1353,11305,10,,
"52,900",,2003,2020,미아동,삼각산아이원,1,3,84.705,,1357,11305,2,,
"37,000",,2002,2020,미아동,신대상,1,3,50.12,,137-7,11305,4,,
"47,800",,2004,2020,미아동,벽산라이브파크,1,4,84.89,,1354,11305,5,,
"58,000",,2003,2020,미아동,경남아너스빌(1356-0),1,4,84.873,,1356,11305,2,,
"56,300",,2011,2020,미아동,두산위브트레지움,1,4,59.99,,811,11305,13,,
"58,000",,2004,2020,미아동,에스케이북한산시티,1,6,84.76,,1353,11305,2,,
"48,500",,2004,2020,미아동,벽산라이브파크,1,6,84.89,,1354,11305,4,,
"52,500",,2004,2020,미아동,에스케이북한산시티,1,6,84.86,,1353,11305,11,,
"15,100",,2014,2020,미아동,푸르지오시티,1,6,18.6479,,160-3,11305,15,,
"36,000",,2000,2020,미아동,미아신구,1,6,84.9,,1352,11305,12,,
"51,900",,2004,2020,미아동,에스케이북한산시티,1,7,84.86,,1353,11305,9,,
"47,000",,2003,2020,미아동,삼각산아이원,1,7,59.758,,1357,11305,15,,
"50,000",,2004,2020,미아동,에스케이북한산시티,1,7,84.86,,1353,11305,19,,
"67,300",,2011,2020,미아동,두산위브트레지움,1,7,84.99,,811,11305,20,,
"62,500",,2003,2020,미아동,삼각산아이원,1,7,114.88,,1357,11305,9,,
"62,000",,2004,2020,미아동,에스케이북한산시티,1,8,114.85,,1353,11305,15,,
"44,900",,2004,2020,미아동,에스케이북한산시티,1,8,59.98,,1353,11305,11,,
"48,000",,2004,2020,미아동,벽산라이브파크,1,8,84.89,,1354,11305,13,,
"47,700",,2004,2020,미아동,벽산라이브파크,1,8,84.89,,1354,11305,6,,
"65,000",,2006,2020,미아동,미아동부센트레빌,1,8,59.96,,474,11305,14,,
"77,000",,2006,2020,미아동,미아동부센트레빌,1,8,84.93,,474,11305,6,,
"60,000",,2003,2020,미아동,경남아너스빌(1356-0),1,9,114.922,,1356,11305,1,,
"50,000",,2003,2020,미아동,경남아너스빌(1356-0),1,9,59.964,,1356,11305,9,,
"63,000",,2006,2020,미아동,미아동부센트레빌,1,9,59.96,,474,11305,9,,
"66,800",,2011,2020,미아동,두산위브트레지움,1,9,84.97,,811,11305,14,,
"39,800",,2004,2020,미아동,벽산라이브파크,1,9,60,,1354,11305,2,,
"63,800",,2003,2020,미아동,경남아너스빌(1356-0),1,9,114.922,,1356,11305,7,,
"63,000",,2004,2020,미아동,에스케이북한산시티,1,9,114.85,,1353,11305,17,,
"47,000",,2004,2020,미아동,에스케이북한산시티,1,9,59.98,,1353,11305,24,,
"60,000",,2004,2020,미아동,에스케이북한산시티,1,9,114.85,,1353,11305,6,,
"56,300",,2003,2020,미아동,삼각산아이원,1,9,114.88,,1357,11305,1,,
"62,000",,2004,2020,미아동,에스케이북한산시티,1,10,114.85,,1353,11305,11,,
