거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"66,500",,1998,2020,염창동,동아,1,2,84.95,,292,11500,5,,
"64,000",,1999,2020,염창동,금호타운,1,2,59.88,,240-32,11500,13,,
"41,000",,2006,2020,염창동,노블레스아파트,1,2,78.5,,266-3,11500,9,,
"64,800",,2005,2020,염창동,송촌,1,2,84.99,,264-18,11500,5,,
"45,000",,2007,2020,염창동,노블레스2(267-4),1,3,83.29,,267-4,11500,8,,
"64,400",,1998,2020,염창동,동아,1,3,84.95,,292,11500,2,,
"63,300",,1999,2020,염창동,금호타운,1,3,59.88,,240-32,11500,9,,
"77,000",,2019,2020,염창동,e편한세상염창,1,4,55.0323,,309,11500,4,,
"52,300",,1995,2020,염창동,신동아,1,4,59.82,,289,11500,8,,
"56,500",,1993,2020,염창동,현대2,1,5,84.54,,249-11,11500,9,,
"59,500",,1993,2020,염창동,삼성한아름,1,7,84.93,,264-27,11500,15,,
"64,000",,1999,2020,염창동,극동상록수,1,7,59.91,,280,11500,17,,
"62,000",,1993,2020,염창동,삼성한아름,1,8,84.9,,264-27,11500,6,,
"64,800",,2004,2020,염창동,이너스내안에,1,8,84.91,,254-2,11500,8,,
"56,500",,1995,2020,염창동,삼성한마음,1,9,59.94,,244-2,11500,13,,
"83,000",,1999,2020,염창동,태영,1,10,114.99,,270-1,11500,14,,
"80,000",,2000,2020,염창동,극동,1,10,104.15,,246-23,11500,14,,
"80,000",,2000,2020,염창동,극동,1,11,104.15,,246-23,11500,3,,
"53,300",,1998,2020,염창동,동아,1,11,59.97,,292,11500,16,,
"62,000",,1994,2020,염창동,현대1,1,11,84.34,,288,11500,5,,
"75,500",,1999,2020,염창동,동아3,1,11,84.87,,258-1,11500,7,,
"57,800",,1999,2020,염창동,태영,1,11,59.97,,270-1,11500,15,,
"50,000",,1999,2020,염창동,태영,1,11,59.97,,270-1,11500,11,,
"63,500",,1994,2020,염창동,현대1,1,12,84.34,,288,11500,7,,
"67,000",,2011,2020,염창동,이너스내안에,1,13,84.78,,307,11500,9,,
"54,000",,1995,2020,염창동,신동아,1,13,59.82,,289,11500,14,,
"63,500",,1999,2020,염창동,극동상록수,1,14,59.91,,280,11500,5,,
"56,800",,1998,2020,염창동,동아,1,15,59.97,,292,11500,11,,
"61,500",,1994,2020,염창동,현대1,1,15,84.84,,288,11500,7,,
"127,000",,2005,2020,염창동,염창1차한화꿈에그린,1,15,124.96,,281-22,11500,11,,
"70,000",,1995,2020,염창동,삼성한마음,1,15,84.87,,244-2,11500,13,,
"59,000",,1999,2020,염창동,태영,1,15,59.97,,270-1,11500,11,,
"53,150",,1998,2020,염창동,동아,1,15,59.97,,292,11500,4,,
"76,500",,1999,2020,염창동,동아3,1,15,84.87,,258-1,11500,12,,
"89,000",,2009,2020,염창동,염창힐스테이트,1,15,84.551,,306,11500,5,,
"62,500",,1998,2020,염창동,벽산늘푸른,1,15,78.6,,290,11500,5,,
"87,500",,2005,2020,염창동,강변한솔솔파크,1,16,84.97,,300,11500,17,,
"52,800",,1995,2020,염창동,신동아,1,16,59.82,,289,11500,5,,
"55,500",,1998,2020,염창동,동아,1,16,59.97,,292,11500,11,,
"66,000",,1995,2020,염창동,삼성한마음,1,17,84.87,,244-2,11500,15,,
"62,000",,1998,2020,염창동,벽산늘푸른,1,17,84.94,,290,11500,15,,
"49,000",,1994,2020,염창동,삼성하나로,1,18,59.26,,248-3,11500,14,,
"84,000",,2005,2020,염창동,강변한솔솔파크,1,18,84.97,,300,11500,7,,
"83,000",,2000,2020,염창동,극동,1,18,104.15,,246-23,11500,13,,
"61,500",,1993,2020,염창동,삼성한아름,1,18,84.89,,264-27,11500,6,,
"62,300",,1998,2020,염창동,벽산늘푸른,1,18,84.94,,290,11500,12,,
