거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"50,000",,1988,2020,봉천동,낙성대현대아파트,1,1,61.74,,179-58,11620,1,,
"59,500",,2005,2020,봉천동,벽산블루밍,1,2,59.99,,1718,11620,16,,
"68,000",,1988,2020,봉천동,낙성대현대아파트,1,2,136.11,,179-58,11620,1,,
"78,000",,1992,2020,봉천동,현대(관악),1,2,116.86,,1000,11620,5,,
"66,000",,2001,2020,봉천동,은천1,1,2,84.65,,1707,11620,6,,
"55,000",,2000,2020,봉천동,은천2단지아파트,1,2,59.93,,1707-1,11620,14,,
"56,000",,2000,2020,봉천동,봉천우성,1,2,59.76,,1706,11620,6,,
"57,750",,2000,2020,봉천동,봉천우성,1,2,59.76,,1706,11620,8,,
"18,570",,2013,2020,봉천동,프라비다2,1,3,20.45,,867-12,11620,9,,
"66,500",,2000,2020,봉천동,봉천우성,1,3,84.96,,1706,11620,19,,
"61,650",,1996,2020,봉천동,보라매삼성,1,4,84.84,,1698-1,11620,1,,
"69,500",,2010,2020,봉천동,관악위버폴리스,1,4,90.856,,859-17,11620,19,,
"56,800",,2000,2020,봉천동,봉천우성,1,4,59.76,,1706,11620,15,,
"65,000",,2004,2020,봉천동,관악동부센트레빌,1,4,59.75,,1719,11620,11,,
"57,500",,2000,2020,봉천동,봉천동아,1,4,59.76,,1703,11620,17,,
"67,000",,2005,2020,봉천동,벽산블루밍,1,4,84.99,,1718,11620,4,,
"47,250",,2000,2020,봉천동,은천2단지아파트,1,4,49.95,,1707-1,11620,8,,
"76,500",,2000,2020,봉천동,봉천동아,1,4,114.69,,1703,11620,8,,
"57,500",,2000,2020,봉천동,봉천동아,1,4,59.76,,1703,11620,16,,
"68,000",,2000,2020,봉천동,봉천우성,1,4,84.96,,1706,11620,4,,
"86,000",,2000,2020,봉천동,두산,1,6,114.99,,1708,11620,7,,
"63,500",,2005,2020,봉천동,벽산블루밍,1,6,84.99,,1718,11620,1,,
