거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"42,500",,2009,2020,중곡동,주성AURA,1,3,67.8,,130-5,11215,5,,
"53,800",,2002,2020,중곡동,대영2동,1,6,84.33,,133-9,11215,6,,
"50,500",,2002,2020,중곡동,대영2동,1,22,84.91,,133-9,11215,1,,
"134,350",,1996,2020,구의동,구의현대2단지,1,3,84.91,,611,11215,13,,
"104,500",,2010,2020,구의동,아차산포레안,1,8,108.72,,663,11215,3,,
"92,700",,2005,2020,구의동,세림리오빌,1,9,117.84,,659,11215,1,,
"112,500",,2017,2020,구의동,강변에스케이뷰,1,14,84.69,,667,11215,27,,
"106,800",,1994,2020,구의동,구의현대6단지,1,15,84.92,,610,11215,1,,
"130,000",,2018,2020,구의동,래미안파크스위트,1,18,84.98,,668,11215,12,,
"127,000",,2017,2020,구의동,강변에스케이뷰,1,20,84.9,,667,11215,16,,
"28,500",,2002,2020,구의동,해성,1,24,61.3,,47-23,11215,2,,
"72,000",,2005,2020,구의동,세림리오빌,1,29,84.98,,659,11215,8,,
"117,000",,1990,2020,광장동,현대3,1,2,84.97,,484,11215,2,,
"49,000",,2006,2020,광장동,동북아스위트힐(107),1,2,84.64,,107,11215,5,,
"115,500",,1989,2020,광장동,극동2,1,4,75.55,,218-1,11215,6,,
"84,000",,1987,2020,광장동,워커힐푸르지오,1,4,65.63,,148-4,11215,9,,
"60,000",,1997,2020,광장동,상록타워아파트,1,6,49.65,,570,11215,23,,
"83,500",,1989,2020,광장동,삼성광장2,1,7,58.62,,453-1,11215,9,,
"88,000",,1996,2020,광장동,청구,1,10,59.95,,566,11215,10,,
"90,000",,1996,2020,광장동,광나루현대,1,14,84.92,,567,11215,4,,
"71,000",,1996,2020,광장동,광나루현대,1,16,84.59,,567,11215,14,,
"102,500",,1990,2020,광장동,현대3,1,16,59.67,,484,11215,19,,
"91,500",,1996,2020,광장동,광나루현대,1,16,84.92,,567,11215,5,,
"114,000",,2007,2020,광장동,신동아파밀리에,1,17,84.55,,250,11215,8,,
"125,000",,1996,2020,광장동,청구,1,18,84.86,,566,11215,20,,
"95,000",,1999,2020,광장동,광장현대9단지,1,18,59.97,,576,11215,8,,
"120,000",,1999,2020,광장동,광장현대9단지,1,18,84.96,,576,11215,15,,
"106,500",,2007,2020,광장동,신동아파밀리에,1,22,84.69,,250,11215,8,,
"132,900",,1990,2020,광장동,현대3,1,28,84.97,,484,11215,12,,
"71,000",,1995,2020,자양동,한강아남,1,3,59.87,,830,11215,3,,
"104,000",,1989,2020,자양동,우성3,1,4,72.34,,516,11215,5,,
"173,000",,2007,2020,자양동,더샵스타시티,1,4,139.6,,227-7,11215,46,,
"84,500",,1995,2020,자양동,한강아남,1,6,83.59,,830,11215,5,,
"50,000",,2001,2020,자양동,스카이빌1차,1,6,84.24,,767,11215,3,,
"55,000",,2004,2020,자양동,자양훼밀리,1,6,84.52,,678-8,11215,6,,
"84,500",,1999,2020,자양동,자양현대6,1,8,59.98,,786,11215,17,,
"175,000",,2007,2020,자양동,더샵스타시티,1,11,139.54,,227-7,11215,50,,
"65,000",,2002,2020,자양동,한솔리베르,1,13,61.26,,672,11215,2,,
"73,000",,2018,2020,자양동,테라팰리스건대2차,1,13,56.4,,860,11215,4,,
"195,000",,2007,2020,자양동,더샵스타시티,1,14,163.53,,227-7,11215,37,,
"78,000",,1993,2020,자양동,자양동현대,1,14,84.55,,645-5,11215,3,,
"93,000",,1991,2020,자양동,한강극동,1,16,84.45,,57-103,11215,7,,
"82,000",,1988,2020,자양동,우성1,1,16,59.91,,579,11215,8,,
"91,000",,2018,2020,자양동,테라팰리스건대2차,1,16,84.13,,860,11215,14,,
"84,000",,1988,2020,자양동,우성1,1,16,59.91,,579,11215,8,,
"70,000",,1999,2020,자양동,로얄동아,1,17,59.91,,644,11215,18,,
"148,000",,2007,2020,자양동,더샵스타시티,1,18,127.95,,227-7,11215,54,,
"74,500",,2006,2020,자양동,구의현대홈시티,1,18,84.92,,779-8,11215,8,,
"95,000",,1996,2020,자양동,현대3,1,18,84.9,,670,11215,3,,
"118,500",,2007,2020,자양동,이튼타워리버3차,1,18,84.96,,855,11215,17,,
"89,500",,1993,2020,자양동,자양동현대,1,20,84.55,,645-5,11215,14,,
"76,250",,2006,2020,자양동,구의현대홈시티,1,21,84.92,,779-8,11215,18,,
"118,000",,2003,2020,자양동,우방리버파크,1,22,84.96,,793,11215,10,,
"95,000",,2002,2020,자양동,한솔리베르,1,27,83.37,,672,11215,23,,
"139,000",,2007,2020,자양동,더샵스타시티,1,28,119.41,,227-7,11215,4,,
"164,000",,1983,2020,자양동,한양,1,28,157.87,,695,11215,11,,
"122,000",,2002,2020,자양동,자양8차현대홈타운,1,31,80.47,,789,11215,15,,
"19,000",,2018,2020,화양동,아스하임(111-102),1,9,14.11,,111-102,11215,13,,
"8,500",,1999,2020,화양동,화양타워,1,11,13.94,,110-37,11215,2,,
"15,700",,2014,2020,화양동,광진코지웰,1,15,15.2,,113-1,11215,12,,
"74,000",,1996,2020,군자동,일성파크,1,7,114.86,,99,11215,20,,
"99,700",,2008,2020,군자동,광진We’vePark,1,19,130.35,,503,11215,10,,
"98,000",,2008,2020,군자동,광진We’vePark,1,22,136.95,,503,11215,7,,
"35,000",,2002,2020,중곡동,욱현,2,7,75.08,,90-18,11215,3,,
"49,000",,1999,2020,중곡동,에스케이,2,10,58.43,,292,11215,3,,
"52,500",,2002,2020,중곡동,중곡동광덕,2,10,84.76,,683,11215,3,,
"51,000",,2001,2020,중곡동,대영1동,2,14,84.7,,133-7,11215,4,,
"31,000",,1976,2020,중곡동,중곡2단지,2,17,55.87,,190-26,11215,5,,
"51,000",,1999,2020,중곡동,에스케이,2,18,58.43,,292,11215,5,,
"28,900",,1976,2020,중곡동,중곡1단지,2,20,48.46,,191-77,11215,2,,
"31,000",,1976,2020,중곡동,중곡1단지,2,22,58.78,,191-77,11215,4,,
"31,000",,2002,2020,구의동,해성,2,1,63.69,,47-23,11215,3,,
"51,700",,2002,2020,구의동,한솔아파트,2,1,114.24,,56-6,11215,1,,
"84,800",,2010,2020,구의동,아차산포레안,2,3,84.68,,663,11215,11,,
"83,500",,2010,2020,구의동,아차산포레안,2,5,84.68,,663,11215,1,,
"88,000",,2010,2020,구의동,아차산포레안,2,6,84.76,,663,11215,5,,
"106,000",,1992,2020,구의동,구의강변우성아파트,2,6,84.76,,546-7,11215,3,,
"39,000",,2001,2020,구의동,신덕하이빌,2,10,78.7,,224-7,11215,1,,
"67,500",,2000,2020,구의동,새한,2,11,59.89,,656,11215,4,,
"80,800",,1997,2020,구의동,구의현대7단지현대홈타운,2,13,59.97,,587-54,11215,20,,
"95,000",,1997,2020,구의동,현대프라임,2,15,59.82,,631-1,11215,29,,
"103,000",,1997,2020,구의동,현대프라임,2,16,59.82,,631-1,11215,17,,
"81,000",,1997,2020,구의동,구의현대7단지현대홈타운,2,17,59.97,,587-54,11215,10,,
"79,500",,2001,2020,구의동,삼성쉐르빌,2,20,84.94,,199-18,11215,15,,
"83,000",,2000,2020,구의동,새한,2,21,84.91,,656,11215,9,,
"109,500",,1992,2020,구의동,구의강변우성아파트,2,26,84.76,,546-7,11215,4,,
"141,400",,1997,2020,구의동,현대프라임,2,29,84.99,,631-1,11215,8,,
"134,000",,1995,2020,광장동,"현대8(801동,802동)",2,8,84.92,,565,11215,11,,
"114,500",,1990,2020,광장동,현대3,2,14,74.92,,484,11215,11,,
"122,500",,1999,2020,광장동,광장현대9단지,2,15,84.96,,576,11215,16,,
"143,500",,1989,2020,광장동,현대5,2,15,84.56,,554-7,11215,11,,
"112,000",,1996,2020,광장동,청구,2,15,84.86,,566,11215,12,,
"158,000",,1981,2020,광장동,워커힐,2,17,162.41,,145-8,11215,3,,
"120,000",,1995,2020,광장동,"현대8(801동,802동)",2,18,84.92,,565,11215,2,,
"119,300",,2007,2020,광장동,신동아파밀리에,2,19,84.55,,250,11215,6,,
