거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"15,835",,2013,2020,가산동,가산지웰에스테이트,1,2,16.26,,140-9,11545,15,,
"22,000",,2003,2020,가산동,백운한비치(가),1,6,65.03,,145-29,11545,7,,
"30,400",,2005,2020,가산동,드림캐슬2차,1,8,84.6,,235-13,11545,6,,
"50,500",,1998,2020,가산동,두산,1,9,59.84,,769,11545,20,,
"45,000",,1998,2020,가산동,두산,1,10,59.84,,769,11545,12,,
"49,250",,1998,2020,가산동,두산,1,15,59.84,,769,11545,6,,
"59,800",,1998,2020,가산동,두산,1,18,84.9,,769,11545,7,,
"60,000",,1998,2020,가산동,두산,1,18,84.9,,769,11545,20,,
"59,700",,1998,2020,가산동,두산,1,20,84.9,,769,11545,12,,
"29,700",,1998,2020,가산동,주상복합두산,1,22,59.25,,772,11545,8,,
"53,500",,1998,2020,가산동,두산,1,22,59.84,,769,11545,24,,
"66,000",,1998,2020,가산동,두산,1,22,134.95,,769,11545,8,,
"34,800",,1998,2020,가산동,삼익,1,27,59.94,,234-46,11545,12,,
"56,000",,1991,2020,독산동,한신아파트,1,3,129.66,,1093-4,11545,3,,
"38,000",,2002,2020,독산동,금천현대,1,3,59.82,,711-2,11545,1,,
"24,000",,1990,2020,독산동,독산주공14단지,1,3,38.64,,1088,11545,5,,
"36,000",,1990,2020,독산동,독산주공14단지,1,3,59.22,,1088,11545,1,,
"94,000",,2016,2020,독산동,금천롯데캐슬골드파크1차,1,3,84.4623,,1147,11545,22,,
"99,000",,2016,2020,독산동,금천롯데캐슬골드파크1차,1,3,84.4623,,1147,11545,23,,
"63,500",,2008,2020,독산동,이랜드해가든,1,4,84.935,,1143,11545,13,,
"92,000",,2016,2020,독산동,금천롯데캐슬골드파크1차,1,4,84.4214,,1147,11545,3,,
"89,900",,2016,2020,독산동,금천롯데캐슬골드파크1차,1,4,71.39,,1147,11545,12,,
"49,500",,2002,2020,독산동,금천현대,1,4,84.83,,711-2,11545,20,,
"57,000",,2004,2020,독산동,독산동중앙하이츠빌,1,7,84.8768,,1140,11545,2,,
"29,500",,2004,2020,독산동,리치힐(976-6),1,7,79.93,,976-6,11545,6,,
"96,000",,2016,2020,독산동,금천롯데캐슬골드파크1차,1,8,84.3963,,1147,11545,18,,
"26,000",,2004,2020,독산동,한아101(994-33),1,8,65.22,,994-33,11545,6,,
"51,500",,1991,2020,독산동,한신아파트,1,10,129.66,,1093-4,11545,2,,
"51,700",,2002,2020,독산동,금천현대,1,11,84.83,,711-2,11545,8,,
"43,900",,2002,2020,독산동,금천현대,1,11,59.82,,711-2,11545,13,,
"50,000",,2002,2020,독산동,금천현대,1,11,84.83,,711-2,11545,14,,
"41,000",,2002,2020,독산동,신도브래뉴,1,12,55.55,,955,11545,5,,
"41,500",,1990,2020,독산동,독산주공14단지,1,14,59.22,,1088,11545,10,,
