거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"25,200",,1992,2020,월계동,주공2,1,2,44.94,,556,11350,15,,
"73,000",,2002,2020,월계동,한진한화그랑빌,1,3,114.97,,18,11350,1,,
"66,000",,2002,2020,월계동,한진한화그랑빌,1,3,114.97,,18,11350,1,,
"61,000",,1986,2020,월계동,삼호3,1,3,59.22,,13,11350,6,,
"45,000",,1987,2020,월계동,삼호4,1,3,50.18,,12,11350,5,,
"85,500",,2002,2020,월계동,한진한화그랑빌,1,3,139.08,,18,11350,25,,
"57,000",,2006,2020,월계동,롯데캐슬루나,1,3,59.993,,947,11350,12,,
"49,200",,2017,2020,월계동,녹천역두산위브아파트,1,3,59.9277,,950,11350,7,,
"28,500",,1995,2020,월계동,성원(사슴4),1,3,39.6,,322-1,11350,15,,
"53,000",,1986,2020,월계동,미성,1,3,50.14,,13,11350,14,,
"54,000",,1986,2020,월계동,미성,1,3,50.14,,13,11350,11,,
"57,000",,1986,2020,월계동,미륭,1,3,51.48,,13,11350,6,,
"26,200",,1992,2020,월계동,주공2,1,3,44.94,,556,11350,15,,
"61,500",,2002,2020,월계동,한진한화그랑빌,1,4,59.94,,18,11350,25,,
"28,400",,1995,2020,월계동,성원(사슴4),1,4,39.6,,322-1,11350,10,,
"64,900",,1986,2020,월계동,삼호3,1,4,59.22,,13,11350,12,,
"60,000",,1986,2020,월계동,삼호3,1,4,59.22,,13,11350,4,,
"26,600",,1998,2020,월계동,초안1,1,4,59.85,,923,11350,8,,
"26,400",,1992,2020,월계동,주공2,1,4,44.52,,556,11350,8,,
"54,000",,1987,2020,월계동,삼호4,1,4,59.49,,12,11350,14,,
"54,900",,1986,2020,월계동,미성,1,4,50.14,,13,11350,7,,
"37,200",,2004,2020,월계동,월계흥화브라운빌,1,6,59.79,,939,11350,11,,
"54,000",,1986,2020,월계동,미성,1,7,50.14,,13,11350,4,,
"50,000",,2000,2020,월계동,현대,1,8,59.95,,929,11350,3,,
"44,900",,1986,2020,월계동,미성,1,8,33.28,,13,11350,3,,
"33,000",,1996,2020,월계동,극동,1,8,84.95,,803-1,11350,3,,
"45,000",,1986,2020,월계동,미성,1,8,33.28,,13,11350,3,,
"43,000",,1997,2020,월계동,대동,1,8,59.76,,925,11350,9,,
"45,500",,1998,2020,월계동,청백4,1,9,84.54,,781,11350,15,,
"23,100",,1992,2020,월계동,주공2,1,9,38.64,,556,11350,6,,
"60,500",,1986,2020,월계동,삼호3,1,9,59.22,,13,11350,4,,
"27,800",,1995,2020,월계동,사슴3,1,9,39.6,,320-11,11350,7,,
"44,500",,1986,2020,월계동,미성,1,9,33.28,,13,11350,5,,
"53,300",,1986,2020,월계동,미성,1,9,50.14,,13,11350,1,,
"23,400",,1992,2020,월계동,주공2,1,10,38.64,,556,11350,8,,
"62,700",,2002,2020,월계동,한진한화그랑빌,1,10,59.94,,18,11350,10,,
"65,000",,1986,2020,월계동,삼호3,1,11,59.22,,13,11350,9,,
"52,900",,2003,2020,월계동,건양노블레스빌,1,11,84.659,,938,11350,22,,
"61,500",,2002,2020,월계동,한진한화그랑빌,1,11,59.94,,18,11350,21,,
"83,500",,2002,2020,월계동,한진한화그랑빌,1,11,114.97,,18,11350,24,,
"68,000",,2002,2020,월계동,한진한화그랑빌,1,11,84.97,,18,11350,5,,
"67,000",,2002,2020,월계동,한진한화그랑빌,1,11,84.97,,18,11350,2,,
"45,000",,1987,2020,월계동,삼호4,1,11,50.18,,12,11350,1,,
"37,000",,1995,2020,월계동,성원(사슴4),1,11,49.92,,322-1,11350,8,,
"47,800",,1987,2020,월계동,삼호4,1,13,50.18,,12,11350,8,,
"31,300",,1998,2020,월계동,청백3,1,13,59.4,,780,11350,11,,
"55,800",,2017,2020,월계동,녹천역두산위브아파트,1,13,84.9343,,950,11350,1,,
"52,250",,2000,2020,월계동,현대,1,14,59.95,,929,11350,13,,
"56,500",,1986,2020,월계동,미성,1,14,50.14,,13,11350,8,,
"65,000",,1986,2020,월계동,삼호3,1,14,59.22,,13,11350,5,,
"58,000",,1987,2020,월계동,삼호4,1,14,59.49,,12,11350,5,,
"22,000",,1993,2020,월계동,주공2,1,14,38.64,,556,11350,14,,
"46,000",,1986,2020,월계동,미성,1,14,33.28,,13,11350,1,,
"65,000",,2000,2020,월계동,현대,1,15,84.98,,929,11350,20,,
"51,500",,2000,2020,월계동,한일2,1,15,84.846,,927,11350,5,,
"27,000",,1998,2020,월계동,유원,1,15,59.84,,880,11350,3,,
"20,000",,1998,2020,월계동,청백3,1,15,39.84,,780,11350,8,,
"56,800",,1986,2020,월계동,미륭,1,15,51.48,,13,11350,10,,
"67,000",,2002,2020,월계동,한진한화그랑빌,1,15,84.97,,18,11350,23,,
"54,800",,1986,2020,월계동,미성,1,16,50.14,,13,11350,3,,
"46,000",,1987,2020,월계동,삼호4,1,16,50.18,,12,11350,14,,
"39,500",,1992,2020,월계동,주공2,1,17,58.65,,556,11350,8,,
"55,500",,1986,2020,월계동,미성,1,17,50.14,,13,11350,3,,
"57,800",,1986,2020,월계동,미륭,1,18,51.48,,13,11350,14,,
"45,500",,1986,2020,월계동,미성,1,18,33.28,,13,11350,1,,
"30,350",,1998,2020,월계동,청백3,1,18,59.4,,780,11350,3,,
"66,000",,1986,2020,월계동,삼호3,1,18,59.22,,13,11350,6,,
"48,500",,1987,2020,월계동,삼호4,1,20,50.18,,12,11350,8,,
"55,200",,2003,2020,월계동,건양노블레스빌,1,20,84.659,,938,11350,12,,
"54,450",,1986,2020,월계동,미성,1,20,50.14,,13,11350,1,,
"52,300",,1998,2020,월계동,대우,1,20,99.98,,775,11350,7,,
"32,500",,1996,2020,월계동,극동,1,20,83.31,,803-1,11350,9,,
"55,000",,1986,2020,월계동,미성,1,20,50.14,,13,11350,2,,
"52,700",,2000,2020,월계동,현대,1,20,59.95,,929,11350,18,,
"48,500",,1987,2020,월계동,삼호4,1,20,50.18,,12,11350,7,,
"48,800",,1987,2020,월계동,삼호4,1,20,50.18,,12,11350,5,,
"64,500",,2006,2020,월계동,롯데캐슬루나,1,20,84.985,,947,11350,5,,
"42,800",,2006,2020,월계동,초안산쌍용스윗닷홈,1,21,84.69,,945,11350,1,,
"75,000",,2002,2020,월계동,한진한화그랑빌,1,21,84.97,,18,11350,10,,
"35,000",,1976,2020,월계동,성북맨션,1,21,65.35,,383-40,11350,3,,
"73,000",,2002,2020,월계동,한진한화그랑빌,1,21,84.97,,18,11350,26,,
"54,800",,2002,2020,월계동,한진한화그랑빌,1,21,59.94,,18,11350,1,,
"29,300",,1997,2020,월계동,초안2,1,21,59.85,,924,11350,5,,
"25,500",,1992,2020,월계동,주공2,1,22,44.52,,556,11350,11,,
"33,500",,1996,2020,월계동,극동,1,22,80.28,,803-1,11350,13,,
"34,250",,1995,2020,월계동,성원(사슴4),1,22,49.92,,322-1,11350,3,,
"63,000",,1994,2020,월계동,서광,1,22,84.61,,922,11350,14,,
"59,000",,1986,2020,월계동,미성,1,28,50.14,,13,11350,12,,
"59,900",,1986,2020,월계동,미륭,1,28,51.48,,13,11350,7,,
"77,900",,2016,2020,월계동,꿈의숲SKVIEW,1,28,84.93,,949,11350,13,,
"65,000",,1986,2020,월계동,삼호3,1,28,59.22,,13,11350,14,,
"28,000",,1998,2020,월계동,청백3,1,28,49.77,,780,11350,7,,
"61,950",,2002,2020,월계동,한진한화그랑빌,1,28,59.94,,18,11350,11,,
"49,000",,1987,2020,월계동,삼호4,1,28,50.18,,12,11350,5,,
"31,500",,1998,2020,월계동,청백4,1,29,59.4,,781,11350,12,,
"30,700",,1998,2020,월계동,청백3,1,29,59.4,,780,11350,10,,
"72,000",,2002,2020,월계동,한진한화그랑빌,1,29,84.97,,18,11350,16,,
"39,300",,1995,2020,월계동,성원(사슴4),1,29,59.94,,322-1,11350,12,,
"23,000",,1992,2020,월계동,주공2,1,30,38.64,,556,11350,3,,
"72,500",,2005,2020,월계동,풍림아이원,1,30,84.303,,944,11350,14,,
"45,000",,1994,2020,월계동,서광,1,30,84.61,,922,11350,11,,
"75,000",,2000,2020,월계동,현대,1,30,114.99,,929,11350,20,,
"59,800",,1986,2020,월계동,미륭,1,31,51.48,,13,11350,13,,
"51,500",,2000,2020,월계동,현대,1,31,59.95,,929,11350,13,,
"57,800",,1986,2020,월계동,미성,1,31,50.14,,13,11350,9,,
"66,900",,1986,2020,월계동,삼호3,1,31,59.22,,13,11350,3,,
"52,000",,2000,2020,공릉동,두산힐스빌아파트,1,1,84.9,,747,11350,1,,
"32,800",,1999,2020,공릉동,태강아파트(아이파크),1,1,49.6,,81,11350,2,,
"27,300",,1994,2020,공릉동,시영3차(라이프)아파트,1,3,39.6,,715,11350,12,,
"51,500",,1995,2020,공릉동,삼익아파트,1,3,84.6,,737,11350,3,,
"29,400",,1994,2020,공릉동,삼익4단지아파트,1,3,39.6,,714,11350,9,,
"45,000",,2003,2020,공릉동,길성그랑프리텔아파트,1,3,76.4807,,753,11350,1,,
"53,000",,2005,2020,공릉동,서일이츠뷰,1,4,84.983,,371-11,11350,4,,
"30,800",,1995,2020,공릉동,삼익아파트,1,4,51.03,,737,11350,6,,
"29,000",,2006,2020,공릉동,씨엠아파트,1,4,73.23,,568-6,11350,3,,
"23,300",,1994,2020,공릉동,삼익4단지아파트,1,4,39.6,,714,11350,2,,
"32,000",,1999,2020,공릉동,비선아파트,1,4,48.6,,109,11350,4,,
"37,500",,1999,2020,공릉동,태강아파트(아이파크),1,4,49.6,,81,11350,5,,
"66,500",,2000,2020,공릉동,화랑타운아파트,1,4,84.65,,111,11350,7,,
"22,800",,2001,2020,공릉동,풍림아파트B,1,5,31.32,,727,11350,5,,
"24,200",,1994,2020,공릉동,시영2단지(라이프)아파트,1,6,39.6,,707,11350,2,,
"55,200",,1999,2020,공릉동,화랑해링턴플레이스아파트,1,7,84.75,,746,11350,7,,
"25,500",,2003,2020,공릉동,진주브라운,1,8,61.82,,585-6,11350,3,,
"52,000",,2000,2020,공릉동,두산힐스빌아파트,1,8,60,,747,11350,23,,
"37,000",,1999,2020,공릉동,태강아파트(아이파크),1,8,49.6,,81,11350,10,,
"28,900",,1995,2020,공릉동,삼익아파트,1,9,51.03,,737,11350,3,,
"53,000",,2005,2020,공릉동,서일이츠뷰,1,9,84.983,,371-11,11350,5,,
"42,200",,1999,2020,공릉동,태강아파트(아이파크),1,10,59.38,,81,11350,3,,
"51,500",,1995,2020,공릉동,삼익아파트,1,10,84.6,,737,11350,10,,
"71,700",,2001,2020,공릉동,풍림아파트A,1,11,114.78,,725,11350,19,,
"8,900",,2012,2020,공릉동,진명비베레,1,11,13.9092,,395-7,11350,2,,
"38,900",,1997,2020,공릉동,대아아파트1차,1,11,78.68,,740,11350,11,,
"49,700",,2001,2020,공릉동,풍림아파트A,1,11,59.94,,725,11350,4,,
"46,000",,2001,2020,공릉동,풍림아파트A,1,11,59.94,,725,11350,1,,
"57,000",,2001,2020,공릉동,풍림아파트A,1,11,84.99,,725,11350,1,,
"32,900",,1999,2020,공릉동,태강아파트(아이파크),1,11,49.6,,81,11350,3,,
"74,000",,2000,2020,공릉동,공릉해링턴플레이스,1,13,99.917,,106,11350,8,,
"37,300",,2000,2020,공릉동,공릉동한보에센시티아파트,1,13,59.4,,743,11350,3,,
"37,500",,1999,2020,공릉동,태강아파트(아이파크),1,13,49.6,,81,11350,9,,
"50,500",,2001,2020,공릉동,풍림아파트A,1,14,59.94,,725,11350,14,,
"32,000",,1999,2020,공릉동,태강아파트(아이파크),1,15,49.6,,81,11350,14,,
"58,500",,1985,2020,공릉동,태릉우성아파트,1,16,84.97,,254,11350,6,,
"22,100",,1994,2020,공릉동,시영3차(라이프)아파트,1,16,34.44,,715,11350,4,,
"52,000",,1996,2020,공릉동,동부아파트,1,16,114.17,,705,11350,2,,
"26,800",,1994,2020,공릉동,시영2단지(라이프)아파트,1,17,39.6,,707,11350,14,,
"59,500",,2000,2020,공릉동,청솔아파트8,1,17,84.83,,91,11350,7,,
"34,800",,1999,2020,공릉동,태강아파트(아이파크),1,17,49.6,,81,11350,4,,
"35,200",,1994,2020,공릉동,시영3차(라이프)아파트,1,18,49.5,,715,11350,6,,
"49,500",,2000,2020,공릉동,현대성우아파트,1,18,84.96,,741,11350,13,,
"23,700",,1994,2020,공릉동,시영2단지(라이프)아파트,1,18,34.44,,707,11350,8,,
"40,800",,1989,2020,공릉동,대명아파트,1,18,62.04,,270-71,11350,4,,
"47,800",,1996,2020,공릉동,동부아파트,1,18,84.79,,705,11350,6,,
"50,000",,1996,2020,공릉동,동부아파트,1,18,84.79,,705,11350,5,,
"41,500",,1999,2020,공릉동,동신아파트,1,18,59.99,,745,11350,10,,
"41,000",,1999,2020,공릉동,비선아파트,1,18,59.74,,109,11350,2,,
"26,500",,1994,2020,공릉동,삼익4단지아파트,1,18,39.6,,714,11350,4,,
"29,500",,1995,2020,공릉동,삼익아파트,1,18,51.03,,737,11350,9,,
"35,000",,1999,2020,공릉동,태강아파트(아이파크),1,18,49.6,,81,11350,9,,
"35,000",,1999,2020,공릉동,태강아파트(아이파크),1,18,49.6,,81,11350,13,,
"37,000",,2000,2020,공릉동,공릉동한보에센시티아파트,1,18,59.4,,743,11350,3,,
"54,000",,2000,2020,공릉동,공릉동한보에센시티아파트,1,18,84.93,,743,11350,7,,
"23,900",,1994,2020,공릉동,시영3차(라이프)아파트,1,19,34.44,,715,11350,11,,
"67,000",,1999,2020,공릉동,동신아파트,1,19,114.98,,745,11350,10,,
"17,800",,2016,2020,공릉동,67디벨리움,1,20,17.27,,670-7,11350,9,,
"54,500",,2003,2020,공릉동,대주파크빌아파트,1,20,81.12,,751,11350,9,,
"50,500",,2001,2020,공릉동,풍림아파트A,1,20,59.94,,725,11350,12,,
"52,500",,2000,2020,공릉동,공릉동한보에센시티아파트,1,20,84.93,,743,11350,5,,
"17,600",,2016,2020,공릉동,67디벨리움,1,21,17.27,,670-7,11350,7,,
"35,500",,1994,2020,공릉동,시영3차(라이프)아파트,1,21,49.5,,715,11350,13,,
"48,500",,1985,2020,공릉동,태릉우성아파트,1,21,66.87,,254,11350,2,,
"36,000",,2000,2020,공릉동,공릉동한보에센시티아파트,1,21,59.4,,743,11350,1,,
"29,000",,1999,2020,공릉동,비선아파트,1,22,48.6,,109,11350,1,,
"37,000",,1996,2020,공릉동,동부아파트,1,22,59.34,,705,11350,7,,
"58,800",,2001,2020,공릉동,풍림아파트A,1,22,84.99,,725,11350,2,,
"49,500",,2001,2020,공릉동,풍림아파트A,1,22,59.94,,725,11350,3,,
"78,000",,2000,2020,공릉동,공릉해링턴플레이스,1,22,99.917,,106,11350,12,,
"73,000",,2001,2020,공릉동,풍림아파트A,1,23,114.78,,725,11350,17,,
"17,800",,2016,2020,공릉동,67디벨리움,1,23,17.27,,670-7,11350,13,,
"57,900",,2002,2020,공릉동,신도1차아파트,1,23,81.2768,,748,11350,6,,
"9,000",,2012,2020,공릉동,진명비베레,1,28,13.9092,,395-7,11350,2,,
"73,500",,2001,2020,공릉동,풍림아파트A,1,30,114.78,,725,11350,4,,
"31,000",,1999,2020,공릉동,태강아파트(아이파크),1,30,49.6,,81,11350,1,,
"46,000",,2000,2020,공릉동,대아2차아파트,1,30,84.6,,492-1,11350,16,,
"35,800",,2006,2020,공릉동,하늘공원,1,30,84.58,,222,11350,2,,
"59,000",,2002,2020,공릉동,공릉2신도브래뉴아파트,1,30,84.65,,749,11350,8,,
"33,300",,1999,2020,공릉동,비선아파트,1,31,48.6,,109,11350,12,,
"35,200",,1999,2020,공릉동,태강아파트(아이파크),1,31,49.6,,81,11350,15,,
"45,800",,1999,2020,하계동,학여울청구,1,1,59.4,,354,11350,18,,
"74,900",,1997,2020,하계동,하계2현대,1,2,84.896,,288,11350,8,,
