거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"27,500",,1988,2020,쌍문동,한양2,1,2,59.67,,59,11320,11,,
"32,000",,1988,2020,쌍문동,한양2,1,2,76.92,,59,11320,2,,
"36,800",,1990,2020,쌍문동,현대1,1,2,70.3,,54,11320,7,,
"32,200",,1988,2020,쌍문동,삼익세라믹,1,2,58.77,,56,11320,4,,
"36,500",,2002,2020,쌍문동,한양6,1,3,83.86,,59-5,11320,4,,
"42,000",,1996,2020,쌍문동,청구,1,3,84.63,,195,11320,14,,
"27,000",,1988,2020,쌍문동,한양2,1,3,59.67,,59,11320,11,,
"41,500",,1988,2020,쌍문동,삼익세라믹,1,3,79.98,,56,11320,13,,
"42,000",,1986,2020,쌍문동,한양1,1,4,66.33,,388-33,11320,11,,
"42,000",,1986,2020,쌍문동,한양1,1,6,66.33,,388-33,11320,13,,
"36,750",,1990,2020,쌍문동,현대1,1,6,84.66,,54,11320,7,,
"41,300",,1986,2020,쌍문동,한양1,1,6,66.33,,388-33,11320,11,,
"37,000",,1987,2020,쌍문동,동익미라벨,1,6,84.53,,285-5,11320,3,,
"43,500",,1991,2020,쌍문동,금호2,1,7,84.46,,산69-1,11320,13,,
"41,800",,1990,2020,쌍문동,금호1,1,7,84.88,,199-1,11320,8,,
"32,900",,1995,2020,쌍문동,현대3,1,7,84.83,,719,11320,2,,
"36,000",,1990,2020,쌍문동,현대1,1,7,70.3,,54,11320,6,,
"39,900",,1986,2020,쌍문동,한양1,1,8,66.33,,388-33,11320,8,,
"20,950",,1988,2020,쌍문동,삼익세라믹,1,8,40.11,,56,11320,3,,
"28,300",,1981,2020,쌍문동,백조,1,8,64.43,,724,11320,4,,
"26,100",,2001,2020,쌍문동,에덴,1,8,67.404,,713,11320,1,,
"39,000",,2002,2020,쌍문동,한양6,1,8,83.86,,59-5,11320,11,,
"37,000",,2002,2020,쌍문동,한양6,1,9,83.86,,59-5,11320,1,,
"54,250",,2006,2020,쌍문동,브라운스톤쌍문,1,9,84.969,,729,11320,10,,
"31,300",,1991,2020,쌍문동,한양5,1,9,65.37,,59-3,11320,16,,
"16,100",,1989,2020,쌍문동,한양2,1,10,28.71,,59,11320,15,,
"28,800",,1998,2020,쌍문동,신원2,1,10,60,,723,11320,19,,
"36,000",,1993,2020,쌍문동,현대2,1,10,85,,50,11320,4,,
"19,000",,1989,2020,쌍문동,한양2,1,10,35.1,,59,11320,5,,
"36,700",,1990,2020,쌍문동,금호1,1,10,70.13,,199-1,11320,13,,
"25,900",,1987,2020,쌍문동,동익미라벨,1,13,65.42,,285-5,11320,8,,
"20,700",,1988,2020,쌍문동,삼익세라믹,1,13,42.93,,56,11320,15,,
"36,000",,2002,2020,쌍문동,한양6,1,13,83.86,,59-5,11320,1,,
"41,500",,1988,2020,쌍문동,삼익세라믹,1,14,79.98,,56,11320,2,,
"25,000",,1995,2020,쌍문동,쌍문금용,1,14,59.94,,321,11320,4,,
