거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"15,000",,2018,2020,신설동,포레스트힐시티,1,8,14.75,,100-26,11230,19,,
"68,200",,2007,2020,신설동,청계천대성스카이렉스1,1,10,75.24,,109-13,11230,13,,
"45,700",,1994,2020,용두동,신동아,1,4,49.68,,779,11230,10,,
"50,000",,1994,2020,용두동,신동아,1,8,58.59,,779,11230,13,,
"85,000",,2015,2020,용두동,용두롯데캐슬리치,1,10,59.988,,794,11230,8,,
"36,000",,2009,2020,용두동,롯데캐슬피렌체,1,10,30.4,,790,11230,5,,
"52,000",,1994,2020,용두동,신동아,1,11,58.59,,779,11230,11,,
"60,000",,1994,2020,용두동,신동아,1,12,84.63,,779,11230,1,,
"40,000",,2016,2020,용두동,동대문푸르지오시티(도시형생활주택),1,14,30.11,,104-3,11230,14,,
"51,000",,1994,2020,용두동,신동아,1,16,58.59,,779,11230,12,,
"86,000",,2009,2020,용두동,용두두산위브,1,18,59.99,,791,11230,8,,
"36,000",,2009,2020,용두동,롯데캐슬피렌체,1,20,30.4,,790,11230,5,,
"103,200",,2011,2020,용두동,래미안 허브리츠,1,21,84.96,,792,11230,16,,
"82,500",,2009,2020,용두동,용두두산위브,1,23,59.99,,791,11230,3,,
"46,000",,2009,2020,용두동,롯데캐슬피렌체,1,27,37.73,,790,11230,4,,
"53,000",,1994,2020,용두동,신동아,1,29,58.59,,779,11230,7,,
"50,000",,1971,2020,제기동,홍파,1,7,63.9,,120-10,11230,4,,
"12,000",,2014,2020,제기동,어진재,1,8,16.72,,1213,11230,3,,
"60,000",,2004,2020,제기동,한신아파트,1,9,59.84,,1212,11230,19,,
"75,500",,2005,2020,제기동,이수브라운스톤,1,11,84.9,,252,11230,17,,
"73,000",,2003,2020,제기동,안암골벽산,1,14,84.98,,153,11230,7,,
"59,700",,2004,2020,제기동,한신아파트,1,15,59.84,,1212,11230,24,,
"67,500",,2003,2020,제기동,안암골벽산,1,16,84.98,,153,11230,1,,
"73,000",,2004,2020,제기동,한신아파트,1,18,84.76,,1212,11230,7,,
"72,000",,2004,2020,제기동,한신아파트,1,21,114.885,,1212,11230,16,,
"63,000",,1977,2020,제기동,경동미주,1,29,67.21,,892-68,11230,1,,
"62,000",,2004,2020,제기동,한신아파트,1,30,59.84,,1212,11230,5,,
"43,000",,1992,2020,전농동,전농우성,1,2,59.78,,6,11230,10,,
"80,000",,2000,2020,전농동,전농동삼성래미안,1,4,114.89,,155,11230,21,,
"59,900",,2000,2020,전농동,전농SK,1,6,59.34,,10,11230,16,,
"54,300",,1992,2020,전농동,전농우성,1,7,84.84,,6,11230,8,,
"63,500",,2007,2020,전농동,전농동하우스토리,1,7,84.128,,32-4,11230,12,,
"100,000",,2005,2020,전농동,전농동신성미소지움,1,7,112.874,,687,11230,14,,
"70,000",,2000,2020,전농동,전농SK,1,7,84.95,,10,11230,8,,
"80,000",,2000,2020,전농동,전농SK,1,9,114.3,,10,11230,23,,
"93,000",,2012,2020,전농동,래미안아름숲,1,11,84.7,,688,11230,5,,
"94,000",,2014,2020,전농동,래미안크레시티,1,11,59.99,,690,11230,5,,
"48,500",,1992,2020,전농동,전농우성,1,11,84.84,,6,11230,1,,
"59,000",,2000,2020,전농동,전농SK,1,11,59.34,,10,11230,13,,
"61,000",,1992,2020,전농동,전농우성,1,15,126.63,,6,11230,1,,
"73,000",,2000,2020,전농동,전농SK,1,16,84.95,,10,11230,19,,
"72,000",,2012,2020,전농동,래미안아름숲,1,16,59.9,,688,11230,4,,
"59,990",,1992,2020,전농동,전농우성,1,16,115.56,,6,11230,2,,
"88,850",,2012,2020,전농동,래미안아름숲,1,18,84.7,,688,11230,1,,
"81,000",,2000,2020,전농동,전농SK,1,18,114.3,,10,11230,12,,
"73,000",,2000,2020,전농동,전농SK,1,18,84.95,,10,11230,12,,
"57,700",,2000,2020,전농동,전농SK,1,18,59.34,,10,11230,6,,
