거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"66,000",,1998,2020,아현동,서서울삼성,1,9,48.92,,692,11440,13,,
"97,000",,2003,2020,아현동,삼환나띠르빌,1,18,84.9,,732,11440,11,,
"131,000",,2017,2020,아현동,마포센트럴아이파크,1,18,84.9668,,802,11440,5,,
"165,000",,2014,2020,아현동,마포래미안푸르지오4단지,1,22,84.5978,,777,11440,14,,
"45,000",,2016,2020,아현동,애오개아이파크,1,31,30.01,,780,11440,11,,
"117,500",,2004,2020,공덕동,공덕3삼성래미안,1,2,59.97,,457,11440,16,,
"102,000",,2005,2020,공덕동,래미안공덕4차,1,4,59.9,,464,11440,8,,
"110,000",,2004,2020,공덕동,한화꿈에그린,1,9,84.939,,460,11440,4,,
"70,000",,1996,2020,공덕동,효창그린빌라트,1,10,163.57,,11-168,11440,1,,
"140,000",,2011,2020,공덕동,래미안공덕5차,1,11,84.851,,469,11440,7,,
"119,500",,2011,2020,공덕동,래미안공덕5차,1,14,59.959,,469,11440,9,,
"109,800",,2005,2020,공덕동,래미안공덕4차,1,15,59.9,,464,11440,10,,
"118,000",,2004,2020,공덕동,공덕2삼성래미안,1,17,84.94,,43,11440,10,,
"142,000",,2011,2020,공덕동,래미안공덕5차,1,17,84.859,,469,11440,12,,
"121,000",,2011,2020,공덕동,래미안공덕5차,1,17,59.959,,469,11440,11,,
"120,000",,2004,2020,공덕동,공덕3삼성래미안,1,18,59.97,,457,11440,16,,
"110,000",,2011,2020,공덕동,래미안공덕5차,1,21,59.959,,469,11440,4,,
"148,000",,2011,2020,공덕동,래미안공덕5차,1,28,113.866,,469,11440,1,,
"144,000",,2011,2020,신공덕동,펜트라우스,1,4,115.04,,172,11440,16,,
"40,000",,2005,2020,신공덕동,대우메트로디오빌,1,4,35.14,,167,11440,23,,
"129,800",,2011,2020,신공덕동,kcc웰츠,1,7,107.42,,171,11440,21,,
"138,000",,2011,2020,신공덕동,대우월드마크마포,1,7,136.18,,173,11440,9,,
"86,000",,2000,2020,신공덕동,신공덕래미안2차,1,8,59.48,,159,11440,16,,
"39,700",,2019,2020,신공덕동,블레스하임,1,10,24.27,,13-15,11440,13,,
"110,000",,2000,2020,신공덕동,신공덕래미안2차,1,14,114.5,,159,11440,13,,
"134,000",,2013,2020,신공덕동,신공덕아이파크,1,16,84.96,,174,11440,14,,
"115,000",,2007,2020,신공덕동,신공덕e편한세상,1,20,84.68,,168,11440,13,,
"84,000",,2000,2020,신공덕동,신공덕래미안2차,1,20,59.48,,159,11440,19,,
"125,000",,2011,2020,신공덕동,펜트라우스,1,21,84.95,,172,11440,4,,
"121,500",,2011,2020,신공덕동,펜트라우스,1,23,84.95,,172,11440,3,,
"116,500",,1997,2020,도화동,삼성,1,3,84.985,,550,11440,13,,
"89,500",,1996,2020,도화동,도화동현대,1,4,68.22,,357,11440,11,,
"109,000",,1991,2020,도화동,우성,1,9,128.315,,82,11440,3,,
"80,000",,1998,2020,도화동,도화현대,1,11,59.4,,547,11440,8,,
"80,000",,1998,2020,도화동,도화현대,1,11,59.4,,547,11440,13,,
"75,000",,1996,2020,도화동,도화동현대,1,11,54.72,,357,11440,4,,
"84,800",,2004,2020,도화동,한화오벨리스크,1,11,82.14,,555,11440,28,,
"114,300",,1997,2020,도화동,삼성,1,13,72.185,,550,11440,3,,
"100,000",,2000,2020,도화동,현대홈타운,1,13,84.95,,353,11440,6,,
"100,000",,1996,2020,도화동,도화동현대,1,16,112.09,,357,11440,6,,
"97,800",,2004,2020,도화동,한화오벨리스크,1,17,85,,555,11440,35,,
"113,000",,1991,2020,도화동,우성,1,18,128.315,,82,11440,3,,
"88,500",,1991,2020,도화동,우성,1,18,68.94,,82,11440,2,,
"89,990",,1983,2020,도화동,정우상가맨션,1,20,117.84,,536,11440,4,,
"79,000",,2004,2020,도화동,한화오벨리스크,1,21,75.7,,555,11440,18,,
"110,000",,1991,2020,도화동,우성,1,30,141.515,,82,11440,5,,
"130,000",,1991,2020,도화동,우성,1,30,141.515,,82,11440,14,,
"95,000",,2004,2020,도화동,한화오벨리스크,1,31,79.9,,555,11440,36,,
"79,000",,2003,2020,용강동,두영,1,7,130.86,,494-8,11440,3,,
"125,000",,2002,2020,용강동,마포대림1,1,10,130.64,,500,11440,5,,
"98,500",,2000,2020,마포동,마포쌍용황금아파트,1,2,84.9,,253,11440,19,,
"14,400",,2012,2020,마포동,비체힐리버뷰,1,6,18.2771,,449,11440,6,,
"40,000",,1992,2020,마포동,강변한신코아,1,15,51.48,,350,11440,5,,
"19,500",,2014,2020,대흥동,서희스타힐스,1,11,12.85,,12-41,11440,9,,
"19,500",,2014,2020,대흥동,서희스타힐스,1,11,12.85,,12-41,11440,9,,
"20,400",,2014,2020,대흥동,서희스타힐스,1,14,12.85,,12-41,11440,17,,
"37,800",,2014,2020,대흥동,서희스타힐스,1,18,33.76,,12-41,11440,14,,
"92,300",,1999,2020,대흥동,마포태영,1,20,59.4,,660,11440,13,,
"89,900",,1999,2020,대흥동,마포태영,1,29,59.4,,660,11440,8,,
"142,800",,2003,2020,염리동,마포자이,1,20,84.692,,521,11440,12,,
"73,500",,1997,2020,염리동,상록,1,30,58.71,,515-1,11440,17,,
"127,000",,2001,2020,염리동,염리삼성래미안,1,30,114.48,,520,11440,14,,
"27,000",,2002,2020,노고산동,현대벤처빌,1,29,31.57,,107-36,11440,14,,
"68,000",,1998,2020,신수동,신수동성원,1,3,59.76,,190,11440,7,,
"81,000",,1996,2020,신수동,현대,1,3,84.47,,445-5,11440,13,,
"27,900",,2002,2020,신수동,하나테크노빌,1,4,38.7,,22-35,11440,10,,
"120,000",,2004,2020,신수동,대원칸타빌,1,8,117.183,,453,11440,15,,
"78,500",,1997,2020,신수동,신촌삼익,1,11,59.85,,450,11440,5,,
"89,900",,1998,2020,신수동,신수동성원,1,11,114.78,,190,11440,1,,
"98,000",,2009,2020,신수동,밤섬경남아너스빌,1,11,84.83,,459,11440,3,,
"90,000",,1997,2020,신수동,신촌삼익,1,13,84.85,,450,11440,22,,
"85,500",,1996,2020,신수동,현대,1,18,84.47,,445-5,11440,14,,
"88,000",,2003,2020,신수동,세양청마루,1,19,82.86,,451,11440,13,,
"79,000",,1997,2020,신수동,신촌삼익,1,21,59.85,,450,11440,12,,
"82,000",,2004,2020,현석동,강변힐스테이트,1,4,59.54,,222,11440,4,,
"87,000",,1999,2020,현석동,밤섬힐스테이트,1,14,59.4,,220,11440,11,,
"89,000",,1999,2020,현석동,밤섬힐스테이트,1,15,59.4,,220,11440,20,,
"84,200",,2004,2020,현석동,강변힐스테이트,1,18,59.54,,222,11440,5,,
"110,000",,1989,2020,현석동,밤섬예가클래식,1,22,89.48,,118,11440,4,,
"69,000",,1999,2020,현석동,밤섬힐스테이트,1,22,59.4,,220,11440,1,,
"89,000",,2004,2020,현석동,강변힐스테이트,1,23,59.78,,222,11440,8,,
"85,000",,2007,2020,창전동,서강오벨리스크스위트,1,1,84.96,,442,11440,5,,
"71,000",,2001,2020,창전동,신촌금호,1,2,59.21,,438,11440,19,,
"135,000",,2007,2020,창전동,서강예가,1,6,119.301,,444,11440,7,,
"120,000",,2019,2020,창전동,마포웨스트리버태영데시앙,1,6,84.793,,449,11440,4,,
"125,000",,2007,2020,창전동,서강예가,1,6,84.988,,444,11440,14,,
"95,000",,2003,2020,창전동,신촌태영데시앙,1,15,84.97,,439,11440,5,,
"94,000",,2003,2020,창전동,신촌태영데시앙,1,15,84.97,,439,11440,6,,
"89,500",,1998,2020,창전동,창전래미안,1,18,84.93,,437,11440,14,,
"78,500",,2001,2020,창전동,신촌금호,1,19,84.86,,438,11440,8,,
"87,500",,2007,2020,창전동,서강오벨리스크스위트,1,20,84.96,,442,11440,10,,
"122,000",,2007,2020,창전동,서강예가,1,21,84.74,,444,11440,8,,
"79,000",,2001,2020,창전동,신촌금호,1,28,84.95,,438,11440,8,,
"145,500",,2014,2020,상수동,래미안밤섬리베뉴Ⅱ,1,17,84.92,,398,11440,17,,
"214,000",,2010,2020,하중동,한강밤섬자이,1,4,168.63,,101,11440,22,,
"80,800",,1999,2020,신정동,서강GS,1,3,59.98,,30,11440,17,,
"78,700",,1999,2020,신정동,서강GS,1,22,59.98,,30,11440,23,,
"78,000",,1999,2020,신정동,서강GS,1,23,59.98,,30,11440,6,,
"100,000",,1999,2020,신정동,서강GS,1,28,84.97,,30,11440,9,,
"155,000",,2012,2020,서교동,메세나폴리스,1,6,142.034,,490,11440,16,,
"173,000",,2012,2020,서교동,메세나폴리스,1,7,142.034,,490,11440,28,,
"28,200",,2005,2020,서교동,대우미래사랑,1,7,34.29,,487,11440,6,,
"141,000",,2012,2020,서교동,메세나폴리스,1,13,122.867,,490,11440,7,,
"143,000",,2012,2020,서교동,메세나폴리스,1,15,122.867,,490,11440,5,,
"77,000",,1997,2020,서교동,대아,1,22,101.49,,329-2,11440,3,,
"180,000",,2012,2020,서교동,메세나폴리스,1,29,148.981,,490,11440,12,,
"59,300",,2005,2020,서교동,대우미래사랑,1,30,68.11,,487,11440,7,,
"180,000",,2012,2020,서교동,메세나폴리스,1,30,148.981,,490,11440,20,,
"53,000",,2000,2020,합정동,장미(466-0),1,11,79.22,,466,11440,8,,
"56,000",,2000,2020,합정동,장미(466-0),1,23,79.22,,466,11440,5,,
"61,800",,1997,2020,망원동,미원2,1,3,93.66,,433-9,11440,3,,
