거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"65,000",,2010,2020,충정로3가,충림예하임,1,3,84.6,,477,11410,4,,
"88,000",,2003,2020,충정로3가,동호,1,13,74.56,,1-37,11410,5,,
"42,000",,1969,2020,충정로3가,미동,1,18,94.81,,189-8,11410,8,,
"91,500",,2008,2020,합동,에스케이뷰,1,2,84.909,,118,11410,3,,
"91,000",,2008,2020,합동,에스케이뷰,1,10,84.909,,118,11410,5,,
"63,000",,2002,2020,냉천동,동부센트레빌,1,3,59.86,,260,11410,8,,
"113,000",,2011,2020,냉천동,돈의문센트레빌,1,7,84.99,,261,11410,5,,
"113,000",,2011,2020,냉천동,돈의문센트레빌,1,15,84.99,,261,11410,13,,
"66,700",,2006,2020,천연동,천연뜨란채,1,3,57.78,,145,11410,13,,
"73,000",,2006,2020,천연동,천연뜨란채,1,4,75.8,,145,11410,16,,
"64,900",,2006,2020,천연동,천연뜨란채,1,6,57.78,,145,11410,9,,
"85,000",,2006,2020,천연동,천연뜨란채,1,6,84.95,,145,11410,8,,
"69,500",,2006,2020,천연동,천연뜨란채,1,7,57.78,,145,11410,12,,
"65,000",,2006,2020,천연동,천연뜨란채,1,9,56.08,,145,11410,8,,
"68,000",,2006,2020,천연동,천연뜨란채,1,10,57.78,,145,11410,9,,
"60,500",,2006,2020,천연동,천연뜨란채,1,11,56.02,,145,11410,2,,
"62,000",,2006,2020,천연동,천연뜨란채,1,12,57.78,,145,11410,1,,
"64,500",,2006,2020,천연동,천연뜨란채,1,13,55.85,,145,11410,5,,
"72,500",,2006,2020,천연동,천연뜨란채,1,15,75.55,,145,11410,9,,
"43,000",,2006,2020,천연동,천연뜨란채,1,18,30.17,,145,11410,12,,
"67,000",,2006,2020,천연동,천연뜨란채,1,18,56.02,,145,11410,13,,
"89,500",,1995,2020,영천동,독립문삼호,1,2,108.63,,100,11410,5,,
"84,500",,1995,2020,영천동,독립문삼호,1,8,84.78,,100,11410,5,,
"82,000",,1995,2020,영천동,독립문삼호,1,18,84.78,,100,11410,1,,
"50,000",,2000,2020,현저동,독립문파크빌,1,5,59.4,,1019,11410,11,,
"89,900",,1998,2020,현저동,독립문극동(200-0),1,6,84.87,,200,11410,12,,
"89,500",,1998,2020,현저동,독립문극동(200-0),1,7,84.87,,200,11410,10,,
"52,000",,2000,2020,현저동,독립문파크빌,1,7,59.4,,1019,11410,9,,
"98,500",,1998,2020,현저동,독립문극동(200-0),1,8,102.45,,200,11410,10,,
"49,800",,2000,2020,현저동,독립문파크빌,1,11,59.4,,1019,11410,4,,
"91,500",,1998,2020,현저동,독립문극동(200-0),1,18,84.87,,200,11410,17,,
"73,000",,1999,2020,북아현동,두산,1,4,59.96,,1009,11410,10,,
"140,000",,2018,2020,북아현동,e편한세상신촌2단지,1,7,84.93,,149,11410,1,,
"66,500",,1999,2020,북아현동,두산,1,8,59.96,,1009,11410,1,,
"148,800",,2018,2020,북아현동,e편한세상신촌2단지,1,11,84.93,,149,11410,7,,
"136,000",,2015,2020,북아현동,신촌푸르지오,1,13,84.9559,,1011,11410,5,,
"126,500",,2018,2020,북아현동,e편한세상신촌2단지,1,15,59.85,,149,11410,17,,
"75,000",,1999,2020,북아현동,두산,1,15,59.96,,1009,11410,9,,
"73,500",,1999,2020,북아현동,두산,1,18,59.96,,1009,11410,10,,
"100,000",,2001,2020,북아현동,우민B,1,18,84.42,,1-49,11410,4,,
"115,000",,2015,2020,북아현동,신촌푸르지오,1,23,59.9973,,1011,11410,13,,
"44,500",,2002,2020,홍제동,문화촌현대,1,1,59.94,,463,11410,2,,
"60,000",,2000,2020,홍제동,홍제원현대(459-0),1,1,59.93,,459,11410,6,,
"63,500",,2002,2020,홍제동,문화촌현대,1,2,84.99,,463,11410,8,,
"52,000",,2002,2020,홍제동,문화촌현대,1,3,59.94,,463,11410,20,,
