거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"127,900",,2014,2020,상왕십리동,텐즈힐(2구역),1,12,84.92,,811,11200,13,,
"144,300",,2014,2020,상왕십리동,텐즈힐(2구역),1,14,127.44,,811,11200,19,,
"120,000",,2015,2020,하왕십리동,텐즈힐(1단지),1,1,84.96,,1066,11200,19,,
"123,000",,2015,2020,하왕십리동,텐즈힐(1단지),1,3,72.52,,1066,11200,12,,
"80,000",,2004,2020,하왕십리동,왕십리풍림아이원,1,4,59.936,,1061,11200,8,,
"82,000",,2016,2020,하왕십리동,센트라스,1,8,40.94,,1070,11200,12,,
"88,000",,1989,2020,하왕십리동,한신무학,1,11,94.46,,990,11200,11,,
"89,700",,2001,2020,하왕십리동,금호베스트빌,1,12,114.93,,1052,11200,7,,
"88,500",,1996,2020,하왕십리동,청계벽산,1,13,84.94,,258,11200,17,,
"102,500",,2017,2020,하왕십리동,왕십리자이,1,14,59.99,,1071,11200,12,,
"101,000",,2017,2020,하왕십리동,왕십리자이,1,15,59.99,,1071,11200,20,,
"99,000",,2017,2020,하왕십리동,왕십리자이,1,16,84.99,,1071,11200,14,,
"98,000",,2017,2020,하왕십리동,왕십리자이,1,19,59.99,,1071,11200,17,,
"12,400",,2013,2020,하왕십리동,상리제나우스,1,21,12.84,,966-18,11200,6,,
"107,000",,2016,2020,하왕십리동,센트라스,1,21,59.99,,1070,11200,9,,
"82,500",,1989,2020,하왕십리동,한신무학,1,25,94.46,,990,11200,3,,
"99,750",,1996,2020,하왕십리동,청계벽산,1,29,114.46,,258,11200,10,,
"40,000",,1975,2020,홍익동,홍익한신,1,6,71.21,,119-1,11200,5,,
"74,000",,2006,2020,도선동,삼성쉐르빌,1,13,84.93,,69,11200,8,,
"62,000",,1998,2020,마장동,현대,1,2,59.91,,818,11200,26,,
"65,700",,2004,2020,마장동,대성유니드,1,4,59.7,,825,11200,19,,
"65,900",,2004,2020,마장동,대성유니드,1,4,59.7,,825,11200,17,,
"62,000",,1998,2020,마장동,현대,1,7,59.91,,818,11200,25,,
"64,800",,1999,2020,마장동,마장동중앙하이츠,1,8,60,,819,11200,13,,
"66,000",,2005,2020,마장동,신명스카이뷰,1,8,84.038,,830,11200,5,,
"66,000",,2004,2020,마장동,대성유니드,1,10,59.7,,825,11200,11,,
"73,000",,2004,2020,마장동,대성유니드,1,11,84.71,,825,11200,18,,
"68,000",,1996,2020,마장동,삼성,1,13,59.76,,817,11200,12,,
"70,000",,1996,2020,마장동,삼성,1,14,59.76,,817,11200,8,,
"60,000",,1999,2020,마장동,마장동중앙하이츠,1,14,60,,819,11200,5,,
"73,500",,1986,2020,마장동,세림,1,16,72.84,,784,11200,6,,
"56,000",,2002,2020,마장동,장원,1,16,84.8,,767-1,11200,3,,
"58,500",,1999,2020,마장동,마장동중앙하이츠,1,17,60,,819,11200,1,,
"54,000",,1986,2020,마장동,세림,1,31,84.93,,784,11200,12,,
