거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"166,000",,2008,2020,잠실동,잠실엘스,1,4,59.96,,19,11710,14,,
"194,000",,2008,2020,잠실동,리센츠,1,4,84.99,,22,11710,8,,
"183,000",,1981,2020,잠실동,우성아파트,1,4,96.65,,101-1,11710,5,,
"188,560",,1978,2020,잠실동,주공아파트 5단지,1,4,76.5,,27,11710,3,,
"189,700",,2008,2020,잠실동,리센츠,1,4,84.99,,22,11710,28,,
"255,000",,2008,2020,잠실동,잠실엘스,1,6,119.93,,19,11710,16,,
"196,000",,2008,2020,잠실동,잠실엘스,1,6,84.8,,19,11710,19,,
"194,500",,1978,2020,잠실동,주공아파트 5단지,1,7,76.5,,27,11710,10,,
"195,000",,2008,2020,잠실동,잠실엘스,1,8,84.8,,19,11710,9,,
"205,000",,2008,2020,잠실동,리센츠,1,10,84.99,,22,11710,21,,
"198,000",,2008,2020,잠실동,잠실엘스,1,11,84.8,,19,11710,14,,
"191,000",,2008,2020,잠실동,잠실엘스,1,11,84.8,,19,11710,16,,
"253,500",,1986,2020,잠실동,아시아선수촌아파트,1,14,99.385,,86,11710,9,,
"180,000",,2007,2020,잠실동,트리지움,1,16,84.95,,35,11710,8,,
"150,500",,2006,2020,잠실동,레이크팰리스,1,16,59.97,,44,11710,16,,
"205,000",,2008,2020,잠실동,리센츠,1,16,84.99,,22,11710,10,,
"95,500",,2008,2020,잠실동,리센츠,1,17,27.68,,22,11710,8,,
"98,000",,2008,2020,잠실동,리센츠,1,18,27.68,,22,11710,13,,
"180,000",,2006,2020,잠실동,레이크팰리스,1,18,84.82,,44,11710,19,,
"215,000",,1981,2020,잠실동,우성아파트,1,18,131.08,,101-1,11710,1,,
"200,000",,2008,2020,잠실동,잠실엘스,1,18,84.8,,19,11710,14,,
"203,000",,2008,2020,잠실동,잠실엘스,1,18,84.8,,19,11710,19,,
"242,000",,1986,2020,잠실동,아시아선수촌아파트,1,22,99.385,,86,11710,11,,
"149,500",,2006,2020,잠실동,레이크팰리스,1,28,59.97,,44,11710,27,,
"187,000",,1978,2020,잠실동,주공아파트 5단지,1,30,76.5,,27,11710,4,,
"212,000",,1981,2020,잠실동,우성아파트,1,30,131.08,,101-1,11710,9,,
"72,000",,1988,2020,신천동,한신코아,1,2,41.99,,11-9,11710,7,,
"166,000",,1979,2020,신천동,장미1,1,4,82.45,,7,11710,10,,
"125,000",,1996,2020,신천동,현대타워,1,4,173.7,,7-28,11710,25,,
"167,000",,1979,2020,신천동,장미1,1,7,82.45,,7,11710,4,,
"70,000",,1988,2020,신천동,한신코아,1,9,41.99,,11-9,11710,15,,
