거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"89,800",,2002,2020,영등포동,영등포푸르지오,1,4,73.133,,647,11560,15,,
"88,000",,2002,2020,영등포동,영등포푸르지오,1,4,73.133,,647,11560,10,,
"89,000",,2002,2020,영등포동,영등포푸르지오,1,7,84.908,,647,11560,6,,
"83,500",,2002,2020,영등포동,영등포푸르지오,1,7,59.912,,647,11560,11,,
"92,000",,2002,2020,영등포동,영등포푸르지오,1,11,79.777,,647,11560,22,,
"92,700",,2002,2020,영등포동,영등포푸르지오,1,11,73.133,,647,11560,21,,
"90,000",,2002,2020,영등포동,영등포푸르지오,1,14,84.84,,647,11560,18,,
"79,500",,2004,2020,영등포동,두산위브,1,15,83.98,,649,11560,9,,
"90,000",,2002,2020,영등포동,영등포푸르지오,1,16,79.777,,647,11560,12,,
"92,500",,2002,2020,영등포동,영등포푸르지오,1,18,84.908,,647,11560,12,,
"90,000",,2002,2020,영등포동,영등포푸르지오,1,18,84.908,,647,11560,4,,
"86,000",,2002,2020,영등포동,영등포푸르지오,1,18,73.133,,647,11560,2,,
"92,000",,2002,2020,영등포동,영등포푸르지오,1,20,84.84,,647,11560,12,,
"89,500",,2002,2020,영등포동,영등포푸르지오,1,22,79.777,,647,11560,18,,
"93,000",,2002,2020,영등포동,영등포푸르지오,1,31,84.84,,647,11560,9,,
"12,300",,2012,2020,영등포동1가,내이처해밀,1,3,14.24,,145,11560,2,,
"14,000",,2013,2020,영등포동1가,스테이72여의도,1,8,12.97,,75-4,11560,6,,
"14,000",,2013,2020,영등포동1가,스테이72여의도,1,8,12.05,,75-4,11560,6,,
"14,000",,2013,2020,영등포동1가,스테이72여의도,1,8,12.06,,75-4,11560,6,,
"11,500",,2011,2020,영등포동1가,헤렌어반,1,23,13.063,,144,11560,7,,
"11,500",,2011,2020,영등포동1가,헤렌어반,1,23,13.063,,144,11560,6,,
"50,900",,1999,2020,영등포동5가,현대프라자,1,3,68.06,,49-1,11560,5,,
"52,400",,1999,2020,영등포동5가,현대프라자,1,15,59.96,,49-1,11560,6,,
"50,000",,1999,2020,영등포동5가,현대프라자,1,17,59.96,,49-1,11560,18,,
"133,000",,2017,2020,영등포동7가,아크로타워스퀘어,1,2,84.69,,203,11560,16,,
"132,000",,2017,2020,영등포동7가,아크로타워스퀘어,1,14,84.69,,203,11560,21,,
"146,000",,2017,2020,영등포동7가,아크로타워스퀘어,1,17,84.75,,203,11560,22,,
"70,000",,1998,2020,영등포동7가,경남아너스빌,1,18,59.9,,46-1,11560,18,,
"71,500",,1998,2020,영등포동7가,경남아너스빌,1,19,59.9,,46-1,11560,15,,
"144,500",,2017,2020,영등포동7가,아크로타워스퀘어,1,21,84.71,,203,11560,12,,
"94,500",,2004,2020,영등포동8가,당산푸르지오,1,16,59.7,,91,11560,20,,
"134,000",,2005,2020,여의도동,롯데캐슬엠파이어,1,2,147.8,,36,11560,4,,
"145,000",,1977,2020,여의도동,진주,1,8,94.31,,54,11560,6,,
"261,000",,2008,2020,여의도동,여의도자이,1,10,210.38,,47,11560,4,,
"170,000",,2005,2020,여의도동,롯데캐슬엠파이어,1,13,156.66,,36,11560,17,,
"148,000",,1975,2020,여의도동,대교,1,13,95.5,,41,11560,3,,
"160,000",,2005,2020,여의도동,롯데캐슬엠파이어,1,15,163.86,,36,11560,24,,
"120,500",,1977,2020,여의도동,목화,1,18,67.77,,30,11560,1,,
"172,000",,1980,2020,여의도동,미성,1,18,101.29,,37,11560,9,,
"114,500",,1977,2020,여의도동,진주,1,22,48.26,,54,11560,7,,
"145,000",,1978,2020,여의도동,미성,1,22,92.53,,37,11560,1,,
"149,000",,2005,2020,여의도동,롯데캐슬엠파이어,1,29,120.41,,36,11560,29,,
"138,000",,2005,2020,여의도동,롯데캐슬아이비,1,30,113.59,,43-4,11560,23,,
"127,500",,2005,2020,여의도동,롯데캐슬아이비,1,30,103.86,,43-4,11560,6,,
"155,000",,2005,2020,여의도동,롯데캐슬엠파이어,1,30,147.8,,36,11560,8,,
"66,500",,2008,2020,당산동1가,신동아파밀리에,1,3,59.4,,457,11560,2,,
"71,000",,1997,2020,당산동1가,진로,1,7,59.4,,16-1,11560,14,,
"69,300",,1997,2020,당산동1가,진로,1,11,59.4,,16-1,11560,5,,
"70,000",,2008,2020,당산동1가,신동아파밀리에,1,13,59.4,,457,11560,8,,
"63,000",,1997,2020,당산동1가,진로,1,17,59.4,,16-1,11560,1,,
"72,500",,1997,2020,당산동1가,진로,1,21,59.4,,16-1,11560,7,,
"87,500",,1997,2020,당산동1가,진로,1,23,84.87,,16-1,11560,19,,
"89,500",,1994,2020,당산동2가,당산2가현대홈타운,1,10,82.77,,164,11560,8,,
"87,300",,1994,2020,당산동2가,당산2가현대홈타운,1,11,82.77,,164,11560,6,,
"32,800",,1999,2020,당산동2가,당산대우,1,11,31.73,,16-1,11560,13,,
"29,500",,1999,2020,당산동2가,당산대우,1,15,31.73,,16-1,11560,10,,
"89,000",,1994,2020,당산동2가,당산2가현대홈타운,1,16,82.77,,164,11560,7,,
"38,500",,1999,2020,당산동2가,당산대우,1,30,45.55,,16-1,11560,20,,
"79,000",,2010,2020,당산동3가,쌍용예가클래식,1,2,68.28,,559,11560,8,,
"80,000",,2010,2020,당산동3가,쌍용예가클래식,1,7,68.28,,559,11560,10,,
"66,200",,2014,2020,당산동3가,당산계룡리슈빌3단지,1,7,49.993,,565,11560,8,,
"69,000",,1979,2020,당산동3가,삼익,1,7,60.83,,394,11560,1,,
"65,000",,2014,2020,당산동3가,당산계룡리슈빌3단지,1,8,49.963,,565,11560,7,,
"61,500",,2014,2020,당산동3가,당산계룡리슈빌2단지,1,9,42.294,,566,11560,2,,
"84,700",,1986,2020,당산동3가,당산한양,1,10,73.87,,2-6,11560,13,,
"65,800",,2014,2020,당산동3가,당산계룡리슈빌3단지,1,10,49.993,,565,11560,8,,
"65,000",,2014,2020,당산동3가,당산계룡리슈빌2단지,1,13,46.203,,566,11560,13,,
"83,500",,2009,2020,당산동3가,당산어울림2차,1,16,84.8711,,563,11560,2,,
"62,500",,2014,2020,당산동3가,당산계룡리슈빌1단지,1,16,42.294,,564,11560,9,,
"58,000",,2014,2020,당산동3가,당산계룡리슈빌1단지,1,17,42.294,,564,11560,3,,
"75,950",,1986,2020,당산동3가,당산한양,1,18,73.87,,2-6,11560,1,,
"77,000",,1986,2020,당산동3가,당산한양,1,28,73.87,,2-6,11560,2,,
"88,500",,2009,2020,당산동3가,당산어울림2차,1,29,84.8711,,563,11560,5,,
"105,500",,2003,2020,당산동3가,동부센트레빌,1,30,114.96,,561,11560,5,,
"76,000",,1997,2020,당산동4가,당산삼성2차,1,2,59.76,,94-1,11560,8,,
"75,000",,1997,2020,당산동4가,당산삼성2차,1,5,59.76,,94-1,11560,15,,
"69,750",,1999,2020,당산동4가,한강아파트,1,6,59.4,,29,11560,19,,
"89,800",,1997,2020,당산동4가,당산삼성2차,1,6,84.93,,94-1,11560,7,,
"94,000",,2000,2020,당산동4가,당산현대5차,1,9,59.75,,30-1,11560,13,,
"96,000",,2002,2020,당산동4가,당산금호어울림,1,10,84.25,,95,11560,9,,
"75,000",,1997,2020,당산동4가,당산삼성2차,1,13,59.76,,94-1,11560,22,,
"79,000",,1997,2020,당산동4가,당산삼성2차,1,13,59.76,,94-1,11560,6,,
"86,700",,2000,2020,당산동4가,당산현대5차,1,15,59.55,,30-1,11560,20,,
"67,900",,1999,2020,당산동4가,한강아파트,1,17,59.4,,29,11560,12,,
"77,000",,1986,2020,당산동4가,현대2,1,18,80.07,,92,11560,8,,
"118,500",,2010,2020,당산동4가,당산반도유보라팰리스,1,18,84.99,,96,11560,17,,
"99,000",,2015,2020,당산동4가,브라운스톤당산,1,20,84.038,,98,11560,6,,
"86,000",,2000,2020,당산동4가,당산현대5차,1,23,59.55,,30-1,11560,12,,
"87,000",,2000,2020,당산동4가,당산현대5차,1,23,59.37,,30-1,11560,25,,
"79,000",,1988,2020,당산동4가,당산현대3차,1,23,59.26,,88,11560,8,,
"89,200",,1988,2020,당산동4가,당산현대3차,1,23,84.5,,88,11560,10,,
"106,000",,2000,2020,당산동4가,당산현대5차,1,29,84.69,,30-1,11560,19,,
"69,000",,1999,2020,당산동4가,한강아파트,1,31,59.4,,29,11560,6,,
"90,000",,1997,2020,당산동5가,성원,1,3,84.96,,40,11560,5,,
"143,500",,2003,2020,당산동5가,당산삼성래미안4차,1,7,115.78,,42,11560,8,,
"148,000",,2003,2020,당산동5가,당산삼성래미안4차,1,8,115.78,,42,11560,8,,
"125,000",,2001,2020,당산동5가,당산효성타운2차,1,8,84.38,,13,11560,14,,
"140,000",,2003,2020,당산동5가,당산삼성래미안4차,1,9,97.27,,42,11560,2,,
"127,700",,2003,2020,당산동5가,당산삼성래미안4차,1,10,84.94,,42,11560,1,,
"139,900",,2003,2020,당산동5가,당산삼성래미안4차,1,10,97.27,,42,11560,11,,
"122,500",,2003,2020,당산동5가,당산삼성래미안4차,1,11,84.94,,42,11560,2,,
"150,000",,2003,2020,당산동5가,당산삼성래미안4차,1,14,161.08,,42,11560,9,,
"35,000",,2005,2020,당산동5가,당산디오빌,1,14,28.86,,11-33,11560,8,,
"150,000",,2003,2020,당산동5가,당산삼성래미안4차,1,15,133.42,,42,11560,19,,
"35,200",,2005,2020,당산동5가,당산디오빌,1,15,29.23,,11-33,11560,7,,
"142,000",,2003,2020,당산동5가,당산삼성래미안4차,1,15,115.78,,42,11560,13,,
"97,500",,1999,2020,당산동5가,당산효성1차,1,17,59.85,,12,11560,14,,
"130,000",,1984,2020,당산동5가,유원제일2차,1,23,123.76,,7-2,11560,8,,
"53,000",,2005,2020,당산동,드림시드,1,16,64.02,,171-19,11560,2,,
"12,500",,2013,2020,당산동,훼미리하우스138,1,17,13.64,,121-108,11560,10,,
"13,000",,2013,2020,당산동,훼미리하우스138,1,20,14.28,,121-108,11560,10,,
"73,000",,2002,2020,당산동,드림리버빌,1,20,74.14,,378,11560,12,,
"97,000",,2002,2020,당산동,강변래미안,1,21,79.43,,376,11560,18,,
"14,600",,2012,2020,당산동,휴브리지빌딩,1,28,17.11,,121-200,11560,6,,
"58,700",,2005,2020,당산동,성재아이캐슬,1,31,84.26,,121-136,11560,7,,
"86,500",,2000,2020,도림동,동아에코빌,1,8,135.81,,165-1,11560,19,,
"64,500",,2000,2020,도림동,동아에코빌,1,22,59.93,,165-1,11560,8,,
"54,800",,1983,2020,문래동2가,남성,1,19,58.52,,35,11560,1,,
"55,000",,1983,2020,문래동2가,남성,1,23,47.3,,35,11560,1,,
"117,000",,2001,2020,문래동3가,문래자이,1,11,84.98,,54,11560,12,,
"77,000",,1998,2020,문래동3가,문래우정,1,11,84.84,,78,11560,8,,
"69,000",,1999,2020,문래동3가,문래해태,1,14,84.69,,13,11560,18,,
"80,000",,1988,2020,문래동3가,문래공원한신,1,14,79.46,,77-2,11560,4,,
"90,000",,2005,2020,문래동3가,태영데시앙,1,15,84.93,,96,11560,11,,
"130,000",,2001,2020,문래동3가,문래자이,1,16,147.34,,54,11560,13,,
"129,000",,2001,2020,문래동3가,문래자이,1,20,121.53,,54,11560,21,,
"94,800",,1983,2020,문래동3가,국화맨션,1,31,84.71,,76-1,11560,3,,
"67,000",,2008,2020,문래동4가,리버뷰신안인스빌1단지,1,3,84.995,,67,11560,16,,
