거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"91,000",,2004,2020,후암동,미소가,1,12,135.2,,55-24,11170,3,,
"44,000",,2004,2020,후암동,제일,1,14,65.61,,438-7,11170,4,,
"78,000",,1980,2020,후암동,후암미주,1,18,62.78,,423-1,11170,5,,
"110,000",,2003,2020,후암동,프리마베라빌,1,22,199.25,,55-20,11170,5,,
"40,500",,2004,2020,후암동,제일,1,23,48.99,,438-7,11170,5,,
"55,000",,1982,2020,용산동2가,용암한신,1,7,72.66,,47-5,11170,5,,
"53,000",,1982,2020,용산동2가,용암한신,1,14,72.66,,47-5,11170,4,,
"134,500",,2013,2020,동자동,센트레빌아스테리움서울,1,29,128.06,,45,11170,23,,
"125,000",,2010,2020,원효로1가,리첸시아용산,1,4,122.85,,133-3,11170,7,,
"140,000",,2014,2020,원효로1가,용산더프라임,1,7,84.976,,41,11170,31,,
"134,000",,2014,2020,원효로1가,용산더프라임,1,9,84.976,,41,11170,11,,
"125,000",,2010,2020,원효로1가,리첸시아용산,1,14,122.85,,133-3,11170,12,,
"138,000",,2014,2020,원효로1가,용산더프라임,1,16,84.976,,41,11170,12,,
"51,500",,1970,2020,원효로2가,원효,1,3,72.73,,94-2,11170,4,,
"40,000",,1970,2020,원효로2가,원효,1,5,52.89,,94-2,11170,3,,
"39,000",,1970,2020,원효로2가,원효,1,16,54.55,,94-2,11170,3,,
"76,000",,2005,2020,신창동,세방리버하이빌,1,11,59.76,,102,11170,2,,
"70,000",,2001,2020,산천동,한강타운,1,2,59.69,,204,11170,10,,
"69,500",,2001,2020,산천동,한강타운,1,2,59.69,,204,11170,10,,
"72,000",,2001,2020,산천동,한강타운,1,4,59.69,,204,11170,12,,
"69,000",,2001,2020,산천동,한강타운,1,11,59.69,,204,11170,9,,
"96,500",,2001,2020,산천동,리버힐삼성,1,12,84.98,,193,11170,1,,
"84,000",,2001,2020,산천동,리버힐삼성,1,12,59.55,,193,11170,1,,
"72,500",,2001,2020,산천동,한강타운,1,14,59.69,,204,11170,11,,
"114,000",,2001,2020,산천동,리버힐삼성,1,18,114.48,,193,11170,5,,
"90,850",,2001,2020,산천동,리버힐삼성,1,18,59.55,,193,11170,8,,
"91,000",,2001,2020,산천동,리버힐삼성,1,22,59.55,,193,11170,13,,
"100,000",,1999,2020,원효로4가,강변삼성스위트,1,11,59.94,,178,11170,15,,
"99,000",,1977,2020,원효로4가,산호,1,21,40.46,,118-16,11170,8,,
"139,000",,1977,2020,원효로4가,산호,1,23,78.06,,118-16,11170,11,,
"103,000",,1977,2020,원효로4가,산호,1,30,78.06,,118-16,11170,2,,
"94,700",,1999,2020,원효로4가,강변삼성스위트,1,31,59.94,,178,11170,15,,
"104,500",,2010,2020,효창동,효창파크푸르지오,1,18,59.41,,274,11170,6,,
"112,000",,2001,2020,도원동,삼성래미안,1,11,84.69,,23,11170,14,,
"105,000",,2011,2020,용문동,브라운스톤,1,18,84.98,,90,11170,1,,
"20,000",,2013,2020,문배동,용산큐브,1,2,13.01,,24-4,11170,20,,
"19,350",,2013,2020,문배동,용산큐브,1,3,13.01,,24-4,11170,16,,
"89,000",,2004,2020,문배동,삼라마이다스빌2,1,6,84.98,,40-19,11170,9,,
"134,700",,2007,2020,문배동,CJ나인파크,1,13,123.47,,24-6,11170,13,,
"77,800",,2004,2020,문배동,삼라마이다스빌2,1,15,66.72,,40-19,11170,11,,
"120,000",,2015,2020,문배동,용산KCC웰츠타워,1,16,84.03,,11-10,11170,22,,
"129,000",,2015,2020,문배동,용산KCC웰츠타워,1,17,84.68,,11-10,11170,29,,
"98,000",,2006,2020,문배동,이안용산3차,1,21,84.83,,40-39,11170,7,,
"97,400",,2006,2020,문배동,이안용산3차,1,22,84.83,,40-39,11170,10,,
"115,000",,2015,2020,문배동,용산KCC웰츠타워,1,23,84.03,,11-10,11170,27,,
"184,000",,2011,2020,신계동,용산e편한세상,1,10,124.08,,48,11170,16,,
"100,000",,1971,2020,한강로1가,삼각아파트,1,9,79.34,,231-23,11170,1,,
"93,000",,1970,2020,한강로1가,삼각아파트,1,14,70.74,,231-23,11170,2,,
"100,000",,1971,2020,한강로1가,삼각아파트,1,28,79.34,,231-23,11170,6,,
"73,000",,2007,2020,한강로2가,용산아이피아대주피오레,1,6,84.6,,2-185,11170,11,,
"44,000",,2004,2020,한강로2가,한강로대우아이빌,1,9,32.39,,2-11,11170,12,,
"242,000",,2012,2020,한강로2가,아스테리움용산,1,21,121.17,,419,11170,30,,
"240,000",,2009,2020,용산동5가,용산파크타워(24-0),1,7,154.47,,24,11170,23,,
"230,000",,2009,2020,용산동5가,용산파크타워(24-0),1,19,123.42,,24,11170,30,,
"195,000",,2009,2020,용산동5가,용산파크타워(24-0),1,31,123.42,,24,11170,20,,
"270,000",,2007,2020,한강로3가,용산시티파크(1단지),1,13,181.89,,63-389,11170,30,,
"250,500",,2007,2020,한강로3가,시티파크(2단지),1,20,184.51,,63-387,11170,17,,
"213,000",,2007,2020,한강로3가,용산시티파크(1단지),1,22,146.53,,63-389,11170,39,,
"123,500",,1999,2020,이촌동,이촌코오롱(B),1,2,59.82,,414,11170,9,,
"72,000",,1971,2020,이촌동,강변,1,4,58.58,,193-3,11170,4,,
"115,000",,1999,2020,이촌동,이촌코오롱(A),1,4,59.82,,412,11170,4,,
"132,000",,1997,2020,이촌동,현대한강,1,6,84.88,,400,11170,9,,
"130,000",,1998,2020,이촌동,한가람,1,10,59.88,,404,11170,6,,
"105,000",,1994,2020,이촌동,대림,1,10,59.22,,395,11170,4,,
"122,000",,2005,2020,이촌동,동원베네스트,1,10,84.973,,434,11170,7,,
"112,500",,2001,2020,이촌동,북한강(성원),1,11,59.55,,422,11170,13,,
"135,500",,1998,2020,이촌동,한가람,1,14,59.88,,404,11170,20,,
"179,998",,1975,2020,이촌동,현대맨숀,1,16,126.1,,301-162,11170,13,,
"73,500",,1971,2020,이촌동,강변,1,16,64.43,,193-3,11170,5,,
"220,000",,1979,2020,이촌동,삼익,1,16,145.19,,300-301,11170,10,,
"149,000",,1975,2020,이촌동,현대맨숀,1,16,99.13,,301-162,11170,9,,
"215,000",,1979,2020,이촌동,삼익,1,18,145.19,,300-301,11170,5,,
"166,000",,1999,2020,이촌동,이촌코오롱(A),1,21,114.69,,412,11170,6,,
"220,000",,1977,2020,이촌동,반도,1,21,136.21,,301-170,11170,5,,
"30,000",,1974,2020,이촌동,빌라맨션,1,22,20.26,,302-86,11170,18,,
"105,000",,2001,2020,이촌동,북한강(성원),1,22,59.55,,422,11170,4,,
"120,500",,1999,2020,이촌동,이촌코오롱(A),1,28,59.82,,412,11170,5,,
"122,000",,1998,2020,이촌동,강촌,1,28,59.12,,402,11170,3,,
"114,000",,1997,2020,이촌동,현대한강,1,28,59.55,,400,11170,19,,
"154,000",,1999,2020,이촌동,이촌코오롱(A),1,30,84.78,,412,11170,14,,
"133,000",,1998,2020,이촌동,한가람,1,30,59.88,,404,11170,14,,
