아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
SK북한산시티,81A㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,58500.0,"5억 5,000~7억 9,000","2억 2,000~5억","5,000/120~2억 5,000/50","5,000/120~2억 5,000/50"
SK북한산시티,109㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,71000.0,"6억 9,500~8억 8,000","3억 5,000~5억 2,000","7,000/120~3억/55","7,000/120~3억/55"
SK북한산시티,111C㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,71000.0,"6억 8,000~8억 8,000","3억 9,000~4억 8,000","7,000/150~2억 5,000/60","7,000/150~2억 5,000/60"
SK북한산시티,111A㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,71000.0,"6억 8,000~9억","3억 7,000~4억 5,000",1억/150~4억/30,1억/150~4억/30
SK북한산시티,111B㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,71000.0,"6억 5,000~7억 5,000","3억 2,000~4억 5,000",,
SK북한산시티,142,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,87000.0,"7억 8,000~9억 8,000","4억 3,000~6억","5,000/170~4억/50","5,000/170~4억/50"
경남아너스빌(1356),87㎡,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,,"6억 3,000~8억 2,000","3억~4억 6,000",3억/30~4억/20,3억/30~4억/20
경남아너스빌(1356),109㎡,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,58500,"8억~9억 5,000","4억 9,000~6억","5,000/200~4억/50","5,000/200~4억/50"
경남아너스빌(1356),142,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,,"9억~10억 2,000",,2억/150,2억/150
경남아너스빌(796),86㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,,,,,
경남아너스빌(796),102㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,58500,"7억 5,000","5억 3,000",,
경남아너스빌(796),108A㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,,"7억 8,000~7억 8,500","4억~4억 5,000",,
경남아너스빌(796),108B㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,71000,,,,
경남아너스빌(796),108C㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,71000,"7억 7,000~7억 9,000",4억,"3억 5,000/50","3억 5,000/50"
경남아너스빌(796),109,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,71000,9억,,,
그린힐빌라트,160㎡,서울시 강북구 미아동 198-36,서울시 강북구 솔매로 147-12,19.0,0.0,,"8억~8억 5,000",,,
그린힐빌라트,215,서울시 강북구 미아동 198-36,서울시 강북구 솔매로 147-12,19.0,0.0,58500,13억,,,
꿈의숲롯데캐슬,83C㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,71000.0,"7억 7,000~9억 4,000","5억~5억 1,000",,
꿈의숲롯데캐슬,83A㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,71000.0,"7억 5,000~9억 8,000","4억 5,000",,
꿈의숲롯데캐슬,85B㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,71000.0,"7억 8,000~10억",,,
꿈의숲롯데캐슬,106B㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,87000.0,"10억 5,000~12억 5,000","5억 3,000",1억/200~4억/110,1억/200~4억/110
꿈의숲롯데캐슬,107A㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,,"8억 9,000~12억","5억 5,000~5억 8,000",1억/200~2억/170,1억/200~2억/170
꿈의숲롯데캐슬,107C㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,71000,10억,,,
꿈의숲롯데캐슬,116T㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,,,,,
꿈의숲롯데캐슬,130,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,,13억~14억,8억,1억/290,1억/290
꿈의숲한신더휴,76㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,,,"4억 3,000",,
꿈의숲한신더휴,82B㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,58500,8억,5억,"3억 5,000/70","3억 5,000/70"
꿈의숲한신더휴,82A㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,,,,,
꿈의숲한신더휴,84D㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,87000,,6억,,
꿈의숲한신더휴,102㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,71000,,"5억 6,000",,
꿈의숲한신더휴,114C㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,71000,,,"2,000/60","2,000/60"
꿈의숲한신더휴,114A㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,71000,,,,
꿈의숲한신더휴,115B,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,71000,,,1억/170,1억/170
꿈의숲해링턴플레이스,62㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,87000.0,"6억 9,000",,,
꿈의숲해링턴플레이스,65㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,,"7억 4,000~7억 5,000",,,
꿈의숲해링턴플레이스,77A㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,,"8억 3,000~9억 5,000","4억 5,000~5억",3억/80,3억/80
꿈의숲해링턴플레이스,78B㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,,"8억 2,000~8억 8,500","4억 3,000~4억 8,000","2억/105~2억 5,000/105","2억/105~2억 5,000/105"
꿈의숲해링턴플레이스,80C㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,,"8억 6,000~8억 9,500",,,
꿈의숲해링턴플레이스,109A㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,58500,"9억 1,000~13억","4억 7,000~6억 5,000","1억/200~4억 5,000/60","1억/200~4억 5,000/60"
꿈의숲해링턴플레이스,109D㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,71000,,,,
꿈의숲해링턴플레이스,110C㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,71000,"9억 8,000~12억 3,000","5억 5,000~6억 5,000",,
꿈의숲해링턴플레이스,110B㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,,"10억 2,000~12억 5,000","6억 5,000",1억/200,1억/200
꿈의숲해링턴플레이스,130㎡,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,71000,12억~14억,"6억 8,000~7억",,
꿈의숲해링턴플레이스,149,서울시 강북구 미아동 1369,서울시 강북구 오현로 45,1028.0,88.0,71000,16억,8억,,
대성,56㎡,서울시 강북구 미아동 258-601,서울시 강북구 오패산로 260,168.0,0.0,,,,,
대성,63A㎡,서울시 강북구 미아동 258-601,서울시 강북구 오패산로 260,168.0,0.0,,,,,
대성,66B㎡,서울시 강북구 미아동 258-601,서울시 강북구 오패산로 260,168.0,0.0,71000,,,,
대성,84A㎡,서울시 강북구 미아동 258-601,서울시 강북구 오패산로 260,168.0,0.0,71000,,,,
대성,85B,서울시 강북구 미아동 258-601,서울시 강북구 오패산로 260,168.0,0.0,58500,,,,
도시공간(도시형),36㎡,서울시 강북구 미아동 218-21,서울시 강북구 도봉로65길 40-3,14.0,0.0,,,,,
도시공간(도시형),40㎡,서울시 강북구 미아동 218-21,서울시 강북구 도봉로65길 40-3,14.0,0.0,58500,,,,
도시공간(도시형),48㎡,서울시 강북구 미아동 218-21,서울시 강북구 도봉로65길 40-3,14.0,0.0,,,,,
도시공간(도시형),50A㎡,서울시 강북구 미아동 218-21,서울시 강북구 도봉로65길 40-3,14.0,0.0,71000,,,,
