아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
가양2단지성지,49A㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,62500.0,"5억 4,000~7억 3,000","1억 8,000~2억 5,000","2,000/70~5,000/65","2,000/70~5,000/65"
가양2단지성지,50B㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,71500.0,,"1억 7,000",,
가양2단지성지,56㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,72500.0,"5억~8억 7,000","1억 9,000~2억 8,000","1,000/65~1억 1,500/50","1,000/65~1억 1,500/50"
가양2단지성지,70A㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,90000.0,8억~10억,"3억~4억 2,000","2,000/110~3억/40","2,000/110~3억/40"
가양2단지성지,70B,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,92500.0,"9억 8,000","3억 1,000",,
가양6단지,51㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,62500.0,"5억 5,000~9억 2,000",2억~3억,,
가양6단지,64㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,72500.0,"7억~9억 5,000","2억 8,000~4억 3,000","2,000/110~3억 1,000/20","2,000/110~3억 1,000/20"
가양6단지,74A㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,90000.0,"8억 2,000~9억 3,000","3억 8,000~4억","5,000/90~8,000/80","5,000/90~8,000/80"
가양6단지,75B㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,71500.0,"8억 9,000~11억 2,000","3억~3억 9,000",3억/50,3억/50
가양6단지,77C,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,,9억~11억,"3억 5,000~3억 8,000","5,000/120~5,000/130","5,000/120~5,000/130"
가양9단지,46㎡,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,62500.0,"5억 1,000~6억 5,000","2억~2억 5,000",1억/60,1억/60
가양9단지,52㎡,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,92500.0,"6억 3,000~7억 3,000","2억 3,000~3억 4,000","3,000/80~2억/20","3,000/80~2억/20"
가양9단지,64,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,,"7억 3,000~9억 5,000","3억~3억 9,000","1억/110~2억 5,000/40","1억/110~2억 5,000/40"
가양강나루2차현대,81㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,62500.0,"9억 8,000~10억 7,000","4억 5,000~5억 3,000",,
가양강나루2차현대,106B㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,90000.0,"10억 5,000",,,
가양강나루2차현대,108A㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,72500.0,,"5억 7,000",,
가양강나루2차현대,144,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,,,,,
가양우성,91㎡,서울시 강서구 가양동 14-3,서울시 강서구 양천로 489,414.0,0.0,62500.0,,"3억 8,000~5억 5,000",,
가양우성,101㎡,서울시 강서구 가양동 14-3,서울시 강서구 양천로 489,414.0,0.0,72500.0,"10억 3,000~10억 7,000","4억 7,000~6억","1억/145~3억 6,000/60","1억/145~3억 6,000/60"
