,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,YH빌리지,33A㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,33.02,26.38,80,1,1,4,,"4억 5,000",,,
1,YH빌리지,34B㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,34.39,27.48,80,1,1,4,,,,,
2,YH빌리지,35A㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,35.34,28.24,80,1,1,4,,,,,
3,YH빌리지,36B,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,36.32,29.03,80,1,1,4,,,,,
0,개포래미안포레스트,74㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,74.31,49.92,67,2,2,118,,15억~17억,"5억 3,000~8억",3억/175~7억/30,3억/175~7억/30
1,개포래미안포레스트,86A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,86.05,59.92,70,3,2,598,,17억~24억,"7억 5,000~11억 3,000","5,000/370~10억/100","5,000/370~10억/100"
2,개포래미안포레스트,86B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,86.11,59.96,70,3,2,64,,,"8억 4,000~10억 5,000",7억/100,7억/100
3,개포래미안포레스트,101㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,101.09,74.66,74,3,2,226,,"22억 5,000~27억","9억 9,000~14억",1억/380~10억/90,1억/380~10억/90
4,개포래미안포레스트,115A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,115.41,84.86,74,3,2,348,,25억~32억,"11억~14억 3,000",1억/460~12억/240,1억/460~12억/240
5,개포래미안포레스트,115B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,115.37,84.83,74,3,2,266,,27억~31억,11억~14억,1억/460~12억/60,1억/460~12억/60
6,개포래미안포레스트,115C㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,115.68,84.9,73,3,2,35,,,"13억~13억 5,000",,
7,개포래미안포레스트,115D㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,115.18,84.59,73,3,2,30,,29억~30억,9억,"5,000/100","5,000/100"
8,개포래미안포레스트,128A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,128.91,96.93,75,4,2,99,,33억~40억,"15억 9,000~18억",3억/450~16억/30,3억/450~16억/30
9,개포래미안포레스트,129B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,129.78,96.91,75,4,2,100,,40억,"15억 9,000~18억",1억/650~16억/100,1억/650~16억/100
10,개포래미안포레스트,135A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,135.96,102.32,75,4,2,161,,35억~41억,17억~21억,"3억/500~16억 5,000/165","3억/500~16억 5,000/165"
11,개포래미안포레스트,136B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,136.79,102.41,75,4,2,31,,38억,"17억 3,000~19억",3억/500~15억/120,3억/500~15억/120
12,개포래미안포레스트,148A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,148.96,112.97,76,4,2,33,,41억~44억,"18억 5,000~21억",5억/510~15억/165,5억/510~15억/165
13,개포래미안포레스트,149B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,149.85,112.73,75,4,2,34,,42억,19억~20억,"5억/480~16억 5,000/165","5억/480~16억 5,000/165"
