,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,강동리버스트4단지,73A㎡,서울시 강동구 강일동 114,서울시 강동구 아리수로93가길 110,1239.0,597.0,73.46,49.82,68,2,1,345,72500.0,"7억 3,000~10억 2,000","3억 4,000~4억 7,000","5,000/140~3억/50","5,000/140~3억/50"
1,강동리버스트4단지,87A,서울시 강동구 강일동 114,서울시 강동구 아리수로93가길 110,1239.0,597.0,87.85,59.99,68,3,2,297,82500.0,"8억~11억 5,000","3억 8,000~5억","5,000/130~3억 5,000/60","5,000/130~3억 5,000/60"
0,강동리버스트8단지,71B㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,71.89,49.8,69,3,1,65,,,,,
1,강동리버스트8단지,72A㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,72.14,49.74,69,2,1,177,72500,,4억,,
2,강동리버스트8단지,85B㎡,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,85.93,59.55,69,2,1,43,,,,,
3,강동리버스트8단지,86A,서울시 강동구 강일동 66,서울시 강동구 아리수로93나길 88,946.0,420.0,86.91,59.97,69,3,2,241,82500,,"4억 3,000~4억 5,000",3억/50~3억/60,3억/50~3억/60
0,강일리버파크10단지,109A㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,109.49,84.83,77,3,2,24,72500.0,,,,
1,강일리버파크10단지,110C㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,110.09,84.74,77,3,2,78,,"10억 5,000~11억 6,000",5억,"2억 5,000/100","2억 5,000/100"
2,강일리버파크10단지,110B㎡,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,110.37,84.53,77,3,2,72,82500,"9억 5,000~12억","5억 4,000",3억/90,3억/90
3,강일리버파크10단지,142,서울시 강동구 강일동 695,서울시 강동구 고덕로97길 20,694.0,470.0,142.14,114.81,81,4,2,50,,"14억~14억 5,000",7억,2억/200,2억/200
