,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,SK북한산시티,81A㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,81.53,59.98,74,3,2,1195,59000.0,"5억 5,000~7억 9,000","2억 2,000~5억","5,000/120~3억/40","5,000/120~3억/40"
1,SK북한산시티,109㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,109.28,84.76,78,3,2,760,71000.0,"6억 9,500~8억 8,000","3억 5,000~5억","7,000/120~3억/55","7,000/120~3억/55"
2,SK북한산시티,111C㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,111.06,84.92,76,3,2,442,71000.0,"6억 8,000~8억 8,000","3억 9,000~4억 8,000","7,000/150~2억 5,000/60","7,000/150~2억 5,000/60"
3,SK북한산시티,111A㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,111.31,84.86,76,3,2,292,71000.0,"6억 8,000~9억","3억 7,000~4억 5,000",1억/150~4억/30,1억/150~4억/30
4,SK북한산시티,111B㎡,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,111.12,84.71,76,3,2,292,71000.0,"6억 5,000~8억 5,500","3억 2,000~4억 5,000","5,000/170","5,000/170"
5,SK북한산시티,142,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,3830.0,0.0,142.21,114.85,81,4,2,849,87500.0,"7억 8,000~9억 8,000","4억 3,000~6억","5,000/170~4억/50","5,000/170~4억/50"
0,경남아너스빌(1356),87㎡,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,87.18,59.96,69,3,1,202,,"6억 3,000~8억 2,000","4억~4억 6,000",3억/30~4억/20,3억/30~4억/20
1,경남아너스빌(1356),109㎡,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,109.48,84.87,78,3,2,461,59000,"8억~9억 5,000","4억 9,000~6억","5,000/200~4억/50","5,000/200~4억/50"
2,경남아너스빌(1356),142,서울시 강북구 미아동 1356,서울시 강북구 오패산로30길 30,860.0,0.0,142.86,114.92,80,4,2,197,,"9억~10억 2,000",,2억/150,2억/150
0,경남아너스빌(796),86㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,86.81,62.71,72,3,2,27,,,,,
1,경남아너스빌(796),102㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,102.02,81.98,80,3,2,30,59000,"7억 5,000","5억 3,000",,
2,경남아너스빌(796),108A㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,108.38,84.91,78,3,2,109,,"7억 8,000~9억",,,
3,경남아너스빌(796),108B㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,108.18,84.87,78,3,2,15,71000,,,,
4,경남아너스빌(796),108C㎡,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,108.91,84.93,78,3,2,15,71000,"7억 7,000~7억 9,000",4억,"3억 5,000/50","3억 5,000/50"
5,경남아너스빌(796),109,서울시 강북구 미아동 796,서울시 강북구 삼양로74길 8,208.0,0.0,109.73,84.98,77,3,2,12,71000,9억,,,
0,그린힐빌라트,160㎡,서울시 강북구 미아동 198-36,서울시 강북구 솔매로 147-12,19.0,0.0,160.92,148.54,92,4,2,18,,"8억~8억 5,000",,,
1,그린힐빌라트,215,서울시 강북구 미아동 198-36,서울시 강북구 솔매로 147-12,19.0,0.0,215.47,198.95,92,4,2,1,59000,13억,,,
0,꿈의숲롯데캐슬,83C㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,83.42,59.99,72,3,2,55,71000.0,"7억 7,000~9억 4,000","5억~5억 1,000",,
1,꿈의숲롯데캐슬,83A㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,83.59,59.97,72,3,2,22,71000.0,"7억 5,000~9억 8,000","4억 5,000",,
2,꿈의숲롯데캐슬,85B㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,85.07,59.98,71,3,2,23,71000.0,"7억 8,000~10억",,,
3,꿈의숲롯데캐슬,106B㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,106.33,84.98,80,3,2,176,87500.0,"10억 5,000~12억 5,000","5억 3,000~6억",1억/200~4억/110,1억/200~4억/110
4,꿈의숲롯데캐슬,107A㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,107.61,84.98,79,3,2,182,,"8억 9,000~12억","5억 5,000~5억 8,000",1억/200~2억/170,1억/200~2억/170
5,꿈의숲롯데캐슬,107C㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,107.49,84.98,79,3,2,24,71000,10억,,,
6,꿈의숲롯데캐슬,116T㎡,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,116.85,84.97,73,3,2,4,,,,,
7,꿈의숲롯데캐슬,130,서울시 강북구 미아동 4,서울시 강북구 오현로 56,615.0,105.0,130.1,104.53,80,4,2,24,,13억~14억,8억,1억/290,1억/290
0,꿈의숲한신더휴,76㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,76.89,55.8,73,3,2,4,,,"4억 3,000",,
1,꿈의숲한신더휴,82B㎡,서울시 강북구 미아동 3-111번지 일대,서울시 강북구 오패산로 202,203.0,0.0,82.23,59.98,73,3,2,74,59000,8억,5억,"3억 5,000/70","3억 5,000/70"
