,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,가양2단지성지,49A㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,49.93,34.44,69,2,1,385,62500.0,"5억 4,000~7억 3,000","1억 8,000~2억 5,000","2,000/70~5,000/65","2,000/70~5,000/65"
1,가양2단지성지,50B㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,50.3,34.69,69,2,1,110,71500.0,,"1억 7,000",,
2,가양2단지성지,56㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,56.91,39.6,70,2,1,625,72500.0,"5억 3,000~8억 7,000","2억~2억 8,000","1,000/100~1억 1,500/50","1,000/100~1억 1,500/50"
3,가양2단지성지,70A㎡,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,70.12,49.56,71,3,1,414,90000.0,8억~10억,"3억~4억 2,000","2,000/110~3억/40","2,000/110~3억/40"
4,가양2단지성지,70B,서울시 강서구 가양동 1461,서울시 강서구 허준로 47,1624.0,0.0,70.24,49.65,71,3,1,90,92500.0,"9억 8,000","3억 1,000~3억 6,000",,
0,가양6단지,51㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,51.96,39.6,76,2,1,432,62500.0,"6억 5,000~9억 2,000",2억~3억,,
1,가양6단지,64㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,64.98,49.5,76,3,1,594,72500.0,"7억~9억 5,000","3억~4억 3,000","2,000/120~3억 1,000/20","2,000/120~3억 1,000/20"
2,가양6단지,74A㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,74.58,58.65,79,3,1,90,90000.0,"8억 8,000~9억 3,000","3억 8,000~4억","5,000/90~8,000/80","5,000/90~8,000/80"
3,가양6단지,75B㎡,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,75.89,58.65,77,3,1,240,71500.0,"8억 9,000~11억 2,000","3억~3억 9,000",3억/50,3억/50
4,가양6단지,77C,서울시 강서구 가양동 1485,서울시 강서구 허준로 175,1476.0,0.0,77.37,58.65,76,3,1,120,,9억~11억,"2억 9,700~3억 8,000","5,000/120~5,000/130","5,000/120~5,000/130"
0,가양9단지,46㎡,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,46.87,34.44,73,2,1,300,62500.0,"5억 1,000~6억 5,000","2억~2억 5,000","3,000/80~1억/60","3,000/80~1억/60"
1,가양9단지,52㎡,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,52.48,39.6,75,2,1,405,92500.0,"6억 3,000~7억 3,000","2억 3,000~3억 4,000","3,000/80~2억/20","3,000/80~2억/20"
2,가양9단지,64,서울시 강서구 가양동 1490,서울시 강서구 허준로 234,1005.0,0.0,64.32,49.5,77,3,1,300,,"7억 3,000~9억 5,000","3억~3억 9,000",1억/110~2억/50,1억/110~2억/50
0,가양강나루2차현대,81㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,81.45,59.97,74,3,1,38,62500.0,"9억 8,000~10억 7,000","4억 5,000~5억 3,000",,
1,가양강나루2차현대,106B㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,106.44,84.84,80,3,2,19,90000.0,"10억 5,000",,,
2,가양강나루2차현대,108A㎡,서울시 강서구 가양동 448,서울시 강서구 양천로 497,114.0,0.0,108.95,84.99,78,3,2,38,72500.0,,"5억 7,000",,
