,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,광나루현대,103C㎡,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,103.72,84.59,82,3,2,21,123000.0,"10억 5,000~13억 8,000",6억,,
1,광나루현대,103A㎡,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,103.92,84.59,81,3,2,1,123000.0,,,,
2,광나루현대,104B,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,104.14,84.92,82,3,2,358,122500.0,"9억 9,000~15억",5억~8억,1억/200~5억/70,1억/200~5억/70
0,광장극동2차,92㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,92.66,75.55,82,3,1,280,123000.0,16억,"4억 6,500~6억 2,000",,
1,광장극동2차,104㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,104.15,84.55,81,3,1,476,122500.0,"16억~17억 5,000",5억~7억,"1억/190~5억 5,000/30","1억/190~5억 5,000/30"
2,광장극동2차,120㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,120.96,102.61,85,3,2,28,123000.0,19억,8억,,
3,광장극동2차,149㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,149.64,126.94,85,4,2,56,,,,,
4,광장극동2차,179,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,179.36,156.91,87,5,2,56,,24억~25억,11억,"5억/160~8억 5,000/160","5억/160~8억 5,000/160"
0,광장금호베스트빌,81㎡,서울시 광진구 광장동 578,서울시 광진구 광나루로 579,242.0,0.0,81.14,59.93,74,3,1,76,123000.0,12억,"5억 8,000~6억 5,000",,
1,광장금호베스트빌,108,서울시 광진구 광장동 578,서울시 광진구 광나루로 579,242.0,0.0,108.34,84.91,78,3,2,166,122500.0,"13억~14억 9,000","7억 8,000~9억",6억/100,6억/100
0,광장빌리지(도시형),65A㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,65.19,55.2,85,3,1,5,123000.0,,,,
1,광장빌리지(도시형),65D㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,65.71,56.12,85,3,1,5,,,,,
2,광장빌리지(도시형),65E㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,65.76,56.17,85,3,1,5,,,,,
3,광장빌리지(도시형),66C㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,66.06,55.94,85,3,1,5,123000,"5억 8,000",,,
4,광장빌리지(도시형),66B㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,66.26,55.45,84,3,1,1,122500,,,,
5,광장빌리지(도시형),67A㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,67.96,56.87,84,3,1,4,,"5억 9,000",,,
6,광장빌리지(도시형),68B㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,68.01,56.91,84,3,1,3,,,,,
7,광장빌리지(도시형),101,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,101.3,84.76,84,3,1,1,,,,,
0,광장신동아파밀리에,107A㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,107.26,84.78,79,3,2,114,123000.0,"15억 5,000","8억~8억 5,000",,
1,광장신동아파밀리에,107B㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,107.5,84.69,79,3,2,111,122500.0,"15억 5,000~15억 6,000","7억~8억 5,000","4억 5,000/120~7억/50","4억 5,000/120~7억/50"
2,광장신동아파밀리에,107C㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,107.03,84.55,79,3,2,65,123000.0,14억,8억,,
3,광장신동아파밀리에,107D,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,107.02,84.46,79,3,2,12,,,,,
0,광장자이,157㎡,서울시 광진구 광장동 581,서울시 광진구 광나루로 595,122.0,0.0,157.52,125.89,80,4,2,41,123000.0,27억,,,
1,광장자이,198㎡,서울시 광진구 광장동 581,서울시 광진구 광나루로 595,122.0,0.0,198.55,158.26,80,4,2,79,122500.0,"28억~28억 5,000",15억~17억,"12억/120~12억 5,000/120","12억/120~12억 5,000/120"
2,광장자이,306,서울시 광진구 광장동 581,서울시 광진구 광나루로 595,122.0,0.0,306.36,238.46,78,4,4,2,123000.0,55억,,,
0,광장현대3단지,73㎡,서울시 광진구 광장동 484,서울시 광진구 아차산로70길 62,1056.0,0.0,73.22,59.67,81,2,1,252,123000.0,10억~12억,"4억 2,000~5억 9,000","4억/20~4억 5,000/60","4억/20~4억 5,000/60"
1,광장현대3단지,91㎡,서울시 광진구 광장동 484,서울시 광진구 아차산로70길 62,1056.0,0.0,91.94,74.92,81,3,1,168,122500.0,"11억 5,000~13억 5,000","5억 6,000~6억 5,000","4억 5,000/30","4억 5,000/30"
2,광장현대3단지,106,서울시 광진구 광장동 484,서울시 광진구 아차산로70길 62,1056.0,0.0,106.3,84.97,80,3,2,636,123000.0,"12억 5,000~18억 5,000",6억~8억,"1억/210~6억 5,000/30","1억/210~6억 5,000/30"
0,광장현대5단지,73㎡,서울시 광진구 광장동 554-7,서울시 광진구 아차산로70길 61,581.0,0.0,73.68,59.67,81,2,1,171,123000.0,12억~14억,"4억 4,100~6억",2억/120~4억/50,2억/120~4억/50
1,광장현대5단지,92㎡,서울시 광진구 광장동 554-7,서울시 광진구 아차산로70길 61,581.0,0.0,92.46,74.88,81,3,1,114,122500.0,"15억 5,000","5억 5,000~6억 5,000",,
2,광장현대5단지,104,서울시 광진구 광장동 554-7,서울시 광진구 아차산로70길 61,581.0,0.0,104.99,84.53,81,3,2,296,123000.0,"14억 8,000~17억 5,000","6억 3,000~7억 5,000","5,000/390~6억 5,000/20","5,000/390~6억 5,000/20"
0,광장현대파크빌10차,75A㎡,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,75.33,59.76,79,2,1,228,123000.0,13억~14억,"5억 5,000~7억","1억 5,000/170~5억/60","1억 5,000/170~5억/60"
1,광장현대파크빌10차,75C㎡,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,75.12,59.55,79,3,1,100,123000.0,"12억 5,000~14억 5,000","6억 2,000~6억 8,000",1억/200~5억/80,1억/200~5억/80
2,광장현대파크빌10차,75D㎡,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,75.51,59.94,79,2,1,25,,,"6억 5,000~6억 8,000",5억/40,5억/40
3,광장현대파크빌10차,75B㎡,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,75.33,59.76,79,2,1,19,122500,,,,
4,광장현대파크빌10차,99A㎡,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,99.82,84.81,85,3,2,773,,"15억 6,000~18억",7억~11억,"2억/250~7억 5,000/60","2억/250~7억 5,000/60"
5,광장현대파크빌10차,99B,서울시 광진구 광장동 577,서울시 광진구 아차산로 549,1170.0,0.0,99.52,84.51,85,3,2,25,,,,,
0,광장현대홈타운11차,109A㎡,서울시 광진구 광장동 579,서울시 광진구 아차산로69길 29,159.0,0.0,109.13,84.94,78,3,2,96,123000.0,20억~23억,11억~13억,10억/110~10억/150,10억/110~10억/150
1,광장현대홈타운11차,109A1㎡,서울시 광진구 광장동 579,서울시 광진구 아차산로69길 29,159.0,0.0,109.51,84.94,78,3,2,35,123000.0,"20억~21억 5,000","11억~13억 1,000",,
2,광장현대홈타운11차,109B,서울시 광진구 광장동 579,서울시 광진구 아차산로69길 29,159.0,0.0,109.08,84.94,78,3,2,28,122500.0,,,,
0,광장현대홈타운12차,180㎡,서울시 광진구 광장동 580,서울시 광진구 천호대로 808,119.0,0.0,180.11,143.86,80,4,2,77,123000.0,25억,,,
1,광장현대홈타운12차,185,서울시 광진구 광장동 580,서울시 광진구 천호대로 808,119.0,0.0,185.57,147.23,79,4,2,42,122500.0,"26억 9,000","12억 5,000~13억",12억/30,12억/30
0,광장힐스테이트,82㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,82.75,59.99,72,3,2,98,,,"8억 5,000~16억",3억/170~8억/60,3억/170~8억/60
1,광장힐스테이트,112A㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,112.36,84.9,76,3,2,46,,,"11억~13억 5,000",2억/320~5억/200,2억/320~5억/200
2,광장힐스테이트,113B㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,113.59,84.97,75,3,2,34,,"19억 5,000~22억 5,000",,,
3,광장힐스테이트,115C㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,115.03,84.96,74,3,2,100,,"21억 5,000~22억 5,000","11억 5,000~14억",1억/360~2억/400,1억/360~2억/400
4,광장힐스테이트,157A㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,157.45,130.17,83,4,2,75,122500,26억,16억,8억/250~10억/210,8억/250~10억/210
5,광장힐스테이트,157B㎡,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,157.45,130.17,83,4,2,75,123000,26억,16억,9억/330,9억/330
6,광장힐스테이트,161,서울시 광진구 광장동 582,서울시 광진구 아차산로 537-17,453.0,0.0,161.33,131.96,82,4,2,25,123000,,,,
0,광희현대타워,114㎡,서울시 광진구 광장동 457-1,서울시 광진구 아차산로70길 26,7.0,0.0,114.92,68.19,59,3,2,3,123000.0,,,,
1,광희현대타워,122㎡,서울시 광진구 광장동 457-1,서울시 광진구 아차산로70길 26,7.0,0.0,122.17,72.49,59,3,2,3,122500.0,,,,
2,광희현대타워,141,서울시 광진구 광장동 457-1,서울시 광진구 아차산로70길 26,7.0,0.0,141.27,83.82,59,4,2,1,123000.0,,,,
0,극동1차,103㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,448.0,0.0,103.63,84.55,82,3,1,140,123000.0,"18억~18억 5,000","5억 5,000~6억 5,000","3억 5,000/70~4억 3,000/30","3억 5,000/70~4억 3,000/30"
