,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,미래하이츠,98A㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,98.52,83.56,85,3,2,1,,,,,
1,미래하이츠,99B㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,99.34,84.26,85,3,2,5,,,,,
2,미래하이츠,110㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,110.35,93.59,85,3,2,6,,,,,
3,미래하이츠,114,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,114.3,96.94,85,3,2,6,,,,,
0,효성,84㎡,서울시 구로구 가리봉동 139,서울시 구로구 남부순환로 1299,96.0,0.0,84.28,59.94,71,3,1,42,,"5억 2,000~5억 5,000",,,
1,효성,119,서울시 구로구 가리봉동 139,서울시 구로구 남부순환로 1299,96.0,0.0,119.32,84.87,71,3,2,54,,"5억 5,000~6억 8,000",,,
0,e-푸른,72㎡,서울시 구로구 개봉동 491,서울시 구로구 개봉로17아길 41-13,36.0,0.0,72.34,59.2,82,3,2,12,,"4억 5,000","3억~3억 2,000",,
1,e-푸른,101,서울시 구로구 개봉동 491,서울시 구로구 개봉로17아길 41-13,36.0,0.0,101.45,83.02,82,3,2,24,,5억,,,
0,개봉가연(도시형),17㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,17.58,12.25,70,1,1,1,,,,,
1,개봉가연(도시형),20㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,20.17,14.05,70,1,1,1,,,,,
2,개봉가연(도시형),22B㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,22.61,15.75,70,1,1,5,,,,,
3,개봉가연(도시형),22A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,22.6,15.75,70,1,1,4,,,,,
4,개봉가연(도시형),24C㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,24.11,16.8,70,1,1,5,,,,,
5,개봉가연(도시형),25B㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,25.62,17.85,70,1,1,4,,,,"1,000/50","1,000/50"
6,개봉가연(도시형),25A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,25.12,17.5,70,1,1,1,,,,,
7,개봉가연(도시형),33A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,33.44,23.3,70,1,1,1,,,,,
