,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
0,G밸리페트라힐스(도시형),20A㎡,서울시 금천구 가산동 139-15,서울시 금천구 디지털로 207,142.0,0.0,19.45,12.52,64,1,1,126,,,"1억 4,000~1억 4,500","1억 3,000/5","1억 3,000/5"
1,G밸리페트라힐스(도시형),41B,서울시 금천구 가산동 139-15,서울시 금천구 디지털로 207,142.0,0.0,39.16,25.78,66,1,1,16,,,"2억 4,000","1억 5,000/50","1억 5,000/50"
0,S-클레스(도시형),34㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,34.32,28.68,84,1,1,4,,,"1억 9,950",,
1,S-클레스(도시형),35D㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,35.88,29.98,84,2,1,8,,,,,
2,S-클레스(도시형),35B㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,35.81,29.92,84,2,1,4,,,,,
3,S-클레스(도시형),36E㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,36.33,29.99,83,2,1,8,,,,,
4,S-클레스(도시형),36A㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,36.22,29.9,83,1,1,4,,,,,
5,S-클레스(도시형),36C,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,36.29,29.96,83,2,1,4,,,,,
0,UCL,29A㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,29.82,22.48,75,1,1,3,,,,,
1,UCL,30B㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,30.45,23.14,76,1,1,3,,,,,
2,UCL,31C㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,31.87,24.27,76,1,1,3,,,,,
3,UCL,32D㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,32.13,24.54,76,1,1,3,,,,,
4,UCL,32E㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,32,24.66,77,1,1,3,,,,,
5,UCL,32F,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,32.71,24.71,76,1,1,3,,,,,
0,가산양우내안애애플(도시형),21A㎡,서울시 금천구 가산동 141-2,서울시 금천구 남부순환로 1266,200.0,0.0,21.84,12.04,55,1,1,164,,"1억 3,000","1억 2,000~1억 4,000","500/50~1억 3,000/5","500/50~1억 3,000/5"
1,가산양우내안애애플(도시형),28B,서울시 금천구 가산동 141-2,서울시 금천구 남부순환로 1266,200.0,0.0,28.5,15.73,55,1,1,36,,"1억 5,000",,"2,000/60","2,000/60"
0,가산지웰에스테이트(도시형),20㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,20.4,12.13,59,1,1,20,,,,,
1,가산지웰에스테이트(도시형),25A㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,25.58,15.09,59,1,1,10,,,"1억 3,500",,
2,가산지웰에스테이트(도시형),26B㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,26.16,15.52,59,1,1,20,,"1억 7,000",,"500/55~1억 2,000/10","500/55~1억 2,000/10"
3,가산지웰에스테이트(도시형),26D㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,26.65,15.96,60,1,1,10,,,,,
4,가산지웰에스테이트(도시형),27E㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,27.94,16.26,58,1,1,20,,,,,
5,가산지웰에스테이트(도시형),27C㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,27.08,15.95,59,1,1,18,,,,,
6,가산지웰에스테이트(도시형),54,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,54.45,33.14,61,1,1,1,,,,,
0,가산지웰에스테이트2차(도시형),21AA㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,21.39,14.12,66,1,1,213,,"1억 3,000~1억 6,000","1억 3,500~1억 5,000","1,000/60~3,700/35","1,000/60~3,700/35"
1,가산지웰에스테이트2차(도시형),21AB㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,21.57,14.21,66,1,1,17,,,,,
2,가산지웰에스테이트2차(도시형),21AD㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,21.39,14.12,66,1,1,1,,,,"500/52~1,000/60","500/52~1,000/60"
3,가산지웰에스테이트2차(도시형),22AC,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,22.56,14.94,66,1,1,7,,,,,
0,가산피어니빌(도시형),22A㎡,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,22.76,13.37,59,1,1,5,,,,,
1,가산피어니빌(도시형),22B㎡,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,22.91,13.46,59,1,1,4,,,,,
2,가산피어니빌(도시형),23E㎡,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,23.83,14.04,59,1,1,25,,,,,
3,가산피어니빌(도시형),23C㎡,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,23.45,13.8,59,1,1,20,,,,500/60,500/60
4,가산피어니빌(도시형),23D㎡,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,23.55,13.87,59,1,1,6,,,,500/55,500/55
5,가산피어니빌(도시형),35,서울시 금천구 가산동 143-20,서울시 금천구 디지털로12길 37,66.0,0.0,35.17,21.08,60,1,1,6,,,"1억 4,000",,
0,대동,55,서울시 금천구 가산동 151-14,서울시 금천구 시흥대로153길 74-1,48.0,0.0,55.64,50.41,91,2,1,48,,,,,
0,대동리버파크,17㎡,서울시 금천구 가산동 235-81,서울시 금천구 두산로9가길 19-9,32.0,0.0,17.64,14.72,83,1,1,1,,,,,
1,대동리버파크,23㎡,서울시 금천구 가산동 235-81,서울시 금천구 두산로9가길 19-9,32.0,0.0,23.57,19.45,83,1,1,7,,,,,
2,대동리버파크,31,서울시 금천구 가산동 235-81,서울시 금천구 두산로9가길 19-9,32.0,0.0,31.29,25.83,83,1,1,24,,,,,
0,대동파크빌(도시형),31A㎡,서울시 금천구 가산동 235-48,서울시 금천구 가산로3길 70-1,16.0,0.0,31.97,27.39,86,1,1,4,,,,,
1,대동파크빌(도시형),32B㎡,서울시 금천구 가산동 235-48,서울시 금천구 가산로3길 70-1,16.0,0.0,32.44,27.81,86,1,1,4,,,,,
2,대동파크빌(도시형),32C㎡,서울시 금천구 가산동 235-48,서울시 금천구 가산로3길 70-1,16.0,0.0,32.71,28.02,86,1,1,4,,,,,
3,대동파크빌(도시형),33D,서울시 금천구 가산동 235-48,서울시 금천구 가산로3길 70-1,16.0,0.0,33.18,28.44,86,1,1,4,,,,,
0,덕산,81,서울시 금천구 가산동 148-1,서울시 금천구 시흥대로151길 45,98.0,0.0,81.66,59.97,73,3,1,98,,"4억 4,000","3억 3,000",,
0,도시엔원진(도시형),13B㎡,서울시 금천구 가산동 139-14,서울시 금천구 디지털로 209,29.0,0.0,13.92,13.92,100,1,1,16,,,,,
1,도시엔원진(도시형),13A,서울시 금천구 가산동 139-14,서울시 금천구 디지털로 209,29.0,0.0,13.08,13.08,100,1,1,5,,,,,
0,"두산(772,주상복합)",75㎡,서울시 금천구 가산동 772,서울시 금천구 가산로 106,56.0,0.0,75.59,47.15,62,2,1,7,,,,,
1,"두산(772,주상복합)",94,서울시 금천구 가산동 772,서울시 금천구 가산로 106,56.0,0.0,94.99,59.25,62,3,1,49,,"4억~4억 9,000",,,
0,두산위브,81㎡,서울시 금천구 가산동 769,서울시 금천구 가산로 99,1495.0,0.0,81.73,59.84,73,3,1,654,,"6억 5,000~7억 2,000","3억 5,000~4억",2억/70,2억/70
1,두산위브,107㎡,서울시 금천구 가산동 769,서울시 금천구 가산로 99,1495.0,0.0,107.59,84.9,79,3,2,567,,"7억 1,000~8억 8,000","4억~5억 3,000","5,000/140~5,000/150","5,000/140~5,000/150"
2,두산위브,127㎡,서울시 금천구 가산동 769,서울시 금천구 가산로 99,1495.0,0.0,127.7,101.67,80,3,2,100,,,"5억 6,000",,
3,두산위브,162,서울시 금천구 가산동 769,서울시 금천구 가산로 99,1495.0,0.0,162.82,134.95,83,4,2,174,,"9억 5,000~12억","6억 5,000~6억 7,000",4억/100,4억/100
0,드림캐슬1차(주상복합),96㎡,서울시 금천구 가산동 235-57,서울시 금천구 두산로5길 58,18.0,0.0,96.66,74.02,77,3,2,1,,,,,
1,드림캐슬1차(주상복합),101A㎡,서울시 금천구 가산동 235-57,서울시 금천구 두산로5길 58,18.0,0.0,101.37,77.11,76,3,2,5,,5억,,,
2,드림캐슬1차(주상복합),101B㎡,서울시 금천구 가산동 235-57,서울시 금천구 두산로5길 58,18.0,0.0,101.63,77.12,76,3,2,5,,,,,
3,드림캐슬1차(주상복합),101C㎡,서울시 금천구 가산동 235-57,서울시 금천구 두산로5길 58,18.0,0.0,101.28,77.74,77,3,2,4,,,,,
4,드림캐슬1차(주상복합),103D,서울시 금천구 가산동 235-57,서울시 금천구 두산로5길 58,18.0,0.0,103.75,79.17,76,3,2,3,,,,,
0,드림캐슬2차,104B㎡,서울시 금천구 가산동 235-13,서울시 금천구 두산로9가길 30,18.0,0.0,104.76,84.6,81,3,2,12,,"4억 5,000~5억 3,000",,,
1,드림캐슬2차,104A,서울시 금천구 가산동 235-13,서울시 금천구 두산로9가길 30,18.0,0.0,104.91,84.57,81,3,2,6,,,,,
0,드림캐슬3차,101,서울시 금천구 가산동 237-81,서울시 금천구 두산로3길 36-11,12.0,0.0,101.58,84.8,83,3,2,12,,,,,
0,뜨라레(주상복합),23㎡,서울시 금천구 가산동 140-78,서울시 금천구 디지털로12길 13,12.0,0.0,23.62,16.03,68,1,1,4,,,,,
1,뜨라레(주상복합),25A㎡,서울시 금천구 가산동 140-78,서울시 금천구 디지털로12길 13,12.0,0.0,25.42,17.25,68,1,1,4,,,,,
2,뜨라레(주상복합),26B,서울시 금천구 가산동 140-78,서울시 금천구 디지털로12길 13,12.0,0.0,26.87,18.23,68,1,1,4,,,,,
0,라비앙케슬,41㎡,서울시 금천구 가산동 147-33,서울시 금천구 시흥대로153길 68-6,12.0,0.0,41.93,33.84,81,2,1,4,,,,,
1,라비앙케슬,59,서울시 금천구 가산동 147-33,서울시 금천구 시흥대로153길 68-6,12.0,0.0,59.25,47.82,81,2,1,8,,,,,
0,라온,27,서울시 금천구 가산동 140-20,서울시 금천구 디지털로 208-13,21.0,0.0,27.17,17.44,64,1,1,21,,,,,
0,로뎀아트빌(도시형),48A㎡,서울시 금천구 가산동 142-33,서울시 금천구 남부순환로108길 20-1,8.0,0.0,48.03,41.49,86,2,1,4,,,,,
