Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,90600.0,90700.0,87600.0,87800.0,83818.351563,134537
2020-01-03,87800.0,88700.0,87400.0,87800.0,83818.351563,101282
2020-01-06,87000.0,87400.0,83500.0,84100.0,80286.140625,235620
2020-01-07,85000.0,86000.0,83500.0,85200.0,81336.257813,146068
2020-01-08,83700.0,84100.0,81500.0,82600.0,78854.171875,172508
2020-01-09,83100.0,84600.0,82700.0,83600.0,79808.820313,197330
2020-01-10,82900.0,83900.0,82300.0,83600.0,79808.820313,116901
2020-01-13,83700.0,85100.0,83000.0,84100.0,80286.140625,95972
2020-01-14,84300.0,85500.0,84100.0,84600.0,80763.46875,69738
2020-01-15,85000.0,87000.0,84500.0,85700.0,81813.585938,152496
2020-01-16,85700.0,86400.0,85200.0,85400.0,81527.1875,68357
2020-01-17,85800.0,86500.0,85400.0,85400.0,81527.1875,69174
2020-01-20,85200.0,87500.0,85000.0,86400.0,82481.835938,81869
2020-01-21,86500.0,87600.0,86100.0,87000.0,83054.632813,70851
2020-01-22,87800.0,88000.0,86800.0,87600.0,83627.421875,60015
2020-01-23,85600.0,86300.0,84400.0,85100.0,81240.796875,181685
2020-01-28,83100.0,85200.0,83000.0,83200.0,79426.960938,88395
2020-01-29,83500.0,85300.0,82500.0,84500.0,80668.007813,114834
2020-01-30,84200.0,85200.0,83600.0,83800.0,79999.75,90995
2020-01-31,84900.0,85100.0,81000.0,81000.0,77326.726563,163308
2020-02-03,81000.0,81900.0,79300.0,79600.0,75990.210938,146546
2020-02-04,79800.0,83300.0,79700.0,81700.0,77994.984375,125134
2020-02-05,84100.0,84100.0,82100.0,82500.0,78758.703125,151915
2020-02-06,82900.0,85200.0,82100.0,84500.0,80668.007813,156210
2020-02-07,84600.0,84800.0,83100.0,83900.0,80095.210938,71948
2020-02-10,83200.0,83900.0,81400.0,82200.0,78472.3125,114859
2020-02-11,82500.0,83900.0,82300.0,83300.0,79522.421875,105852
2020-02-12,82700.0,85100.0,82700.0,85100.0,81240.796875,126575
2020-02-13,84800.0,84900.0,82900.0,83000.0,79236.03125,122116
2020-02-14,83000.0,83200.0,80700.0,80800.0,77135.789063,170016
2020-02-17,81100.0,81400.0,79400.0,80800.0,77135.789063,120557
2020-02-18,180972.421875,181648.546875,179845.578125,180972.421875,172765.484375,40311
2020-02-19,182099.28125,182324.65625,178493.359375,178718.71875,170613.984375,43874
2020-02-20,179169.46875,180070.953125,174887.421875,175338.171875,167386.75,59554
2020-02-21,173535.203125,175563.53125,172408.359375,172859.09375,165020.09375,47362
2020-02-24,167900.9375,168577.0625,163844.28125,164295.015625,156844.390625,87180
2020-02-25,163844.28125,172859.09375,162492.0625,171732.234375,163944.34375,75811
2020-02-26,166774.09375,174211.3125,166774.09375,171056.125,163298.890625,62954
