Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,23606.804688,23745.667969,23514.228516,23514.228516,22365.439453,168492
2020-01-03,23606.804688,23838.244141,23329.078125,23375.365234,22233.361328,227452
2020-01-06,23190.214844,23236.501953,22403.320313,22588.472656,21484.912109,357463
2020-01-07,22588.472656,22866.199219,22403.320313,22588.472656,21484.912109,226320
2020-01-08,22495.896484,22495.896484,21060.972656,21246.125,20208.144531,506426
2020-01-09,21477.564453,21847.867188,21477.564453,21709.003906,20648.410156,281398
2020-01-10,21662.714844,21986.730469,21523.851563,21940.441406,20868.539063,223135
2020-01-13,21107.261719,21153.548828,20644.382813,20922.109375,19899.958984,854629
2020-01-14,21060.972656,22033.017578,20829.533203,21801.578125,20736.460938,703948
2020-01-15,21755.291016,21894.154297,21431.275391,21662.714844,20604.382813,721796
2020-01-16,21662.714844,21755.291016,21477.564453,21662.714844,20604.382813,349816
2020-01-17,21709.003906,21755.291016,21570.138672,21662.714844,20604.382813,245113
2020-01-20,21616.427734,21662.714844,21199.835938,21338.701172,20296.197266,595132
2020-01-21,21523.851563,21616.427734,21153.548828,21153.548828,20120.089844,425499
2020-01-22,21292.412109,21662.714844,21246.125,21431.275391,20384.25,725053
2020-01-23,21384.988281,21894.154297,21014.685547,21801.578125,20736.460938,453937
2020-01-28,21292.412109,21523.851563,20783.246094,20968.396484,19943.984375,389013
2020-01-29,20829.533203,21477.564453,20644.382813,21199.835938,20164.117188,266390
2020-01-30,21060.972656,22218.169922,21060.972656,21616.427734,20560.357422,686439
2020-01-31,21750.0,21850.0,20800.0,20900.0,19878.929688,427595
2020-02-03,20650.0,21150.0,20200.0,20500.0,19498.472656,473420
2020-02-04,20300.0,20600.0,20250.0,20350.0,19355.798828,362769
2020-02-05,20550.0,20750.0,20000.0,20150.0,19165.572266,499006
2020-02-06,20600.0,21450.0,20200.0,21400.0,20354.501953,645633
2020-02-07,21450.0,21800.0,21200.0,21750.0,20687.402344,1842483
2020-02-10,21750.0,21950.0,21200.0,21650.0,20592.289063,244593
2020-02-11,21800.0,22400.0,21700.0,21950.0,20877.630859,476583
2020-02-12,21800.0,22200.0,21800.0,22150.0,21067.861328,255433
2020-02-13,22000.0,22250.0,21500.0,21950.0,20877.630859,420795
2020-02-14,21950.0,22050.0,21500.0,21500.0,20449.615234,211314
2020-02-17,21550.0,21550.0,20900.0,21350.0,20306.945313,189689
