Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,12000.0,12000.0,11650.0,11700.0,11310.578125,42178
2020-01-03,11700.0,11950.0,11500.0,11600.0,11213.907227,45014
2020-01-06,11450.0,11550.0,11150.0,11300.0,10923.892578,54412
2020-01-07,11350.0,11450.0,11250.0,11300.0,10923.892578,22620
2020-01-08,11200.0,11300.0,10800.0,10950.0,10585.541016,68271
2020-01-09,11100.0,11250.0,11000.0,11050.0,10682.212891,54416
2020-01-10,11050.0,11350.0,11050.0,11200.0,10827.220703,28006
2020-01-13,11200.0,11550.0,11200.0,11450.0,11068.900391,48840
2020-01-14,11500.0,11600.0,11350.0,11450.0,11068.900391,38619
2020-01-15,11500.0,11550.0,11400.0,11450.0,11068.900391,22607
2020-01-16,11450.0,11600.0,11400.0,11400.0,11020.563477,31041
2020-01-17,11450.0,12950.0,11450.0,12800.0,12373.966797,812965
2020-01-20,12900.0,13050.0,12650.0,12700.0,12277.294922,311429
2020-01-21,12650.0,12750.0,12200.0,12450.0,12035.615234,161255
2020-01-22,12400.0,12650.0,12300.0,12500.0,12083.952148,104782
2020-01-23,12500.0,12750.0,12250.0,12750.0,12325.629883,124824
2020-01-28,12300.0,12550.0,11950.0,12300.0,11890.608398,159105
2020-01-29,12500.0,12550.0,12150.0,12350.0,11938.944336,95496
2020-01-30,12350.0,12700.0,12100.0,12250.0,11842.272461,158354
2020-01-31,12350.0,12500.0,12000.0,12000.0,11600.592773,103166
2020-02-03,11600.0,12100.0,11350.0,11950.0,11552.257813,121340
2020-02-04,12150.0,12900.0,12100.0,12900.0,12470.637695,303804
2020-02-05,13100.0,13700.0,13000.0,13200.0,12760.652344,461658
2020-02-06,13350.0,13650.0,13050.0,13550.0,13099.003906,368473
2020-02-07,13650.0,13650.0,13100.0,13300.0,12857.324219,181995
2020-02-10,13050.0,13450.0,13050.0,13100.0,12663.981445,108820
2020-02-11,13200.0,14100.0,13150.0,14050.0,13582.361328,666396
2020-02-12,13850.0,14050.0,13500.0,13900.0,13437.354492,347074
2020-02-13,14200.0,14250.0,13750.0,14000.0,13534.026367,332728
2020-02-14,14000.0,14150.0,13800.0,13900.0,13437.354492,148536
2020-02-17,13850.0,15050.0,13500.0,15050.0,14549.078125,641000
2020-02-18,15300.0,15350.0,14500.0,14500.0,14017.383789,465918
2020-02-19,15000.0,15150.0,14300.0,14800.0,14307.398438,463246
2020-02-20,14700.0,14850.0,14000.0,14400.0,13920.712891,264124
2020-02-21,14000.0,14250.0,13650.0,13750.0,13292.34668,251301
2020-02-24,13300.0,13450.0,13000.0,13100.0,12663.981445,257949
2020-02-25,13000.0,13350.0,12750.0,13150.0,12712.317383,338907
2020-02-26,12750.0,13050.0,12650.0,12900.0,12470.637695,160824
2020-02-27,13050.0,13250.0,12200.0,12300.0,11890.608398,245503
2020-02-28,11950.0,12250.0,11500.0,11750.0,11358.915039,234777
2020-03-02,11850.0,12150.0,11550.0,12000.0,11600.592773,260108
2020-03-03,12600.0,13300.0,12550.0,12750.0,12325.629883,513196
2020-03-04,12700.0,13500.0,12700.0,13500.0,13050.666992,247413
2020-03-05,13750.0,13750.0,13350.0,13650.0,13195.674805,187203
2020-03-06,13400.0,13550.0,13000.0,13300.0,12857.324219,192291
2020-03-09,13300.0,13300.0,13300.0,13300.0,12857.324219,0
2020-03-10,12250.0,12700.0,12200.0,12600.0,12180.623047,253788
2020-03-11,12550.0,12700.0,11800.0,12050.0,11648.929688,200124
2020-03-12,12050.0,12050.0,12050.0,12050.0,11648.929688,0
2020-03-13,10200.0,10800.0,9580.0,10200.0,9860.503906,422592
2020-03-16,10300.0,10700.0,9620.0,9620.0,9299.808594,266428
2020-03-17,8900.0,9980.0,8900.0,9710.0,9386.813477,193457
2020-03-18,9990.0,10100.0,9470.0,9500.0,9183.803711,196318
2020-03-19,9620.0,9950.0,8070.0,8450.0,8168.751465,331565
2020-03-20,8470.0,9090.0,8320.0,9000.0,8700.445313,162780
2020-03-23,8210.0,8640.0,8130.0,8300.0,8023.743652,136952
2020-03-24,8550.0,9090.0,8450.0,9030.0,8729.447266,114359
2020-03-25,9210.0,9480.0,9030.0,9360.0,9048.462891,206460
2020-03-26,9490.0,9670.0,9170.0,9360.0,9048.462891,162232
2020-03-27,9650.0,9840.0,9000.0,9370.0,9058.129883,187122
2020-03-30,9100.0,9440.0,8950.0,9400.0,9087.131836,115902
2020-03-31,9700.0,11150.0,9600.0,10850.0,10488.870117,772824
2020-04-01,11050.0,11100.0,10000.0,10150.0,9812.168945,309967
2020-04-02,10350.0,10550.0,9910.0,10500.0,10150.518555,217712
2020-04-03,10700.0,10800.0,10250.0,10350.0,10005.511719,161157
2020-04-06,10650.0,10800.0,10450.0,10700.0,10343.863281,189358
2020-04-07,11000.0,11100.0,10550.0,10750.0,10392.198242,234090
2020-04-08,10750.0,11400.0,10650.0,11100.0,10730.548828,234715
2020-04-09,11350.0,11400.0,11000.0,11200.0,10827.220703,141937
2020-04-10,11300.0,12600.0,11050.0,12150.0,11745.600586,679429
2020-04-13,12000.0,12250.0,11600.0,11600.0,11213.907227,199886
2020-04-14,11950.0,12400.0,11850.0,12300.0,11890.608398,230769
2020-04-16,12500.0,13200.0,12450.0,12900.0,12470.637695,364039
2020-04-17,13150.0,13300.0,12750.0,13000.0,12567.30957,266567
2020-04-20,12900.0,13250.0,12650.0,12800.0,12373.966797,254826
2020-04-21,12650.0,13100.0,11850.0,12650.0,12228.958984,313952
2020-04-22,12350.0,13400.0,12300.0,13150.0,12712.317383,327561
2020-04-23,13200.0,14200.0,13100.0,13850.0,13389.018555,449961
2020-04-24,13900.0,14100.0,13150.0,13450.0,13002.332031,282995
2020-04-27,13850.0,14300.0,13750.0,13850.0,13389.018555,254928
2020-04-28,14000.0,14100.0,13500.0,14000.0,13534.026367,220896
2020-04-29,14200.0,14200.0,13800.0,13850.0,13389.018555,155535
2020-05-04,13600.0,14400.0,13500.0,14200.0,13727.369141,209012
2020-05-06,14600.0,14750.0,14300.0,14650.0,14162.390625,275686
2020-05-07,14550.0,15000.0,14450.0,14850.0,14355.735352,201406
2020-05-08,15000.0,15000.0,14500.0,14700.0,14210.727539,175544
2020-05-11,14850.0,14950.0,14450.0,14500.0,14017.383789,187864
2020-05-12,14500.0,14600.0,13900.0,14000.0,13534.026367,241702
2020-05-13,14000.0,14400.0,13750.0,14150.0,13679.033203,193662
2020-05-14,14150.0,14400.0,13800.0,13900.0,13437.354492,164563
2020-05-15,14050.0,14750.0,13700.0,14600.0,14114.055664,343366
2020-05-18,15000.0,15050.0,14600.0,14750.0,14259.063477,232705
2020-05-19,15100.0,15150.0,14300.0,14550.0,14065.719727,349978
2020-05-20,14650.0,14850.0,14450.0,14750.0,14259.063477,131199
2020-05-21,14800.0,15000.0,14300.0,14400.0,13920.712891,320052
2020-05-22,14450.0,14550.0,13600.0,13850.0,13389.018555,374499
2020-05-25,13850.0,14750.0,13850.0,14650.0,14162.390625,382557
2020-05-26,14900.0,15100.0,14550.0,14800.0,14307.398438,272356
2020-05-27,14800.0,14800.0,14200.0,14250.0,13775.704102,226052
2020-05-28,14300.0,14500.0,13700.0,13900.0,13437.354492,151407
2020-05-29,14000.0,14250.0,13600.0,14200.0,13727.369141,127377
2020-06-01,14500.0,14650.0,14200.0,14350.0,13872.375977,149124
2020-06-02,14450.0,14550.0,14150.0,14350.0,13872.375977,118129
2020-06-03,14400.0,14400.0,14000.0,14050.0,13582.361328,126234
2020-06-04,14200.0,14400.0,13800.0,13900.0,13437.354492,134710
2020-06-05,14100.0,14300.0,14000.0,14100.0,13630.697266,118708
2020-06-08,14100.0,14250.0,13950.0,14050.0,13582.361328,94071
2020-06-09,14100.0,14200.0,13850.0,14000.0,13534.026367,101820
2020-06-10,14000.0,14050.0,13850.0,13900.0,13437.354492,106100
2020-06-11,14000.0,14400.0,13900.0,14050.0,13582.361328,166321
2020-06-12,13300.0,13950.0,12900.0,13800.0,13340.681641,247377
2020-06-15,13800.0,13800.0,12650.0,12850.0,12422.301758,167433
2020-06-16,13300.0,13400.0,13100.0,13200.0,12760.652344,131961
2020-06-17,13150.0,13350.0,12750.0,13050.0,12615.645508,153527
2020-06-18,13100.0,13550.0,13000.0,13350.0,12905.660156,108697
2020-06-19,13450.0,13550.0,13150.0,13350.0,12905.660156,65932
2020-06-22,13450.0,13700.0,13400.0,13550.0,13099.003906,79453
2020-06-23,13650.0,13750.0,13150.0,13200.0,12760.652344,113315
2020-06-24,13300.0,13400.0,13150.0,13300.0,12857.324219,84139
2020-06-25,13050.0,13300.0,12900.0,12950.0,12518.973633,84890
2020-06-26,13200.0,13300.0,12950.0,13000.0,12567.30957,63795
2020-06-29,12950.0,12950.0,12650.0,12700.0,12277.294922,84994
2020-06-30,12850.0,13050.0,12750.0,13000.0,12567.30957,56994
2020-07-01,13050.0,13400.0,12750.0,12750.0,12325.629883,126277
2020-07-02,12900.0,12950.0,12750.0,12900.0,12470.637695,54900
2020-07-03,12900.0,13100.0,12900.0,12950.0,12518.973633,52833
2020-07-06,13200.0,13650.0,13150.0,13450.0,13002.332031,193317
2020-07-07,13550.0,13700.0,13150.0,13300.0,12857.324219,97060
2020-07-08,13400.0,13400.0,13150.0,13150.0,12712.317383,74600
2020-07-09,13250.0,13700.0,13150.0,13700.0,13244.010742,174013
2020-07-10,13750.0,14050.0,13550.0,13700.0,13244.010742,163048
2020-07-13,13850.0,13900.0,13550.0,13650.0,13195.674805,90413
2020-07-14,13600.0,13750.0,13450.0,13500.0,13050.666992,103551
2020-07-15,13600.0,13700.0,13550.0,13600.0,13147.338867,111692
2020-07-16,13650.0,14450.0,13650.0,14000.0,13534.026367,404962
2020-07-17,13950.0,14600.0,13950.0,14400.0,13920.712891,434265
2020-07-20,14650.0,14700.0,14300.0,14400.0,13920.712891,232464
2020-07-21,14700.0,14700.0,14200.0,14350.0,13872.375977,248252
2020-07-22,14300.0,14750.0,14250.0,14600.0,14114.055664,231737
2020-07-23,14600.0,14650.0,14050.0,14300.0,13824.041016,178055
2020-07-24,14200.0,14300.0,13650.0,13950.0,13485.689453,157625
2020-07-27,13950.0,14100.0,13850.0,14000.0,13534.026367,93915
2020-07-28,14200.0,14200.0,13700.0,13900.0,13437.354492,139998
2020-07-29,13900.0,13950.0,13700.0,13900.0,13437.354492,111326
2020-07-30,13900.0,14050.0,13600.0,13600.0,13147.338867,161968
2020-07-31,13650.0,13750.0,13450.0,13450.0,13002.332031,151334
2020-08-03,13600.0,13900.0,13550.0,13900.0,13437.354492,144102
2020-08-04,14250.0,16200.0,14200.0,16200.0,15660.801758,1563725
2020-08-05,16550.0,17300.0,16000.0,16750.0,16192.496094,1031319
2020-08-06,17100.0,17400.0,16600.0,16900.0,16337.50293,468245
2020-08-07,17400.0,21950.0,17300.0,21950.0,21219.417969,3018841
