Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,7730.0,7820.0,7730.0,7770.0,7325.897461,33932
2020-01-03,7790.0,7790.0,7700.0,7720.0,7278.755371,25257
2020-01-06,7670.0,7720.0,7550.0,7580.0,7146.757324,54082
2020-01-07,7580.0,7780.0,7580.0,7630.0,7193.899414,55309
2020-01-08,7690.0,7690.0,7410.0,7520.0,7090.186523,36007
2020-01-09,7520.0,7730.0,7460.0,7710.0,7269.327148,57357
2020-01-10,7770.0,7770.0,7580.0,7640.0,7203.328125,8364
2020-01-13,7760.0,7760.0,7470.0,7570.0,7137.329102,44585
2020-01-14,7510.0,7600.0,7500.0,7580.0,7146.757324,25650
2020-01-15,7580.0,7580.0,7460.0,7520.0,7090.186523,34255
2020-01-16,7540.0,7540.0,7430.0,7500.0,7071.32959,31791
2020-01-17,7500.0,7500.0,7430.0,7460.0,7033.616211,20918
2020-01-20,7460.0,7490.0,7370.0,7430.0,7005.330566,23877
2020-01-21,7420.0,7480.0,7370.0,7480.0,7052.472656,140148
2020-01-22,7430.0,7510.0,7330.0,7480.0,7052.472656,32026
2020-01-23,7390.0,7480.0,7360.0,7400.0,6977.04541,20836
2020-01-28,7280.0,7310.0,7100.0,7220.0,6807.333496,55140
2020-01-29,7140.0,7290.0,7140.0,7250.0,6835.618652,25449
2020-01-30,7250.0,7250.0,7100.0,7140.0,6731.905762,25171
2020-01-31,7110.0,7130.0,6980.0,6980.0,6581.050781,39902
2020-02-03,6950.0,7100.0,6900.0,7030.0,6628.193359,26253
2020-02-04,7070.0,7090.0,7000.0,7000.0,6599.907715,12482
2020-02-05,7000.0,7690.0,6980.0,7410.0,6986.473633,248824
2020-02-06,7410.0,7800.0,7410.0,7630.0,7193.899414,113336
2020-02-07,7780.0,7780.0,7590.0,7630.0,7193.899414,35940
2020-02-10,7650.0,7740.0,7410.0,7630.0,7193.899414,88800
2020-02-11,7630.0,7730.0,7620.0,7710.0,7269.327148,76079
2020-02-12,7780.0,7780.0,7630.0,7690.0,7250.470215,48027
2020-02-13,7690.0,7730.0,7580.0,7690.0,7250.470215,32077
2020-02-14,7680.0,7720.0,7550.0,7700.0,7259.898438,36813
2020-02-17,7700.0,7800.0,7570.0,7770.0,7325.897461,76276
2020-02-18,7780.0,7780.0,7660.0,7690.0,7250.470215,19201
2020-02-19,7720.0,7730.0,7620.0,7650.0,7212.756348,27520
2020-02-20,7650.0,7770.0,7630.0,7670.0,7231.612793,63735
2020-02-21,7670.0,8000.0,7600.0,7970.0,7514.466309,220642
2020-02-24,7930.0,7930.0,7620.0,7740.0,7297.611816,132372
2020-02-25,7720.0,7890.0,7620.0,7810.0,7363.611328,65579
2020-02-26,7810.0,7920.0,7710.0,7840.0,7391.896484,131674
2020-02-27,7840.0,7880.0,7750.0,7880.0,7429.610352,88858
2020-02-28,7880.0,7880.0,7440.0,7630.0,7193.899414,62569
2020-03-02,7560.0,7740.0,7470.0,7690.0,7250.470215,41490
2020-03-03,7700.0,7750.0,7610.0,7680.0,7241.041504,58729
2020-03-04,7610.0,7800.0,7610.0,7780.0,7335.325684,30071
2020-03-05,7810.0,7970.0,7760.0,7930.0,7476.75293,64520
2020-03-06,7930.0,7970.0,7860.0,7950.0,7495.609375,86064
2020-03-09,7950.0,7950.0,7950.0,7950.0,7495.609375,0
2020-03-10,7700.0,7850.0,7650.0,7700.0,7259.898438,85006
2020-03-11,7630.0,7820.0,7520.0,7550.0,7118.47168,93276
2020-03-12,7550.0,7550.0,7550.0,7550.0,7118.47168,0
2020-03-13,6700.0,6990.0,6410.0,6900.0,6505.623047,190104
2020-03-16,7050.0,7050.0,6610.0,6650.0,6269.912109,72565
2020-03-17,6400.0,6750.0,6300.0,6520.0,6147.342773,47102
2020-03-18,6480.0,6860.0,6350.0,6350.0,5987.059082,67450
2020-03-19,6350.0,6370.0,5300.0,5680.0,5355.353516,128546
2020-03-20,5910.0,5950.0,5500.0,5940.0,5600.493164,84761
2020-03-23,5510.0,5880.0,5510.0,5640.0,5317.639648,49897
2020-03-24,5700.0,5900.0,5640.0,5880.0,5543.922363,95048
2020-03-25,5890.0,6280.0,5890.0,6120.0,5770.205078,46503
2020-03-26,6230.0,6390.0,6120.0,6270.0,5911.631836,47586
2020-03-27,6390.0,6450.0,6270.0,6370.0,6005.916016,57419
2020-03-30,6440.0,6440.0,6190.0,6400.0,6034.201172,29592
2020-03-31,6500.0,6800.0,6440.0,6640.0,6260.483887,40504
2020-04-01,6640.0,6760.0,6500.0,6650.0,6269.912109,28664
2020-04-02,6600.0,6660.0,6510.0,6600.0,6222.77002,24267
2020-04-03,7050.0,7050.0,6650.0,6760.0,6373.625,32222
2020-04-06,6850.0,6990.0,6690.0,6890.0,6496.194824,49263
2020-04-07,7220.0,7220.0,6750.0,7080.0,6675.334961,62649
2020-04-08,7080.0,7090.0,6870.0,6940.0,6543.336914,29840
2020-04-09,6950.0,7010.0,6910.0,6970.0,6571.622559,31994
2020-04-10,7040.0,7040.0,6870.0,7040.0,6637.621582,25605
2020-04-13,7040.0,7170.0,6890.0,7060.0,6656.478516,56673
2020-04-14,7140.0,7190.0,7040.0,7140.0,6731.905762,35035
2020-04-16,7030.0,7150.0,7030.0,7130.0,6722.477051,7852
2020-04-17,7130.0,7270.0,7100.0,7120.0,6713.048828,42332
2020-04-20,7140.0,7210.0,7000.0,7030.0,6628.193359,35745
2020-04-21,7050.0,7050.0,6790.0,6980.0,6581.050781,45799
2020-04-22,6900.0,6990.0,6820.0,6990.0,6590.479492,29898
2020-04-23,7010.0,7150.0,6940.0,7100.0,6694.192383,44901
2020-04-24,7530.0,8640.0,6900.0,6900.0,6505.623047,1484482
2020-04-27,6930.0,7070.0,6920.0,6950.0,6552.765625,76737
2020-04-28,7030.0,7240.0,6930.0,7180.0,6769.619629,126561
2020-04-29,7250.0,7330.0,7150.0,7300.0,6882.760742,95435
2020-05-04,7300.0,7310.0,6910.0,7160.0,6750.762695,47339
2020-05-06,7180.0,7330.0,7130.0,7300.0,6882.760742,46656
2020-05-07,7230.0,7310.0,7230.0,7250.0,6835.618652,35126
2020-05-08,7250.0,7500.0,7200.0,7430.0,7005.330566,104165
2020-05-11,7430.0,7490.0,7290.0,7370.0,6948.759766,72282
2020-05-12,7370.0,7500.0,7250.0,7350.0,6929.90332,52489
2020-05-13,7340.0,7470.0,7200.0,7400.0,6977.04541,58429
2020-05-14,7460.0,7460.0,7300.0,7390.0,6967.617188,71681
2020-05-15,7390.0,7700.0,7310.0,7560.0,7127.899902,110211
2020-05-18,7460.0,7550.0,7300.0,7450.0,7024.1875,51522
2020-05-19,7460.0,7610.0,7460.0,7570.0,7137.329102,80723
2020-05-20,7570.0,7830.0,7460.0,7760.0,7316.469238,81701
2020-05-21,7840.0,7840.0,7630.0,7650.0,7212.756348,32550
2020-05-22,7650.0,7770.0,7550.0,7560.0,7127.899902,36741
2020-05-25,7760.0,8020.0,7690.0,8000.0,7542.751953,177940
2020-05-26,8070.0,8090.0,7890.0,7970.0,7514.466309,83925
2020-05-27,8050.0,8070.0,7850.0,7890.0,7439.039063,33520
2020-05-28,7980.0,8000.0,7620.0,7720.0,7278.755371,67582
2020-05-29,7620.0,7800.0,7600.0,7720.0,7278.755371,34700
2020-06-01,7720.0,7950.0,7710.0,7950.0,7495.609375,60552
2020-06-02,7960.0,8000.0,7820.0,7940.0,7486.181152,36609
2020-06-03,7950.0,8070.0,7880.0,7930.0,7476.75293,120281
2020-06-04,7980.0,8020.0,7860.0,7870.0,7420.182129,48077
2020-06-05,7870.0,7970.0,7790.0,7830.0,7382.468262,83818
2020-06-08,7900.0,7990.0,7790.0,7840.0,7391.896484,38179
2020-06-09,7840.0,7870.0,7770.0,7810.0,7363.611328,51266
2020-06-10,7810.0,7900.0,7760.0,7760.0,7316.469238,49253
2020-06-11,7760.0,7900.0,7560.0,7640.0,7203.328125,50229
2020-06-12,7590.0,8250.0,7220.0,8250.0,7778.462891,136457
2020-06-15,7860.0,7950.0,7700.0,7870.0,7420.182129,130843
2020-06-16,7820.0,8080.0,7760.0,8080.0,7618.179199,124907
2020-06-17,8040.0,8050.0,7880.0,8050.0,7589.894043,94581
