Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2295.0,2315.0,2280.0,2315.0,2155.762207,38562
2020-01-03,2320.0,2320.0,2275.0,2295.0,2137.137939,77224
2020-01-06,2285.0,2285.0,2250.0,2260.0,2104.54541,68807
2020-01-07,2245.0,2270.0,2245.0,2270.0,2113.857422,57299
2020-01-08,2260.0,2260.0,2145.0,2185.0,2034.704346,86420
2020-01-09,2230.0,2230.0,2205.0,2220.0,2067.296875,60024
2020-01-10,2220.0,2245.0,2200.0,2225.0,2071.952881,65073
2020-01-13,2215.0,2245.0,2195.0,2235.0,2081.264893,108363
2020-01-14,2225.0,2255.0,2225.0,2245.0,2090.577148,55024
2020-01-15,2240.0,2255.0,2230.0,2245.0,2090.577148,49692
2020-01-16,2240.0,2270.0,2240.0,2255.0,2099.889404,50164
2020-01-17,2260.0,2270.0,2250.0,2265.0,2109.20166,29029
2020-01-20,2270.0,2270.0,2250.0,2260.0,2104.54541,58420
2020-01-21,2255.0,2265.0,2200.0,2230.0,2076.609131,127503
2020-01-22,2215.0,2245.0,2215.0,2240.0,2085.921143,32041
2020-01-23,2235.0,2240.0,2210.0,2240.0,2085.921143,27314
2020-01-28,2200.0,2205.0,2130.0,2175.0,2025.392212,179591
2020-01-29,2175.0,2180.0,2160.0,2180.0,2030.048218,62243
2020-01-30,2175.0,2180.0,2100.0,2140.0,1992.799683,107836
2020-01-31,2140.0,2160.0,2095.0,2095.0,1950.894897,56374
2020-02-03,2055.0,2100.0,2035.0,2100.0,1955.551025,85501
2020-02-04,2100.0,2130.0,2100.0,2120.0,1974.175415,39789
2020-02-05,2125.0,2135.0,2105.0,2130.0,1983.487427,43342
2020-02-06,2135.0,2145.0,2115.0,2140.0,1992.799683,66149
2020-02-07,2135.0,2140.0,2100.0,2120.0,1974.175415,112581
2020-02-10,2130.0,2175.0,2125.0,2150.0,2002.111816,138505
2020-02-11,2185.0,2225.0,2130.0,2180.0,2030.048218,171448
2020-02-12,2180.0,2205.0,2160.0,2205.0,2053.328613,52417
2020-02-13,2205.0,2250.0,2195.0,2215.0,2062.640625,168533
2020-02-14,2205.0,2260.0,2190.0,2250.0,2095.233154,136920
2020-02-17,2250.0,2250.0,2200.0,2210.0,2057.984863,94482
2020-02-18,2200.0,2210.0,2185.0,2195.0,2044.016479,39227
2020-02-19,2195.0,2215.0,2180.0,2205.0,2053.328613,55613
2020-02-20,2200.0,2210.0,2175.0,2185.0,2034.704346,32522
2020-02-21,2180.0,2180.0,2135.0,2140.0,1992.799683,59241
2020-02-24,2110.0,2110.0,2070.0,2080.0,1936.926758,109643
2020-02-25,2080.0,2110.0,2065.0,2105.0,1960.207153,52242
2020-02-26,2080.0,2100.0,2025.0,2100.0,1955.551025,102910
2020-02-27,2095.0,2095.0,2035.0,2035.0,1895.022095,74974
2020-02-28,2025.0,2025.0,1945.0,1945.0,1811.212769,228456
2020-03-02,1945.0,1970.0,1930.0,1945.0,1811.212769,66106
2020-03-03,1970.0,1990.0,1955.0,1970.0,1834.493042,234885
2020-03-04,1975.0,1985.0,1945.0,1985.0,1848.461426,143832
2020-03-05,1990.0,2025.0,1990.0,2025.0,1885.709961,41735
2020-03-06,2015.0,2015.0,1970.0,1980.0,1843.805298,98879
2020-03-09,1980.0,1980.0,1980.0,1980.0,1843.805298,0
2020-03-10,1860.0,1910.0,1860.0,1910.0,1778.620239,79520
2020-03-11,1910.0,2050.0,1860.0,1880.0,1750.683838,705291
2020-03-12,2000.0,2070.0,1805.0,1810.0,1685.498657,1204582
2020-03-13,1655.0,1700.0,1550.0,1660.0,1545.816528,367879
2020-03-16,1660.0,1710.0,1600.0,1610.0,1499.255859,177258
2020-03-17,1405.0,1570.0,1405.0,1500.0,1396.822144,567598
2020-03-18,1555.0,1645.0,1420.0,1420.0,1322.324951,572992
2020-03-19,1420.0,1495.0,1230.0,1240.0,1154.706421,311632
2020-03-20,1205.0,1360.0,1205.0,1350.0,1257.139893,364344
2020-03-23,1275.0,1285.0,1210.0,1270.0,1182.642822,194446
2020-03-24,1295.0,1390.0,1290.0,1360.0,1266.452148,145493
2020-03-25,1395.0,1425.0,1370.0,1410.0,1313.012817,240284
2020-03-26,1410.0,1485.0,1395.0,1425.0,1326.981079,313632
2020-03-27,1470.0,1545.0,1395.0,1425.0,1326.981079,284476
2020-03-30,1385.0,1520.0,1370.0,1500.0,1396.822144,208593
2020-03-31,1515.0,1595.0,1480.0,1540.0,1434.070801,217734
2020-04-01,1595.0,1630.0,1525.0,1530.0,1424.758667,312087
2020-04-02,1520.0,1545.0,1495.0,1530.0,1424.758667,133289
2020-04-03,1550.0,1585.0,1525.0,1545.0,1438.726807,72017
2020-04-06,1545.0,1625.0,1535.0,1625.0,1513.223999,178965
2020-04-07,1695.0,1730.0,1640.0,1680.0,1564.440796,252233
2020-04-08,1680.0,1700.0,1630.0,1665.0,1550.472656,120763
2020-04-09,1685.0,1715.0,1680.0,1685.0,1569.096802,209004
2020-04-10,1690.0,1740.0,1660.0,1690.0,1573.753052,180274
2020-04-13,1700.0,1705.0,1650.0,1655.0,1541.160522,58136
2020-04-14,1660.0,1725.0,1660.0,1715.0,1597.033325,160687
2020-04-16,1680.0,1740.0,1670.0,1740.0,1620.313721,161284
2020-04-17,1745.0,1775.0,1680.0,1770.0,1648.250244,135365
2020-04-20,1770.0,1785.0,1730.0,1760.0,1638.937988,105411
2020-04-21,1770.0,1780.0,1690.0,1740.0,1620.313721,133520
2020-04-22,1725.0,1795.0,1685.0,1795.0,1671.530518,77432
2020-04-23,1795.0,1860.0,1785.0,1840.0,1713.435181,166755
2020-04-24,1815.0,1860.0,1800.0,1815.0,1690.154907,78253
2020-04-27,1825.0,1860.0,1800.0,1840.0,1713.435181,146439
2020-04-28,1860.0,1875.0,1805.0,1875.0,1746.02771,132840
2020-04-29,1895.0,1920.0,1855.0,1900.0,1769.308105,249884
2020-05-04,1895.0,1970.0,1840.0,1950.0,1815.868896,222529
2020-05-06,1935.0,2030.0,1935.0,2030.0,1890.366089,209312
2020-05-07,2030.0,2075.0,2020.0,2060.0,1918.302368,151703
2020-05-08,2085.0,2170.0,2050.0,2070.0,1927.614624,448926
2020-05-11,2165.0,2190.0,2100.0,2180.0,2030.048218,591438
2020-05-12,2190.0,2220.0,2090.0,2125.0,1978.831421,329927
