Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,140000.0,141500.0,138500.0,139000.0,137305.484375,102519
2020-01-03,141000.0,143000.0,138000.0,139500.0,137799.390625,111592
2020-01-06,138500.0,142500.0,136000.0,142000.0,140268.921875,110591
2020-01-07,142500.0,143000.0,139500.0,141000.0,139281.109375,144046
2020-01-08,139000.0,139500.0,135500.0,137500.0,135823.765625,239490
2020-01-09,139500.0,145500.0,139500.0,145500.0,143726.25,293629
2020-01-10,146000.0,151000.0,145000.0,148500.0,146689.6875,195372
2020-01-13,148000.0,154000.0,147000.0,154000.0,152122.625,201631
2020-01-14,154500.0,155000.0,150000.0,151000.0,149159.203125,171277
2020-01-15,150000.0,151500.0,146500.0,148000.0,146195.78125,220402
2020-01-16,147000.0,149000.0,146000.0,147500.0,145701.875,123212
2020-01-17,149500.0,151000.0,147500.0,148500.0,146689.6875,115438
2020-01-20,149500.0,151500.0,147500.0,147500.0,145701.875,124661
2020-01-21,148500.0,149500.0,147000.0,148000.0,146195.78125,89682
2020-01-22,148000.0,148500.0,145500.0,148000.0,146195.78125,110366
2020-01-23,147000.0,153500.0,146000.0,152500.0,150640.90625,173243
2020-01-28,147000.0,153000.0,146000.0,151500.0,149653.109375,234923
2020-01-29,154500.0,160000.0,154500.0,158000.0,156073.875,388880
2020-01-30,160000.0,163500.0,154000.0,155500.0,153604.34375,360798
2020-01-31,156500.0,158500.0,151000.0,152000.0,150147.015625,245518
2020-02-03,149000.0,151000.0,142500.0,150500.0,148665.296875,353483
2020-02-04,148000.0,155000.0,147500.0,155000.0,153110.4375,350711
2020-02-05,156000.0,161000.0,151000.0,152000.0,150147.015625,311516
2020-02-06,154000.0,157500.0,151000.0,156000.0,154098.25,218885
2020-02-07,153500.0,154500.0,150000.0,150500.0,148665.296875,218071
2020-02-10,148500.0,148500.0,144000.0,147000.0,145207.96875,259021
2020-02-11,149500.0,152500.0,148500.0,151000.0,149159.203125,216429
2020-02-12,151000.0,152000.0,149000.0,151000.0,149159.203125,142227
2020-02-13,153500.0,158000.0,152500.0,154000.0,152122.625,331103
2020-02-14,156000.0,159000.0,153500.0,155000.0,153110.4375,187280
2020-02-17,155000.0,159000.0,153000.0,155500.0,153604.34375,151171
2020-02-18,154000.0,154000.0,148000.0,148500.0,146689.6875,365652
2020-02-19,149000.0,150500.0,145500.0,149500.0,147677.5,220579
2020-02-20,151000.0,151500.0,146500.0,147000.0,145207.96875,212373
2020-02-21,144000.0,149500.0,143500.0,149000.0,147183.59375,143556
2020-02-24,145000.0,148000.0,143500.0,144000.0,142244.546875,164505
2020-02-25,143000.0,148000.0,142000.0,146500.0,144714.0625,220457
2020-02-26,142500.0,148500.0,140500.0,145000.0,143232.34375,168676
2020-02-27,143500.0,147500.0,142000.0,143500.0,141750.640625,157807
2020-02-28,139500.0,140500.0,128500.0,130000.0,128415.210938,551339
2020-03-02,130500.0,140500.0,129000.0,137500.0,135823.765625,358597
2020-03-03,143500.0,145000.0,136000.0,136000.0,134342.078125,321236
2020-03-04,132500.0,138500.0,132500.0,136000.0,134342.078125,204531
2020-03-05,140000.0,142500.0,138000.0,140000.0,138293.296875,313252
2020-03-06,138000.0,139000.0,135000.0,136000.0,134342.078125,154251
2020-03-09,136000.0,136000.0,136000.0,136000.0,134342.078125,0
2020-03-10,123500.0,128500.0,122500.0,127500.0,125945.679688,489480
2020-03-11,127000.0,127000.0,120000.0,120500.0,119031.023438,314863
2020-03-12,120500.0,120500.0,120500.0,120500.0,119031.023438,0
2020-03-13,105000.0,109500.0,100500.0,105500.0,104213.882813,783139
2020-03-16,106500.0,107000.0,96500.0,96500.0,95323.59375,546732
2020-03-17,92000.0,98500.0,90600.0,93700.0,92557.734375,469854
2020-03-18,94700.0,95300.0,83200.0,83200.0,82185.734375,579437
2020-03-19,86100.0,89400.0,75700.0,76300.0,75369.851563,485245
2020-03-20,80600.0,99100.0,78600.0,99100.0,97891.898438,847968
2020-03-23,92500.0,97000.0,86200.0,91300.0,90186.992188,656846
2020-03-24,95800.0,114500.0,94600.0,107500.0,106189.5,1404434
2020-03-25,115000.0,126000.0,111000.0,113500.0,112116.359375,1082656
2020-03-26,113500.0,115000.0,107500.0,107500.0,106189.5,614784
2020-03-27,114000.0,116000.0,103000.0,108500.0,107177.304688,656381
2020-03-30,104500.0,116000.0,104000.0,114000.0,112610.265625,433381
2020-03-31,117500.0,117500.0,111000.0,114000.0,112610.265625,403951
2020-04-01,114000.0,117500.0,108500.0,108500.0,107177.304688,421645
2020-04-02,111000.0,114500.0,107000.0,113000.0,111622.453125,371857
2020-04-03,115000.0,115000.0,109500.0,110000.0,108659.023438,270855
2020-04-06,112000.0,122500.0,111500.0,122000.0,120512.734375,575285
2020-04-07,126000.0,130000.0,123000.0,128500.0,126933.492188,573155
2020-04-08,129000.0,131500.0,126500.0,126500.0,124957.882813,330346
2020-04-09,129000.0,130000.0,123000.0,125000.0,123476.164063,343195
2020-04-10,124000.0,124000.0,119000.0,124000.0,122488.351563,335378
2020-04-13,123000.0,123000.0,117500.0,117500.0,116067.59375,276368
2020-04-14,120500.0,123500.0,120000.0,123000.0,121500.539063,253263
2020-04-16,121000.0,126000.0,120500.0,126000.0,124463.976563,248233
2020-04-17,129000.0,133500.0,128500.0,132500.0,130884.734375,526932
2020-04-20,129500.0,132000.0,128500.0,130000.0,128415.210938,275074
2020-04-21,130000.0,131000.0,125500.0,128000.0,126439.585938,255235
2020-04-22,126500.0,129500.0,123500.0,129500.0,127921.304688,252396
2020-04-23,130000.0,131500.0,128500.0,128500.0,126933.492188,192230
2020-04-24,128500.0,130500.0,126000.0,126000.0,124463.976563,151619
