Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6050.0,6060.0,5980.0,6030.0,5796.214844,115801
2020-01-03,6040.0,6090.0,5990.0,5990.0,5757.765625,134186
2020-01-06,5970.0,6010.0,5770.0,5770.0,5546.29541,203262
2020-01-07,5810.0,6070.0,5810.0,5910.0,5680.867188,248986
2020-01-08,5950.0,5980.0,5660.0,5660.0,5440.560059,275163
2020-01-09,5750.0,5840.0,5700.0,5780.0,5555.907715,118832
2020-01-10,5830.0,5860.0,5770.0,5770.0,5546.29541,83344
2020-01-13,5730.0,5860.0,5730.0,5850.0,5623.193848,68259
2020-01-14,5870.0,5920.0,5780.0,5800.0,5575.132324,110366
2020-01-15,5840.0,5860.0,5740.0,5810.0,5584.744629,111734
2020-01-16,5780.0,5840.0,5780.0,5830.0,5603.969238,71313
2020-01-17,5840.0,5900.0,5790.0,5800.0,5575.132324,190188
2020-01-20,5820.0,5850.0,5760.0,5770.0,5546.29541,144918
2020-01-21,5800.0,5830.0,5720.0,5770.0,5546.29541,147515
2020-01-22,5790.0,5790.0,5630.0,5640.0,5421.335938,296643
2020-01-23,5670.0,5670.0,5410.0,5480.0,5267.538574,186592
2020-01-28,5340.0,5410.0,5170.0,5190.0,4988.782227,234359
2020-01-29,5190.0,5260.0,5170.0,5240.0,5036.84375,95550
2020-01-30,5210.0,5240.0,5110.0,5120.0,4921.496094,175444
2020-01-31,5110.0,5260.0,5110.0,5120.0,4921.496094,130403
2020-02-03,5050.0,5120.0,4935.0,5020.0,4825.373047,159013
2020-02-04,4990.0,5170.0,4990.0,5170.0,4969.557617,68947
2020-02-05,5200.0,5220.0,5120.0,5130.0,4931.108398,66471
2020-02-06,5200.0,5250.0,5160.0,5210.0,5008.006836,98264
2020-02-07,5250.0,5250.0,5120.0,5150.0,4950.333008,65299
2020-02-10,5100.0,5170.0,5040.0,5080.0,4883.046875,68532
2020-02-11,5130.0,5180.0,5090.0,5100.0,4902.271484,48063
2020-02-12,5100.0,5180.0,5090.0,5120.0,4921.496094,53424
2020-02-13,5190.0,5230.0,5140.0,5150.0,4950.333008,96292
2020-02-14,5210.0,5610.0,5180.0,5370.0,5161.803711,508714
2020-02-17,5420.0,5420.0,5270.0,5340.0,5132.966797,94669
2020-02-18,5430.0,5430.0,5260.0,5260.0,5056.068359,89679
2020-02-19,5350.0,5390.0,5220.0,5320.0,5113.742188,124206
2020-02-20,5300.0,5370.0,5200.0,5200.0,4998.394531,154485
2020-02-21,5230.0,5240.0,5060.0,5100.0,4902.271484,120659
2020-02-24,4960.0,5090.0,4860.0,4880.0,4690.800781,169726
2020-02-25,4830.0,4925.0,4830.0,4905.0,4714.831543,114559
2020-02-26,4785.0,4900.0,4780.0,4790.0,4604.290527,135194
2020-02-27,4800.0,4860.0,4650.0,4675.0,4493.749023,176551
2020-02-28,4550.0,4645.0,4250.0,4345.0,4176.542969,487560
2020-03-02,4280.0,4465.0,4280.0,4425.0,4253.441406,210332
2020-03-03,4540.0,4605.0,4465.0,4500.0,4325.533691,102893
