아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
J정동,92㎡,경기도 가평군 가평읍 읍내리 299-3,경기도 가평군 자라목4길 10,17.0,0.0,,,,,
J정동,105,경기도 가평군 가평읍 읍내리 299-3,경기도 가평군 자라목4길 10,17.0,0.0,,,,,
가평블루핀,83㎡,경기도 가평군 가평읍 읍내리 766-3,경기도 가평군 가화로 219,119.0,0.0,,"2억~2억 3,500","1억 8,000",,
가평블루핀,99㎡,경기도 가평군 가평읍 읍내리 766-3,경기도 가평군 가화로 219,119.0,0.0,,,,,
가평블루핀,103㎡,경기도 가평군 가평읍 읍내리 766-3,경기도 가평군 가화로 219,119.0,0.0,,"2억 6,000",,,
가평블루핀,110B㎡,경기도 가평군 가평읍 읍내리 766-3,경기도 가평군 가화로 219,119.0,0.0,,,,,
가평블루핀,111A,경기도 가평군 가평읍 읍내리 766-3,경기도 가평군 가화로 219,119.0,0.0,,"2억 8,000~2억 9,000","2억 2,000",,
가평선힐,86㎡,경기도 가평군 가평읍 대곡리 402-1,경기도 가평군 문화로 63,180.0,0.0,,"1억 7,900~2억 2,000","1억 6,000~1억 7,000","2,000/65","2,000/65"
가평선힐,107,경기도 가평군 가평읍 대곡리 402-1,경기도 가평군 문화로 63,180.0,0.0,,"2억 2,500~2억 3,000","1억 6,000~2억 3,000",,
가평센트럴파크더스카이(주상복합),83B㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,"2억 3,000~2억 7,650","1억 8,000~2억 6,000","3,000/90","3,000/90"
가평센트럴파크더스카이(주상복합),83A㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,"2억 3,000~2억 5,150","1억 8,000",,
가평센트럴파크더스카이(주상복합),83D㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,,,,
가평센트럴파크더스카이(주상복합),83C㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,,"2억 6,000",,
가평센트럴파크더스카이(주상복합),90A㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,"2억 5,650~2억 9,150","1억 9,000~2억 8,000","5,000/85","5,000/85"
가평센트럴파크더스카이(주상복합),90B㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,,,,
가평센트럴파크더스카이(주상복합),103A㎡,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,"2억 6,450~3억 8,000","2억 1,000~2억 6,000","3,000/85~1억/60","3,000/85~1억/60"
가평센트럴파크더스카이(주상복합),103B,경기도 가평군 가평읍 읍내리 457-5,경기도 가평군 보납로 11,168.0,0.0,,,,,
가평에이원파란채,107B㎡,경기도 가평군 가평읍 읍내리 771-1,경기도 가평군 가화로 223,243.0,0.0,,"1억 8,500~2억 3,500",,,
가평에이원파란채,109A㎡,경기도 가평군 가평읍 읍내리 771-1,경기도 가평군 가화로 223,243.0,0.0,,"2억~2억 2,500",,,
가평에이원파란채,145,경기도 가평군 가평읍 읍내리 771-1,경기도 가평군 가화로 223,243.0,0.0,,"2억 7,000",,,
가평코아루,112,경기도 가평군 가평읍 읍내리 1053,경기도 가평군 석봉로191번길 37,221.0,0.0,,"2억 6,200~3억 4,000","2억 3,000~2억 6,000","3,000/120~1억/85","3,000/120~1억/85"
라니아(도시형),94㎡,경기도 가평군 가평읍 승안리 16-1,경기도 가평군 계량촌길 20,40.0,0.0,,,,,
라니아(도시형),106B㎡,경기도 가평군 가평읍 승안리 16-1,경기도 가평군 계량촌길 20,40.0,0.0,,,"1억 8,000",,
라니아(도시형),106A,경기도 가평군 가평읍 승안리 16-1,경기도 가평군 계량촌길 20,40.0,0.0,,"2억 2,800","1억 8,000~1억 9,000",,
삼성웰타운(주상복합),105㎡,경기도 가평군 가평읍 대곡리 230-18,경기도 가평군 굴다리길 7-20,29.0,0.0,,,,,
삼성웰타운(주상복합),108A㎡,경기도 가평군 가평읍 대곡리 230-18,경기도 가평군 굴다리길 7-20,29.0,0.0,,,,,
삼성웰타운(주상복합),108B,경기도 가평군 가평읍 대곡리 230-18,경기도 가평군 굴다리길 7-20,29.0,0.0,,,,,
세대넥스빌,68A㎡,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,,,,
세대넥스빌,69B㎡,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,,,,
세대넥스빌,82㎡,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,,,,
세대넥스빌,91㎡,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,,,,
세대넥스빌,96㎡,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,"1억 5,000",,,
세대넥스빌,139,경기도 가평군 가평읍 달전리 281,경기도 가평군 달전로 59,138.0,0.0,,,,,
송안,75㎡,경기도 가평군 가평읍 읍내리 837-1,경기도 가평군 문화로 239,54.0,34.0,,,,,
송안,79㎡,경기도 가평군 가평읍 읍내리 837-1,경기도 가평군 문화로 239,54.0,34.0,,,,,
송안,100,경기도 가평군 가평읍 읍내리 837-1,경기도 가평군 문화로 239,54.0,34.0,,,,,
신초,79㎡,경기도 가평군 가평읍 달전리 285-1,경기도 가평군 달전로 64,89.0,0.0,,,,,
신초,81㎡,경기도 가평군 가평읍 달전리 285-1,경기도 가평군 달전로 64,89.0,0.0,,,,,
신초,91㎡,경기도 가평군 가평읍 달전리 285-1,경기도 가평군 달전로 64,89.0,0.0,,"1억 2,500",,,
신초,100㎡,경기도 가평군 가평읍 달전리 285-1,경기도 가평군 달전로 64,89.0,0.0,,,,,
신초,104,경기도 가평군 가평읍 달전리 285-1,경기도 가평군 달전로 64,89.0,0.0,,,,,
에덴,83,경기도 가평군 가평읍 읍내리 292-7,경기도 가평군 보납로69번길 70,40.0,0.0,,,,,
에코,101A㎡,경기도 가평군 가평읍 읍내리 592-1,경기도 가평군 중촌로 15-51,14.0,0.0,,"1억 5,000",,,
에코,102B,경기도 가평군 가평읍 읍내리 592-1,경기도 가평군 중촌로 15-51,14.0,0.0,,,,,
에코2차,64㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,74㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,76㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,77㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,93㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,95㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,"1억 9,000",,,
에코2차,97A㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,99D㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,99B㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,99C㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,100E㎡,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
에코2차,100F,경기도 가평군 가평읍 읍내리 590-2,경기도 가평군 중촌로 15-41,18.0,0.0,,,,,
우림필유1단지,85㎡,경기도 가평군 가평읍 대곡리 360,경기도 가평군 문화로 112,190.0,0.0,,,,,
우림필유1단지,112㎡,경기도 가평군 가평읍 대곡리 360,경기도 가평군 문화로 112,190.0,0.0,,"2억 5,000~2억 8,500",2억,,
우림필유1단지,133,경기도 가평군 가평읍 대곡리 360,경기도 가평군 문화로 112,190.0,0.0,,,,,
우림필유2단지,150,경기도 가평군 가평읍 대곡리 366-8,경기도 가평군 문화로 108,18.0,0.0,,"3억 7,500",,,
유성,76A㎡,경기도 가평군 가평읍 달전리 339,경기도 가평군 달전로 39,84.0,0.0,,,,,
유성,76B㎡,경기도 가평군 가평읍 달전리 339,경기도 가평군 달전로 39,84.0,0.0,,,,,
유성,77C㎡,경기도 가평군 가평읍 달전리 339,경기도 가평군 달전로 39,84.0,0.0,,,,,
유성,78,경기도 가평군 가평읍 달전리 339,경기도 가평군 달전로 39,84.0,0.0,,,,,
정동,74㎡,경기도 가평군 가평읍 읍내리 799-5,경기도 가평군 문화로 294,26.0,0.0,,,,,
정동,82㎡,경기도 가평군 가평읍 읍내리 799-5,경기도 가평군 문화로 294,26.0,0.0,,,,,
정동,106,경기도 가평군 가평읍 읍내리 799-5,경기도 가평군 문화로 294,26.0,0.0,,,,,
정명,63㎡,경기도 가평군 가평읍 읍내리 260,경기도 가평군 방아다리길 13,33.0,0.0,,,,,
정명,68㎡,경기도 가평군 가평읍 읍내리 260,경기도 가평군 방아다리길 13,33.0,0.0,,,,,
정명,80㎡,경기도 가평군 가평읍 읍내리 260,경기도 가평군 방아다리길 13,33.0,0.0,,,,,
정명,81㎡,경기도 가평군 가평읍 읍내리 260,경기도 가평군 방아다리길 13,33.0,0.0,,1억,,,
정명,87,경기도 가평군 가평읍 읍내리 260,경기도 가평군 방아다리길 13,33.0,0.0,,,,,
준수,82㎡,경기도 가평군 가평읍 읍내리 637-3,경기도 가평군 중촌로 16-55,126.0,0.0,,,,,
준수,84㎡,경기도 가평군 가평읍 읍내리 637-3,경기도 가평군 중촌로 16-55,126.0,0.0,,1억 500,,,
준수,114㎡,경기도 가평군 가평읍 읍내리 637-3,경기도 가평군 중촌로 16-55,126.0,0.0,,,,,
준수,119,경기도 가평군 가평읍 읍내리 637-3,경기도 가평군 중촌로 16-55,126.0,0.0,,"1억 3,500~1억 4,500",,,
중앙,77㎡,경기도 가평군 가평읍 읍내리 537-1,경기도 가평군 향교로 13,50.0,0.0,,"1억 1,000",,,
중앙,90,경기도 가평군 가평읍 읍내리 537-1,경기도 가평군 향교로 13,50.0,0.0,,,,,
태광,75㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,83㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,84A㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,84B㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,98㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,115㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,"1억 1,000",,,
태광,118㎡,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
태광,159,경기도 가평군 가평읍 대곡리 285-6,경기도 가평군 석봉로153번길 13,96.0,0.0,,,,,
해오름,93㎡,경기도 가평군 가평읍 읍내리 749-7,경기도 가평군 가화로 214,19.0,0.0,,,,,
해오름,105㎡,경기도 가평군 가평읍 읍내리 749-7,경기도 가평군 가화로 214,19.0,0.0,,,,,
해오름,124,경기도 가평군 가평읍 읍내리 749-7,경기도 가평군 가화로 214,19.0,0.0,,,,,
형진,79㎡,경기도 가평군 가평읍 읍내리 681-3,경기도 가평군 가화로 175,95.0,0.0,,,,,
형진,108,경기도 가평군 가평읍 읍내리 681-3,경기도 가평군 가화로 175,95.0,0.0,,"1억 5,000",,,
효신,101㎡,경기도 가평군 가평읍 읍내리 585,경기도 가평군 중촌로 7-109,34.0,0.0,,"2억 1,000",,,
효신,110,경기도 가평군 가평읍 읍내리 585,경기도 가평군 중촌로 7-109,34.0,0.0,,"2억 1,000",,,
청향,178㎡,경기도 가평군 상면 덕현리 398-4,경기도 가평군 광신길 27,10.0,0.0,,,,,
청향,221,경기도 가평군 상면 덕현리 398-4,경기도 가평군 광신길 27,10.0,0.0,,,,,
북한강코아루,84A㎡,경기도 가평군 설악면 선촌리 663,경기도 가평군 자잠로 86,237.0,0.0,22500.0,"2억 3,000~2억 4,900",,,
북한강코아루,84B㎡,경기도 가평군 설악면 선촌리 663,경기도 가평군 자잠로 86,237.0,0.0,22500.0,"2억 4,000~2억 5,000",,,
북한강코아루,114A㎡,경기도 가평군 설악면 선촌리 663,경기도 가평군 자잠로 86,237.0,0.0,29750.0,"3억 1,000~3억 7,000",,,
북한강코아루,115B㎡,경기도 가평군 설악면 선촌리 663,경기도 가평군 자잠로 86,237.0,0.0,29750.0,,,,
북한강코아루,118C,경기도 가평군 설악면 선촌리 663,경기도 가평군 자잠로 86,237.0,0.0,29750.0,"3억 5,000",,,
청평라폴리움,236㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,22500.0,"10억 7,000",,,
청평라폴리움,236㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,29750.0,"8억 5,000",,,
청평라폴리움,247㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,22500.0,"8억 5,000",,,
청평라폴리움,254㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,29750.0,,,,
청평라폴리움,318㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,29750.0,11억,,1억/350,1억/350
청평라폴리움,319A㎡,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,,,,,
청평라폴리움,319B,경기도 가평군 설악면 선촌리 292-2,경기도 가평군 자잠로 183-61,32.0,0.0,,,,,
임성,77,경기도 가평군 조종면 현리 232-2,경기도 가평군 조종새싹로 53,47.0,0.0,,,,,
청수,102㎡,경기도 가평군 조종면 현리 258-20,경기도 가평군 조종희망로 38-20,19.0,0.0,,,,,
청수,104㎡,경기도 가평군 조종면 현리 258-20,경기도 가평군 조종희망로 38-20,19.0,0.0,,,,,
청수,108,경기도 가평군 조종면 현리 258-20,경기도 가평군 조종희망로 38-20,19.0,0.0,,,,,
이안지안스청평,78㎡,경기도 가평군 청평면 청평리 657-1,경기도 가평군 구청평로 20,243.0,0.0,20000.0,"1억 8,000~2억 5,000",,"3,000/70","3,000/70"
이안지안스청평,93㎡,경기도 가평군 청평면 청평리 657-1,경기도 가평군 구청평로 20,243.0,0.0,24000.0,"2억 4,500~3억","1억 5,000",,
이안지안스청평,111,경기도 가평군 청평면 청평리 657-1,경기도 가평군 구청평로 20,243.0,0.0,28500.0,"3억 1,000","2억 5,000",,
청수,81㎡,경기도 가평군 청평면 청평리 634-2,경기도 가평군 경춘로 722,111.0,0.0,20000.0,"1억 2,000",,,
청수,105A㎡,경기도 가평군 청평면 청평리 634-2,경기도 가평군 경춘로 722,111.0,0.0,24000.0,,,,
청수,108㎡,경기도 가평군 청평면 청평리 634-2,경기도 가평군 경춘로 722,111.0,0.0,,,,,
청수,116B,경기도 가평군 청평면 청평리 634-2,경기도 가평군 경춘로 722,111.0,0.0,28500,,,,
청일덱스빌,137,경기도 가평군 청평면 청평리 79-57,경기도 가평군 여울길 66,19.0,0.0,24000.0,,,,
청일덱스빌(1~2동),111,경기도 가평군 청평면 청평리 76-19,경기도 가평군 강변나루로 42,14.0,0.0,20000.0,,,,
청일덱스빌(3~7동),101㎡,경기도 가평군 청평면 청평리 626-12,경기도 가평군 강변나루로40번길 11,28.0,0.0,20000.0,,,,
청일덱스빌(3~7동),106㎡,경기도 가평군 청평면 청평리 626-12,경기도 가평군 강변나루로40번길 11,28.0,0.0,24000.0,,,,
청일덱스빌(3~7동),108㎡,경기도 가평군 청평면 청평리 626-12,경기도 가평군 강변나루로40번길 11,28.0,0.0,28500.0,,,,
청일덱스빌(3~7동),111,경기도 가평군 청평면 청평리 626-12,경기도 가평군 강변나루로40번길 11,28.0,0.0,,,,,
청평경남아너스빌,110㎡,경기도 가평군 청평면 청평리 306,경기도 가평군 골안길 7-28,217.0,0.0,20000.0,"2억 7,200~3억",,,
청평경남아너스빌,162,경기도 가평군 청평면 청평리 306,경기도 가평군 골안길 7-28,217.0,0.0,24000.0,"3억 8,000",,,
청평로얄,105㎡,경기도 가평군 청평면 청평리 626-8,경기도 가평군 구청평로 56,54.0,0.0,24000.0,"1억 8,700",,,
청평로얄,110,경기도 가평군 청평면 청평리 626-8,경기도 가평군 구청평로 56,54.0,0.0,28500.0,,,,
청평삼성쉐르빌,91A㎡,경기도 가평군 청평면 청평리 837,경기도 가평군 강변나루로 54,405.0,0.0,20000.0,"2억 4,000~2억 7,000",,,
청평삼성쉐르빌,91B㎡,경기도 가평군 청평면 청평리 837,경기도 가평군 강변나루로 54,405.0,0.0,24000.0,"2억 6,500~2억 8,500",,,
