아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
고양우방유쉘,81B㎡,경기도 고양시 덕양구 고양동 454,경기도 고양시 덕양구 읍내로 25,443.0,0.0,29250.0,,,,
고양우방유쉘,81A㎡,경기도 고양시 덕양구 고양동 454,경기도 고양시 덕양구 읍내로 25,443.0,0.0,29250.0,,"2억 2,000",1억/50,1억/50
고양우방유쉘,85㎡,경기도 고양시 덕양구 고양동 454,경기도 고양시 덕양구 읍내로 25,443.0,0.0,29250.0,"3억 7,000~3억 8,000",,"3,000/80","3,000/80"
고양우방유쉘,112,경기도 고양시 덕양구 고양동 454,경기도 고양시 덕양구 읍내로 25,443.0,0.0,38000.0,"3억 7,000~4억 5,000","2억 8,000~3억","3,000/90","3,000/90"
리첸시아(도시형),45A㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,29250.0,,,,
리첸시아(도시형),46B㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,29250.0,,,,
리첸시아(도시형),61㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,29250.0,,,,
리첸시아(도시형),66A㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,38000.0,,,,
리첸시아(도시형),67B㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,38000.0,,,,
리첸시아(도시형),70㎡,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,,,,,
리첸시아(도시형),81,경기도 고양시 덕양구 고양동 881,경기도 고양시 덕양구 보광로12번길 43,15.0,0.0,,,,,
삼성,81㎡,경기도 고양시 덕양구 고양동 197,경기도 고양시 덕양구 혜음로 30,282.0,0.0,29250.0,"2억 8,000",,,
삼성,108A㎡,경기도 고양시 덕양구 고양동 197,경기도 고양시 덕양구 혜음로 30,282.0,0.0,29250.0,,,,
삼성,109B㎡,경기도 고양시 덕양구 고양동 197,경기도 고양시 덕양구 혜음로 30,282.0,0.0,29250.0,"2억 9,000~3억 5,000","2억 7,000~2억 8,000","3,000/90~1억 8,000/40","3,000/90~1억 8,000/40"
삼성,125,경기도 고양시 덕양구 고양동 197,경기도 고양시 덕양구 혜음로 30,282.0,0.0,38000.0,,,,
세중더클래스24(도시형),21A㎡,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,29250.0,,,,
세중더클래스24(도시형),22B㎡,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,29250.0,,,,
세중더클래스24(도시형),23D㎡,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,38000.0,,,,
세중더클래스24(도시형),23C㎡,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,29250.0,,,,
세중더클래스24(도시형),26㎡,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,38000.0,,,,
세중더클래스24(도시형),30,경기도 고양시 덕양구 고양동 870,경기도 고양시 덕양구 푸른마을로120번길 25,24.0,0.0,,,,,
윤창,79㎡,경기도 고양시 덕양구 고양동 414-17,경기도 고양시 덕양구 동헌로 398-17,299.0,0.0,29250.0,"1억 8,000~2억",,,
윤창,84㎡,경기도 고양시 덕양구 고양동 414-17,경기도 고양시 덕양구 동헌로 398-17,299.0,0.0,29250.0,"1억 7,500",,,
윤창,107A㎡,경기도 고양시 덕양구 고양동 414-17,경기도 고양시 덕양구 동헌로 398-17,299.0,0.0,29250.0,"2억 4,000~2억 7,000",,,
윤창,108B,경기도 고양시 덕양구 고양동 414-17,경기도 고양시 덕양구 동헌로 398-17,299.0,0.0,38000.0,,,,
청구,78㎡,경기도 고양시 덕양구 고양동 399,경기도 고양시 덕양구 동헌로 408-8,168.0,0.0,29250.0,,,,
청구,107,경기도 고양시 덕양구 고양동 399,경기도 고양시 덕양구 동헌로 408-8,168.0,0.0,29250.0,"2억 3,000~2억 5,000",,"3,000/80","3,000/80"
푸른10단지풍림아이원,109A㎡,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,29250.0,"3억 8,000","3억 5,000",,
푸른10단지풍림아이원,109B㎡,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,38000.0,,3억,,
푸른10단지풍림아이원,111㎡,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,29250.0,"3억 9,000~4억 7,000","2억 9,000~3억","1억/80~1억 5,000/90","1억/80~1억 5,000/90"
푸른10단지풍림아이원,133㎡,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,38000.0,"4억~4억 5,000","2억 8,000~3억 5,000","1억 4,000/90","1억 4,000/90"
푸른10단지풍림아이원,135㎡,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,,5억,,,
푸른10단지풍림아이원,147,경기도 고양시 덕양구 고양동 1121,경기도 고양시 덕양구 푸른마을로120번길 34,557.0,0.0,,"4억 5,000~5억 2,000",4억,,
푸른1단지동익미라벨,86㎡,경기도 고양시 덕양구 고양동 735,경기도 고양시 덕양구 푸른마을로 14,464.0,0.0,29250.0,"3억 5,000~4억","2억 5,000~2억 8,000","5,000/100","5,000/100"
푸른1단지동익미라벨,114,경기도 고양시 덕양구 고양동 735,경기도 고양시 덕양구 푸른마을로 14,464.0,0.0,29250.0,"4억 1,000~5억 1,000","3억 3,500","5,000/130","5,000/130"
푸른2단지동익미라벨,138㎡,경기도 고양시 덕양구 고양동 720,경기도 고양시 덕양구 푸른마을로 16,188.0,0.0,29250.0,"4억 6,000~5억 3,000","3억 1,000~3억 3,000",,
푸른2단지동익미라벨,171,경기도 고양시 덕양구 고양동 720,경기도 고양시 덕양구 푸른마을로 16,188.0,0.0,29250.0,"5억 4,500~5억 5,000","3억 5,000","2억 5,000/40","2억 5,000/40"
푸른3단지동익미라벨,87㎡,경기도 고양시 덕양구 고양동 719,경기도 고양시 덕양구 푸른마을로 15,958.0,0.0,29250.0,,"2억 5,000~2억 7,000",,
푸른3단지동익미라벨,108A㎡,경기도 고양시 덕양구 고양동 719,경기도 고양시 덕양구 푸른마을로 15,958.0,0.0,29250.0,"3억 4,000~3억 8,000","2억 5,000~3억",,
푸른3단지동익미라벨,108B㎡,경기도 고양시 덕양구 고양동 719,경기도 고양시 덕양구 푸른마을로 15,958.0,0.0,29250.0,,,"3,000/110","3,000/110"
푸른3단지동익미라벨,113㎡,경기도 고양시 덕양구 고양동 719,경기도 고양시 덕양구 푸른마을로 15,958.0,0.0,38000.0,"3억 2,000~3억 5,500","2억 5,000~3억 2,000",,
푸른3단지동익미라벨,117,경기도 고양시 덕양구 고양동 719,경기도 고양시 덕양구 푸른마을로 15,958.0,0.0,,"3억 6,000~3억 8,500","2억 9,000~3억","3,000/90","3,000/90"
푸른4단지동익미라벨,133㎡,경기도 고양시 덕양구 고양동 734,경기도 고양시 덕양구 푸른마을로 54,241.0,0.0,29250.0,"4억 8,000","3억~3억 4,000",1억/50~1억/55,1억/50~1억/55
푸른4단지동익미라벨,160,경기도 고양시 덕양구 고양동 734,경기도 고양시 덕양구 푸른마을로 54,241.0,0.0,29250.0,"5억~6억 3,000",4억,"1억 5,000/100","1억 5,000/100"
푸른5단지풍림아이원,81㎡,경기도 고양시 덕양구 고양동 730,경기도 고양시 덕양구 푸른마을로 56,460.0,0.0,29250.0,"3억 2,000~3억 5,000","2억 3,000~2억 7,000","3,000/70","3,000/70"
푸른5단지풍림아이원,108,경기도 고양시 덕양구 고양동 730,경기도 고양시 덕양구 푸른마을로 56,460.0,0.0,29250.0,"3억 7,000~4억 6,000","2억 8,000~3억 4,000","3,000/130~5,000/120","3,000/130~5,000/120"
푸른6단지풍림아이원,80㎡,경기도 고양시 덕양구 고양동 724,경기도 고양시 덕양구 푸른마을로 55,496.0,0.0,29250.0,"3억 2,000~3억 4,000",,1억/50,1억/50
푸른6단지풍림아이원,109,경기도 고양시 덕양구 고양동 724,경기도 고양시 덕양구 푸른마을로 55,496.0,0.0,29250.0,"3억 5,000~4억 6,000","2억 6,500~3억 4,000","5,000/85~2억/50","5,000/85~2억/50"
푸른7단지풍림아이원,109,경기도 고양시 덕양구 고양동 752,경기도 고양시 덕양구 푸른마을로 37,211.0,0.0,29250.0,"3억 6,500~4억 5,000","3억~3억 3,000",2억/50,2억/50
피렌체(도시형),23㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,29250.0,,,,
피렌체(도시형),28A㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,29250.0,,,,
피렌체(도시형),29B㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,29250.0,,,,
피렌체(도시형),31C㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,38000.0,,,,
피렌체(도시형),41㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,38000.0,,,,
피렌체(도시형),42㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,,,,,
피렌체(도시형),46㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,,,,,
피렌체(도시형),48㎡,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,,,,,
피렌체(도시형),115,경기도 고양시 덕양구 고양동 234-1,경기도 고양시 덕양구 혜음로 29-9,14.0,0.0,,,,,
하늘채(도시형),21A㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,29250.0,,,,
하늘채(도시형),22B㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,29250.0,,,,
하늘채(도시형),23A㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,29250.0,,,,
하늘채(도시형),25B㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,38000.0,,,,
하늘채(도시형),28A㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,38000.0,,,,
하늘채(도시형),29B㎡,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,,,,,
하늘채(도시형),32,경기도 고양시 덕양구 고양동 239-3,경기도 고양시 덕양구 혜음로13번길 46,20.0,0.0,,,,,
현대1차,76㎡,경기도 고양시 덕양구 고양동 240-6,경기도 고양시 덕양구 읍내로 28,680.0,0.0,29250.0,"2억 7,000~3억","2억~2억 3,000","1억 6,500/20","1억 6,500/20"
현대1차,109A㎡,경기도 고양시 덕양구 고양동 240-6,경기도 고양시 덕양구 읍내로 28,680.0,0.0,29250.0,"3억 1,000~3억 7,200","2억 5,000~2억 9,000","3,000/90~1억 1,500/50","3,000/90~1억 1,500/50"
현대1차,109B,경기도 고양시 덕양구 고양동 240-6,경기도 고양시 덕양구 읍내로 28,680.0,0.0,29250.0,"3억 7,000~3억 9,000",,,
현대2차,78㎡,경기도 고양시 덕양구 고양동 255,경기도 고양시 덕양구 읍내로 36,111.0,0.0,29250.0,"2억 5,500~2억 6,000",,,
현대2차,110A㎡,경기도 고양시 덕양구 고양동 255,경기도 고양시 덕양구 읍내로 36,111.0,0.0,29250.0,,,,
현대2차,111B,경기도 고양시 덕양구 고양동 255,경기도 고양시 덕양구 읍내로 36,111.0,0.0,29250.0,,,,
화성,81㎡,경기도 고양시 덕양구 고양동 103,경기도 고양시 덕양구 벽제관로 45-10,122.0,0.0,29250.0,2억,,,
화성,107㎡,경기도 고양시 덕양구 고양동 103,경기도 고양시 덕양구 벽제관로 45-10,122.0,0.0,29250.0,"2억 9,000","2억 1,000",,
화성,158,경기도 고양시 덕양구 고양동 103,경기도 고양시 덕양구 벽제관로 45-10,122.0,0.0,29250.0,,,,
뉴삼성,36A㎡,경기도 고양시 덕양구 관산동 543-5,경기도 고양시 덕양구 동헌로3번길 59-2,96.0,0.0,,,,,
뉴삼성,37B㎡,경기도 고양시 덕양구 관산동 543-5,경기도 고양시 덕양구 동헌로3번길 59-2,96.0,0.0,,,,,
뉴삼성,40A㎡,경기도 고양시 덕양구 관산동 543-5,경기도 고양시 덕양구 동헌로3번길 59-2,96.0,0.0,,,,,
뉴삼성,41B㎡,경기도 고양시 덕양구 관산동 543-5,경기도 고양시 덕양구 동헌로3번길 59-2,96.0,0.0,,,,,
뉴삼성,42A㎡,경기도 고양시 덕양구 관산동 543-5,경기도 고양시 덕양구 동헌로3번길 59-2,96.0,0.0,,,,,
