아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
강촌3단지훼미리,124㎡,경기도 고양시 일산동구 마두동 787,경기도 고양시 일산동구 강송로 153,590.0,0.0,78750.0,,"4억~4억 7,000",,
강촌3단지훼미리,160㎡,경기도 고양시 일산동구 마두동 787,경기도 고양시 일산동구 강송로 153,590.0,0.0,92250.0,"8억 2,000~10억 1,000","4억 9,000~7억 5,000","4억/30~4억 5,000/100","4억/30~4억 5,000/100"
강촌3단지훼미리,181㎡,경기도 고양시 일산동구 마두동 787,경기도 고양시 일산동구 강송로 153,590.0,0.0,88500.0,10억,,,
강촌3단지훼미리,196,경기도 고양시 일산동구 마두동 787,경기도 고양시 일산동구 강송로 153,590.0,0.0,104500.0,13억,"6억 3,000~7억 3,000",,
강촌동아,105㎡,경기도 고양시 일산동구 마두동 757,경기도 고양시 일산동구 강송로 196,720.0,0.0,78750.0,"6억~7억 5,000","3억 8,000~5억 5,000",3억/50,3억/50
강촌동아,109㎡,경기도 고양시 일산동구 마두동 757,경기도 고양시 일산동구 강송로 196,720.0,0.0,92250.0,"6억 3,000~8억 2,000","5억 2,000~5억 8,000",,
강촌동아,186,경기도 고양시 일산동구 마두동 757,경기도 고양시 일산동구 강송로 196,720.0,0.0,88500.0,9억~14억,5억~8억,"4억 5,000/80~4억 8,000/60","4억 5,000/80~4억 8,000/60"
강촌라이프,47A㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,78750.0,"3억 9,000~3억 9,500","1억 3,500~1억 8,000","2,000/70","2,000/70"
강촌라이프,47B㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,,,,,
강촌라이프,63㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,92250,"4억 9,000~5억 1,000","2억 2,000~2억 5,000","2,000/85~1억/60","2,000/85~1억/60"
강촌라이프,65㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,88500,"4억 5,000~5억 5,000","1억 9,000~3억 3,000","2,000/80~1억 3,000/50","2,000/80~1억 3,000/50"
강촌라이프,102C㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,,"6억 9,000~7억","3억 5,000~3억 6,000",,
강촌라이프,102B㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,,8억,,,
강촌라이프,102D㎡,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,,,,,
강촌라이프,105A,경기도 고양시 일산동구 마두동 789,경기도 고양시 일산동구 강석로 110,1558.0,0.0,104500,"6억~7억 7,000","3억 4,000~5억","8,000/130~30억/60","8,000/130~30억/60"
강촌선경코오롱,121(선경)㎡,경기도 고양시 일산동구 마두동 796,경기도 고양시 일산동구 강석로 152,702.0,0.0,92250.0,"7억 5,000~9억 2,000","4억 2,000~5억 8,000","2억 5,000/70~4억 2,000/20","2억 5,000/70~4억 2,000/20"
강촌선경코오롱,123(코오롱)㎡,경기도 고양시 일산동구 마두동 796,경기도 고양시 일산동구 강석로 152,702.0,0.0,104500.0,"8억 1,000","5억 1,000",,
강촌선경코오롱,148(코오롱)㎡,경기도 고양시 일산동구 마두동 796,경기도 고양시 일산동구 강석로 152,702.0,0.0,,12억,"5억 5,000~6억 5,000",2억/80~5억/60,2억/80~5억/60
강촌선경코오롱,159(선경)㎡,경기도 고양시 일산동구 마두동 796,경기도 고양시 일산동구 강석로 152,702.0,0.0,88500,"8억 5,000~11억 5,000",6억~7억,"5억/35~5억 2,000/60","5억/35~5억 2,000/60"
강촌선경코오롱,165(코오롱),경기도 고양시 일산동구 마두동 796,경기도 고양시 일산동구 강석로 152,702.0,0.0,,10억~11억,"4억 7,000~7억 2,000",,
강촌우방,106㎡,경기도 고양시 일산동구 마두동 794,경기도 고양시 일산동구 강송로 195,766.0,0.0,78750.0,"6억 1,000~8억","3억 8,000~5억","2억/100~3억 9,000/5","2억/100~3억 9,000/5"
강촌우방,159㎡,경기도 고양시 일산동구 마두동 794,경기도 고양시 일산동구 강송로 195,766.0,0.0,92250.0,"9억 6,000~10억 5,000","6억~7억 5,000",4억/100~5억/50,4억/100~5억/50
강촌우방,195㎡,경기도 고양시 일산동구 마두동 794,경기도 고양시 일산동구 강송로 195,766.0,0.0,88500.0,"12억~13억 5,000","6억~7억 5,000",2억/200~5억/60,2억/200~5억/60
강촌우방,225,경기도 고양시 일산동구 마두동 794,경기도 고양시 일산동구 강송로 195,766.0,0.0,104500.0,,"8억 5,000",,
강촌한신2단지,113㎡,경기도 고양시 일산동구 마두동 783,경기도 고양시 일산동구 강송로 156,608.0,0.0,78750.0,"7억 4,500~8억 8,000","3억 8,850~6억 5,000",,
강촌한신2단지,159㎡,경기도 고양시 일산동구 마두동 783,경기도 고양시 일산동구 강송로 156,608.0,0.0,92250.0,"8억 7,000~11억 3,000","6억~6억 5,000","1억/170~1억 5,000/100","1억/170~1억 5,000/100"
강촌한신2단지,206,경기도 고양시 일산동구 마두동 783,경기도 고양시 일산동구 강송로 156,608.0,0.0,88500.0,"9억 5,000~12억","6억 2,000~8억","3억 5,000/110~5억/100","3억 5,000/110~5억/100"
강촌한양,50,경기도 고양시 일산동구 마두동 806,경기도 고양시 일산동구 중앙로 1130,494.0,0.0,78750.0,"1억 9,000~2억 6,500","1억 4,000~1억 8,000","1,000/60~3,000/55","1,000/60~3,000/55"
백마1단지삼성,122㎡,경기도 고양시 일산동구 마두동 755,경기도 고양시 일산동구 일산로 241,772.0,0.0,78750.0,8억~9억,"5억 5,000~6억 5,000","4,300/200~5억/40","4,300/200~5억/40"
백마1단지삼성,158,경기도 고양시 일산동구 마두동 755,경기도 고양시 일산동구 일산로 241,772.0,0.0,92250.0,"8억~11억 5,000","5억 5,000~8억","5,000/230~7억/40","5,000/230~7억/40"
"백마2단지극동,삼환",121㎡,경기도 고양시 일산동구 마두동 739,경기도 고양시 일산동구 일산로 205,806.0,0.0,78750.0,"6억 9,500~8억 2,000","6억~6억 2,000",2억/110,2억/110
"백마2단지극동,삼환",136㎡,경기도 고양시 일산동구 마두동 739,경기도 고양시 일산동구 일산로 205,806.0,0.0,92250.0,"8억 5,000~9억 2,000","5억 5,000~7억 5,000","2억/180~4억 5,000/80","2억/180~4억 5,000/80"
"백마2단지극동,삼환",157,경기도 고양시 일산동구 마두동 739,경기도 고양시 일산동구 일산로 205,806.0,0.0,88500.0,9억~11억,"5억 5,000~8억 8,000",4억/100~5억/100,4억/100~5억/100
"백마3단지금호,한양",54B㎡,경기도 고양시 일산동구 마두동 732,경기도 고양시 일산동구 일산로 206,1116.0,0.0,78750.0,"2억 6,000~3억 5,000","1억 4,700~1억 7,000","1,000/75","1,000/75"
"백마3단지금호,한양",57A㎡,경기도 고양시 일산동구 마두동 732,경기도 고양시 일산동구 일산로 206,1116.0,0.0,88500.0,"2억 8,000~3억 3,000","2억~2억 1,000",,
"백마3단지금호,한양",102A㎡,경기도 고양시 일산동구 마두동 732,경기도 고양시 일산동구 일산로 206,1116.0,0.0,104500.0,"6억 3,000~7억 5,000","3억 5,000~4억 2,000","1억 5,000/100~2억 5,000/80","1억 5,000/100~2억 5,000/80"
"백마3단지금호,한양",103B,경기도 고양시 일산동구 마두동 732,경기도 고양시 일산동구 일산로 206,1116.0,0.0,92250.0,"5억 7,000~7억 4,000","3억 2,000~5억","2억/80~2억 9,000/30","2억/80~2억 9,000/30"
"백마4단지한양,청구",120B㎡,경기도 고양시 일산동구 마두동 734,경기도 고양시 일산동구 강촌로 191,668.0,0.0,78750.0,"7억 9,500~8억 5,000",4억~6억,"5,000/150~5,000/170","5,000/150~5,000/170"
"백마4단지한양,청구",121A㎡,경기도 고양시 일산동구 마두동 734,경기도 고양시 일산동구 강촌로 191,668.0,0.0,88500.0,"7억 6,000~9억 2,000","4억~4억 7,000",1억/120~1억/130,1억/120~1억/130
"백마4단지한양,청구",159A㎡,경기도 고양시 일산동구 마두동 734,경기도 고양시 일산동구 강촌로 191,668.0,0.0,104500.0,"8억 5,000~11억","5억 5,000~6억",2억/180,2억/180
"백마4단지한양,청구",159B,경기도 고양시 일산동구 마두동 734,경기도 고양시 일산동구 강촌로 191,668.0,0.0,92250.0,"7억 8,000~10억","5억 5,000","1억/200~4억 4,000/50","1억/200~4억 4,000/50"
"백마5단지쌍용,한성",73㎡,경기도 고양시 일산동구 마두동 717,경기도 고양시 일산동구 경의로 333,1152.0,0.0,78750.0,"3억 7,500~4억 9,000","2억 1,400~3억","3,000/90~2억 1,000/30","3,000/90~2억 1,000/30"
"백마5단지쌍용,한성",89㎡,경기도 고양시 일산동구 마두동 717,경기도 고양시 일산동구 경의로 333,1152.0,0.0,92250.0,"5억 3,000~6억 3,000","2억 6,000~3억 5,200","5,000/100~2억/40","5,000/100~2억/40"
"백마5단지쌍용,한성",106㎡,경기도 고양시 일산동구 마두동 717,경기도 고양시 일산동구 경의로 333,1152.0,0.0,88500.0,"6억~7억 5,000","3억 5,000~4억 8,000","5,000/160~3억/60","5,000/160~3억/60"
