아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
가좌1단지양우내안애,82㎡,경기도 고양시 일산서구 가좌동 1090,경기도 고양시 일산서구 가좌4로 29,459.0,0.0,31500.0,,2억 500,,
가좌1단지양우내안애,105,경기도 고양시 일산서구 가좌동 1090,경기도 고양시 일산서구 가좌4로 29,459.0,0.0,41000.0,"3억 8,000~4억 7,000","2억 2,000~3억 2,000","5,000/100","5,000/100"
가좌2단지대우푸르지오,92㎡,경기도 고양시 일산서구 가좌동 1089,경기도 고양시 일산서구 가좌3로 45,1210.0,0.0,31500.0,"3억 3,000~3억 8,000","2억 3,000~2억 4,000","6,000/75~8,000/80","6,000/75~8,000/80"
가좌2단지대우푸르지오,106㎡,경기도 고양시 일산서구 가좌동 1089,경기도 고양시 일산서구 가좌3로 45,1210.0,0.0,,"3억 9,000~4억 4,000","2억 1,000~3억","5,000/100~1억/70","5,000/100~1억/70"
가좌2단지대우푸르지오,107㎡,경기도 고양시 일산서구 가좌동 1089,경기도 고양시 일산서구 가좌3로 45,1210.0,0.0,41000,"3억 4,000~5억 2,000","2억 1,000~3억 4,000","2,000/110~2억/40","2,000/110~2억/40"
가좌2단지대우푸르지오,145㎡,경기도 고양시 일산서구 가좌동 1089,경기도 고양시 일산서구 가좌3로 45,1210.0,0.0,,"5억 1,000~6억","3억 2,000~3억 8,000",1억/120,1억/120
가좌2단지대우푸르지오,170,경기도 고양시 일산서구 가좌동 1089,경기도 고양시 일산서구 가좌3로 45,1210.0,0.0,,"5억 5,000~7억","4억 4,000","5,000/150~5,000/160","5,000/150~5,000/160"
가좌3단지청원벽산블루밍,96㎡,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,31500.0,"3억 3,000~3억 7,000","2억 2,000~2억 6,000","2,000/100~1억/70","2,000/100~1억/70"
가좌3단지청원벽산블루밍,110B㎡,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,41000.0,4억,"3억 6,000",,
가좌3단지청원벽산블루밍,112A㎡,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,,"3억 9,000~4억 5,000","2억 8,000","2,000/100~1억/80","2,000/100~1억/80"
가좌3단지청원벽산블루밍,142㎡,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,,"4억 4,000~5억 7,000","3억~3억 5,000","3,000/140~2억 6,000/40","3,000/140~2억 6,000/40"
가좌3단지청원벽산블루밍,161㎡,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,,"5억~6억 5,000",3억,"3,000/150~2억 3,000/40","3,000/150~2억 3,000/40"
가좌3단지청원벽산블루밍,190,경기도 고양시 일산서구 가좌동 1088,경기도 고양시 일산서구 가좌2로 53,782.0,0.0,,"6억 5,000",,"5,000/150","5,000/150"
