아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
과천센트레빌아스테리움,107A㎡,경기도 과천시 갈현동 692,경기도 과천시 중앙로 59,100.0,0.0,167000.0,,,,
과천센트레빌아스테리움,108B㎡,경기도 과천시 갈현동 692,경기도 과천시 중앙로 59,100.0,0.0,167000.0,18억~19억,,5억/200,5억/200
과천센트레빌아스테리움,108C㎡,경기도 과천시 갈현동 692,경기도 과천시 중앙로 59,100.0,0.0,167000.0,"16억~17억 3,000",,,
과천센트레빌아스테리움,145㎡,경기도 과천시 갈현동 692,경기도 과천시 중앙로 59,100.0,0.0,178000.0,,,,
과천센트레빌아스테리움,163,경기도 과천시 갈현동 692,경기도 과천시 중앙로 59,100.0,0.0,182500.0,,,,
과천제이드자이,67A㎡,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,167000.0,,"5억 8,000",,
과천제이드자이,68B㎡,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,167000.0,,,,
과천제이드자이,79T㎡,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,167000.0,,,,
과천제이드자이,80A㎡,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,182500.0,,"10억~10억 4,000",,
과천제이드자이,80C㎡,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,178000.0,,,,
과천제이드자이,81B,경기도 과천시 갈현동 과천지식정보타운지구 S9블록,경기도 과천시 과천대로2길 34,647.0,0.0,,,,,
과천푸르지오라비엔오,110D㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,167000.0,,"7억 5,000~8억 5,000",6억/140~8억/1,6억/140~8억/1
과천푸르지오라비엔오,110B㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,167000.0,,9억,4억/130,4억/130
과천푸르지오라비엔오,111E㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,167000.0,,"7억 5,000",4억/140,4억/140
과천푸르지오라비엔오,111C㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,178000.0,,"7억 5,000~8억",,
과천푸르지오라비엔오,128A㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,182500.0,,"8억 5,000~10억 5,000",4억/180~5억/150,4억/180~5억/150
과천푸르지오라비엔오,129B㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,,,"8억~10억 6,000",4억/150,4억/150
과천푸르지오라비엔오,140A㎡,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,,,"8억 5,000~10억",4억/180~6억/100,4억/180~6억/100
과천푸르지오라비엔오,161A,경기도 과천시 갈현동 과천지식정보타운지구 S4블록,경기도 과천시 과천대로8길 15,679.0,0.0,,,,,
과천푸르지오벨라르테,97A㎡,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,167000.0,,"5억 5,000~7억",,
과천푸르지오벨라르테,97B㎡,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,167000.0,,"5억 5,000~6억 3,000",,
과천푸르지오벨라르테,109A㎡,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,167000.0,,5억~9억,3억/130~6억/50,3억/130~6억/50
과천푸르지오벨라르테,110B㎡,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,178000.0,,"5억 1,000~7억","3억/100~5억 6,000/20","3억/100~5억 6,000/20"
과천푸르지오벨라르테,129A㎡,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,182500.0,,"6억 5,000~9억","2억 5,000/210~7억/30","2억 5,000/210~7억/30"
과천푸르지오벨라르테,129B,경기도 과천시 갈현동 과천지식정보타운 S6블록,경기도 과천시 과천대로8길 65,504.0,0.0,,,"6억 5,000~8억 5,000","2억 5,000/200","2억 5,000/200"
뷔센하우스,167,경기도 과천시 과천동 469-2,경기도 과천시 양지마을2로 10,6.0,0.0,,,,,
과천자이,83A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,182500.0,15억~18억,"7억~9억 5,000",5억/110~8억/40,5억/110~8억/40
과천자이,83F㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,8억,,
과천자이,83G㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,8억,,
과천자이,83E㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,83C㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,"7억~7억 5,000",,
과천자이,83H㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,83D㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,83B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,"17억 9,000",,,
과천자이,83I㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,100A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,205000,,10억,4억/200~5억/200,4억/200~5억/200
과천자이,100B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,100C㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,101D㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,110A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,220000,"17억~22억 5,000","8억 5,000~11억",5억/160~9억/80,5억/160~9억/80
과천자이,111B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,217500,,,,
과천자이,111C㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,20억,10억~11억,8억/80~8억/120,8억/80~8억/120
과천자이,130A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,255000,24억~27억,10억~13억,7억/105~10억/150,7억/105~10억/150
과천자이,131B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,23억~26억,11억,7억/120~10억/150,7억/120~10억/150
과천자이,145A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,280000,23억~28억,12억~13억,,
과천자이,146B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,162A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,310000,29억,"14억~16억 5,000","2억 5,000/380~8억/200","2억 5,000/380~8억/200"
과천자이,163B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,31억~33억,17억,12억/250,12억/250
과천자이,174A㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,35억,12억,5억/280~5억/330,5억/280~5억/330
과천자이,179B㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,179CP㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,180D㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,180E㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,180GP㎡,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천자이,181F,경기도 과천시 별양동 93,경기도 과천시 별양로 110,2099.0,0.0,,,,,
과천타워(주상복합),104㎡,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,,,,,
과천타워(주상복합),109㎡,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,182500,,"6억 1,000",,
과천타워(주상복합),136㎡,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,,,,,
과천타워(주상복합),141㎡,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,,,,,
과천타워(주상복합),146㎡,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,,,,,
과천타워(주상복합),168,경기도 과천시 별양동 1-17,경기도 과천시 별양상가1로 10,42.0,0.0,,,,,
래미안과천센트럴스위트,84B㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,182500.0,"11억 3,000~14억 6,000","5억 8,000~9억",5억/150~6억/70,5억/150~6억/70
래미안과천센트럴스위트,84C㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,"14억 5,000~15억 5,000",8억,5억/110,5억/110
래미안과천센트럴스위트,84A㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,"14억 8,000~15억",,,
래미안과천센트럴스위트,85D㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,,,,
래미안과천센트럴스위트,99B㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,,9억,,
래미안과천센트럴스위트,100A㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,205000,"17억 5,000",,,
래미안과천센트럴스위트,116A㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,18억,"9억~9억 5,000",5억/150,5억/150
래미안과천센트럴스위트,116B㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,18억,"9억 5,000~11억 3,000",,
래미안과천센트럴스위트,117D㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,18억~20억,"8억 5,000","8억/60~8억 5,000/40","8억/60~8억 5,000/40"
래미안과천센트럴스위트,117C㎡,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,,,,
래미안과천센트럴스위트,150A,경기도 과천시 별양동 3,경기도 과천시 별양로 163,543.0,0.0,,,,,
래미안슈르(343~348동),85㎡,경기도 과천시 별양동 17,경기도 과천시 별양로 66-11,244.0,0.0,,"11억~14억 5,000","6억~6억 5,000","5억 5,000/40","5억 5,000/40"
래미안슈르(343~348동),108B㎡,경기도 과천시 별양동 17,경기도 과천시 별양로 66-11,244.0,0.0,,"12억 3,000~12억 4,000","7억 5,000~8억 5,000",,
래미안슈르(343~348동),109A,경기도 과천시 별양동 17,경기도 과천시 별양로 66-11,244.0,0.0,182500,,"7억 8,000~10억",2억/250~6억/160,2억/250~6억/160
주공5단지,125㎡,경기도 과천시 별양동 6,경기도 과천시 별양로 111,800.0,0.0,,"19억~22억 5,000","4억~7억 5,000",1억/200~5억/40,1억/200~5억/40
주공5단지,149,경기도 과천시 별양동 6,경기도 과천시 별양로 111,800.0,0.0,182500,19억~25억,"6억~8억 5,000",2억/150~5억/120,2억/150~5억/120
과천센트럴파크푸르지오써밋,85A㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,151250.0,"12억 3,000~13억 5,000","6억 2,000~8억 6,000",2억/210~6억/40,2억/210~6억/40
과천센트럴파크푸르지오써밋,85T㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,"12억~16억 6,000","6억 9,000~10억",3억/180~5억/160,3억/180~5억/160
과천센트럴파크푸르지오써밋,114A㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,190000,"14억 5,000~25억","7억 5,000~11억 5,000",1억/300~8억/160,1억/300~8억/160
과천센트럴파크푸르지오써밋,114B㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,190000,17억~18억,8억~12억,,
과천센트럴파크푸르지오써밋,115C㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,"17억 5,000~21억 5,000",,,
과천센트럴파크푸르지오써밋,115T㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,,"7억 8,000~9억",,
과천센트럴파크푸르지오써밋,131A㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,248250,23억~24억,"12억 5,000~13억",3억/390~10억/120,3억/390~10억/120
과천센트럴파크푸르지오써밋,131T㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,25억,13억,5억/300,5억/300
과천센트럴파크푸르지오써밋,145㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,275000,29억~30억,12억~14억,3억/400~5억/320,3억/400~5억/320
과천센트럴파크푸르지오써밋,161PH㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,,,,
과천센트럴파크푸르지오써밋,209PH_A㎡,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,,,,
과천센트럴파크푸르지오써밋,210PH_T,경기도 과천시 부림동 96,경기도 과천시 별양로 164,1317.0,0.0,,,,,
주공8단지,89㎡,경기도 과천시 부림동 41,경기도 과천시 별양로 180,1400.0,0.0,151250.0,"17억~17억 5,000","4억 3,000~6억 1,000","2억 5,000/80~4억/80","2억 5,000/80~4억/80"
주공8단지,101,경기도 과천시 부림동 41,경기도 과천시 별양로 180,1400.0,0.0,,"16억 9,000~18억 5,000","4억 5,000~7억",1억/170~6억/30,1억/170~6억/30
