아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
경안대우,80A㎡,경기도 광주시 경안동 157-2,경기도 광주시 문화로101번길 9,338.0,0.0,38250.0,"3억 4,000~4억 1,000","2억 5,000",,
경안대우,81B㎡,경기도 광주시 경안동 157-2,경기도 광주시 문화로101번길 9,338.0,0.0,38250.0,"3억 8,000",,,
경안대우,93㎡,경기도 광주시 경안동 157-2,경기도 광주시 문화로101번길 9,338.0,0.0,38000.0,"4억 6,000~4억 9,000",,,
경안대우,106A㎡,경기도 광주시 경안동 157-2,경기도 광주시 문화로101번길 9,338.0,0.0,45000.0,"4억 2,000~5억","3억 5,000~3억 7,000",,
경안대우,108B,경기도 광주시 경안동 157-2,경기도 광주시 문화로101번길 9,338.0,0.0,45000.0,,,,
광주금호리첸시아(주상복합),86㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,38250.0,,"3억 8,000",,
광주금호리첸시아(주상복합),90A㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,38000.0,,"4억 1,000~4억 2,000",,
광주금호리첸시아(주상복합),90B㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,38250.0,,"4억 2,000",,
광주금호리첸시아(주상복합),93㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,45000.0,,,,
광주금호리첸시아(주상복합),96㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,45000.0,,,,
광주금호리첸시아(주상복합),106㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,,,"4억 6,000",,
광주금호리첸시아(주상복합),110A㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,,,"4억 8,000",1억/150~2억/100,1억/150~2억/100
광주금호리첸시아(주상복합),110B㎡,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,,,,,
광주금호리첸시아(주상복합),118A,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6,447.0,0.0,,,,,
두진,49㎡,경기도 광주시 경안동 127,경기도 광주시 포돌이로11번길 10,236.0,0.0,38250.0,,,,
두진,65㎡,경기도 광주시 경안동 127,경기도 광주시 포돌이로11번길 10,236.0,0.0,38250.0,"2억 4,500",,,
두진,76㎡,경기도 광주시 경안동 127,경기도 광주시 포돌이로11번길 10,236.0,0.0,38000.0,"3억 3,000",,,
두진,101,경기도 광주시 경안동 127,경기도 광주시 포돌이로11번길 10,236.0,0.0,45000.0,"3억 7,000~4억 5,000",,,
수피아(도시형),55A㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,38250.0,,,,
수피아(도시형),56B㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,38250.0,,,,
수피아(도시형),59㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,38000.0,,,,
수피아(도시형),68㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,45000.0,,,,
수피아(도시형),71A㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,45000.0,,,,
수피아(도시형),74B㎡,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,,,,,
수피아(도시형),75,경기도 광주시 경안동 148-6,경기도 광주시 문화로 110-30,19.0,0.0,,,,,
해태그린,59㎡,경기도 광주시 경안동 185-1,경기도 광주시 경안로 106,317.0,0.0,38250.0,,,,
해태그린,74㎡,경기도 광주시 경안동 185-1,경기도 광주시 경안로 106,317.0,0.0,38250.0,"4억~4억 5,000","2억 9,000",,
해태그린,107㎡,경기도 광주시 경안동 185-1,경기도 광주시 경안로 106,317.0,0.0,38000.0,"4억 6,000~6억","2억 9,000~3억 5,000",,
해태그린,160,경기도 광주시 경안동 185-1,경기도 광주시 경안로 106,317.0,0.0,45000.0,6억,,,
금호베스트빌,117㎡,경기도 광주시 고산동 396,경기도 광주시 오포로909번길 32-7,476.0,0.0,45750.0,"3억 8,000~5억 2,000","2억 8,000~3억","1억/100~2억 3,000/30","1억/100~2억 3,000/30"
금호베스트빌,164,경기도 광주시 고산동 396,경기도 광주시 오포로909번길 32-7,476.0,0.0,54750.0,"5억~5억 8,000","3억 2,000~3억 5,000",1억/100,1억/100
더샵오포센트럴포레,81A㎡,경기도 광주시 고산동 654,경기도 광주시 태성1로 16,1396.0,0.0,45750.0,,"3억 1,000~3억 3,000",,
더샵오포센트럴포레,82B㎡,경기도 광주시 고산동 654,경기도 광주시 태성1로 16,1396.0,0.0,54750.0,,,,
