아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
갈매6단지,102A㎡,경기도 구리시 갈매동 631,경기도 구리시 갈매중앙로 25,1033.0,481.0,71500.0,"6억 3,000~8억","3억 6,000~4억 8,000","5,000/150~1억/135","5,000/150~1억/135"
갈매6단지,115A,경기도 구리시 갈매동 631,경기도 구리시 갈매중앙로 25,1033.0,481.0,75000.0,"6억 3,000~9억","3억 8,000~5억","2억/80~3억 3,000/30","2억/80~3억 3,000/30"
갈매더샵나인힐스,93A㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,75000.0,"6억 5,000~7억 8,000","3억 4,000~4억 3,000","2억 1,000/50","2억 1,000/50"
갈매더샵나인힐스,93B㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,71500.0,"7억 4,000",,,
갈매더샵나인힐스,110㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,,"6억 7,000","4억 3,000",,
갈매더샵나인힐스,112A㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,,"6억 6,000~8억 3,000","3억 9,000~5억",1억/130~2억/100,1억/130~2억/100
갈매더샵나인힐스,112D㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,,"7억~8억 2,000","4억~4억 5,000",,
갈매더샵나인힐스,112B㎡,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,,"6억 7,000~8억 3,000",,1억/150,1억/150
갈매더샵나인힐스,112C,경기도 구리시 갈매동 665,경기도 구리시 갈매순환로 10,857.0,0.0,,,"3억 7,000",,
갈매스타힐스,98B㎡,경기도 구리시 갈매동 651,경기도 구리시 산마루로 46,1018.0,0.0,,"7억 5,000~8억","3억 8,000",2억/90~2억/100,2억/90~2억/100
갈매스타힐스,98C㎡,경기도 구리시 갈매동 651,경기도 구리시 산마루로 46,1018.0,0.0,,"6억 8,000~8억","4억 2,000",,
갈매스타힐스,99A-1㎡,경기도 구리시 갈매동 651,경기도 구리시 산마루로 46,1018.0,0.0,71500,"6억~8억 1,000","3억 3,000~4억",2억/100,2억/100
갈매스타힐스,99A-2㎡,경기도 구리시 갈매동 651,경기도 구리시 산마루로 46,1018.0,0.0,,"7억~7억 7,500","4억 3,000~4억 8,000",,
