아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
거성,137㎡,경기도 군포시 금정동 710-8,경기도 군포시 금산로 9,19.0,0.0,,,,,
거성,188,경기도 군포시 금정동 710-8,경기도 군포시 금산로 9,19.0,0.0,,,,,
거성프라자(주상복합),81,경기도 군포시 금정동 720-15,경기도 군포시 번영로 563,8.0,0.0,,,,,
경아,69,경기도 군포시 금정동 762-5,경기도 군포시 당산로125번길 15,60.0,0.0,,,,,
광문,97,경기도 군포시 금정동 742-9,경기도 군포시 당산로135번길 16,11.0,0.0,,,,,
그린나래(도시형),29B㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(도시형),29D㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(도시형),30C㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(도시형),30A㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(도시형),32㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(도시형),37,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,10.0,0.0,,,,,
그린나래(주상복합),80㎡,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,2.0,0.0,,,,,
그린나래(주상복합),115,경기도 군포시 금정동 743-7,경기도 군포시 금재로1번길 11,2.0,0.0,,,,,
그린트루빌(주상복합),95A㎡,경기도 군포시 금정동 723-8,경기도 군포시 번영로 601,19.0,0.0,,"3억 5,000",,,
그린트루빌(주상복합),96B㎡,경기도 군포시 금정동 723-8,경기도 군포시 번영로 601,19.0,0.0,,,,,
그린트루빌(주상복합),96C,경기도 군포시 금정동 723-8,경기도 군포시 번영로 601,19.0,0.0,,,,,
금정,62,경기도 군포시 금정동 753,경기도 군포시 금재로35번안길 2,16.0,0.0,,,,,
금정쌍용,77㎡,경기도 군포시 금정동 704,경기도 군포시 금정로42번길 17,264.0,0.0,,"5억 5,000~6억",,,
금정쌍용,106B㎡,경기도 군포시 금정동 704,경기도 군포시 금정로42번길 17,264.0,0.0,,"6억 3,000~8억","3억 5,000~4억",,
금정쌍용,107A,경기도 군포시 금정동 704,경기도 군포시 금정로42번길 17,264.0,0.0,,"7억~7억 5,000",,,
금호,89㎡,경기도 군포시 금정동 756-6,경기도 군포시 당산로125번길 29-15,38.0,0.0,,,,,
금호,91,경기도 군포시 금정동 756-6,경기도 군포시 당산로125번길 29-15,38.0,0.0,,"5억 2,000",,,
금호(금오),81㎡,경기도 군포시 금정동 697-6,경기도 군포시 당산로192번길 35,18.0,0.0,,,,,
금호(금오),91A㎡,경기도 군포시 금정동 697-6,경기도 군포시 당산로192번길 35,18.0,0.0,,,,,
금호(금오),92B㎡,경기도 군포시 금정동 697-6,경기도 군포시 당산로192번길 35,18.0,0.0,,,,,
금호(금오),94A㎡,경기도 군포시 금정동 697-6,경기도 군포시 당산로192번길 35,18.0,0.0,,"3억 8,000","2억 7,000",,
금호(금오),95B,경기도 군포시 금정동 697-6,경기도 군포시 당산로192번길 35,18.0,0.0,,,,,
