아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
김포센트럴헤센1단지,79B㎡,경기도 김포시 감정동 705,경기도 김포시 감정로 87,700.0,0.0,,"3억~3억 8,000","1억 8,500~2억 3,000","2,000/90~1억/60","2,000/90~1억/60"
김포센트럴헤센1단지,80A㎡,경기도 김포시 감정동 705,경기도 김포시 감정로 87,700.0,0.0,,"3억~3억 8,000","2억~2억 5,000","2,000/90~5,000/85","2,000/90~5,000/85"
김포센트럴헤센1단지,93C㎡,경기도 김포시 감정동 705,경기도 김포시 감정로 87,700.0,0.0,,"3억 5,000~4억 5,000","2억 5,000~2억 8,000","2,000/110~1억/65","2,000/110~1억/65"
김포센트럴헤센1단지,100B㎡,경기도 김포시 감정동 705,경기도 김포시 감정로 87,700.0,0.0,,"3억 7,000~5억 3,000","2억 3,000~3억","2,000/110","2,000/110"
김포센트럴헤센1단지,100A,경기도 김포시 감정동 705,경기도 김포시 감정로 87,700.0,0.0,,"3억 7,000~4억 7,000","2억 5,000~2억 8,000","2,000/120","2,000/120"
김포센트럴헤센2단지,79B㎡,경기도 김포시 감정동 706,경기도 김포시 감정로 85,145.0,0.0,,"3억~3억 4,000","2억~2억 2,000",,
김포센트럴헤센2단지,79A㎡,경기도 김포시 감정동 706,경기도 김포시 감정로 85,145.0,0.0,,"3억 2,000",,"2,000/95","2,000/95"
김포센트럴헤센2단지,100B,경기도 김포시 감정동 706,경기도 김포시 감정로 85,145.0,0.0,,"3억 6,000~4억 8,000","2억 5,000~2억 8,000","2,000/115~1억/50","2,000/115~1억/50"
북변건영,88㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,92㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,94B㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,3억,"2억~2억 4,000","3,000/90","3,000/90"
북변건영,94F㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,"1억 8,000~2억 3,000",,
북변건영,94A㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,94C㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,94D㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,94G㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,105D㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,"3억 4,000","2억 2,000~2억 7,000",,
북변건영,105A㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,105B㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,105C㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,105E㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,105F㎡,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
북변건영,110,경기도 김포시 감정동 672,경기도 김포시 봉화로167번길 35-9,150.0,0.0,,,,,
삼환(659번지),121㎡,경기도 김포시 감정동 659,경기도 김포시 봉화로181번길 30,422.0,0.0,,"4억 4,000~5억 3,000","2억 8,000~3억 2,000","3,000/100~3,000/110","3,000/100~3,000/110"
삼환(659번지),140,경기도 김포시 감정동 659,경기도 김포시 봉화로181번길 30,422.0,0.0,,4억~6억,"3억 1,000~3억 2,500","4,000/110~1억/90","4,000/110~1억/90"
삼환(671번지),123,경기도 김포시 감정동 671,경기도 김포시 봉화로167번길 35-7,71.0,0.0,,,,,
