아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
강남맨션,72B㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,72A㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,73C㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,74㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,79B㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,"2억 5,000",,,
강남맨션,79A㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,81㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,96㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,99㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,107㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,114A㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
강남맨션,115B㎡,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,"2억 5,000",,,
강남맨션,131,경기도 남양주시 금곡동 454-21,경기도 남양주시 홍유릉로248번길 64-37,46.0,0.0,,,,,
거환,59㎡,경기도 남양주시 금곡동 676-10,경기도 남양주시 홍유릉로 309,42.0,0.0,,"1억 2,000",,,
거환,64㎡,경기도 남양주시 금곡동 676-10,경기도 남양주시 홍유릉로 309,42.0,0.0,,"1억 3,000",,,
거환,68,경기도 남양주시 금곡동 676-10,경기도 남양주시 홍유릉로 309,42.0,0.0,,"1억 3,000",,,
광아,41㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,47㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,48㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,53A㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,54B㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,55A㎡,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광아,57B,경기도 남양주시 금곡동 702,경기도 남양주시 경춘로859번길 37,19.0,0.0,,,,,
광일,40㎡,경기도 남양주시 금곡동 164-15,경기도 남양주시 사릉로34번길 41-18,112.0,0.0,,,,,
광일,60A㎡,경기도 남양주시 금곡동 164-15,경기도 남양주시 사릉로34번길 41-18,112.0,0.0,,"1억 8,000~2억 1,000",,,
광일,61B㎡,경기도 남양주시 금곡동 164-15,경기도 남양주시 사릉로34번길 41-18,112.0,0.0,,,,,
광일,63㎡,경기도 남양주시 금곡동 164-15,경기도 남양주시 사릉로34번길 41-18,112.0,0.0,,,,,
광일,70,경기도 남양주시 금곡동 164-15,경기도 남양주시 사릉로34번길 41-18,112.0,0.0,,,,,
금강,105,경기도 남양주시 금곡동 654,경기도 남양주시 홍유릉로248번길 21,244.0,0.0,,"4억 3,000~5억","2억 8,000",,
금곡GS,124㎡,경기도 남양주시 금곡동 603,경기도 남양주시 홍유릉로248번길 51,260.0,0.0,,"5억~5억 6,000",,,
금곡GS,167㎡,경기도 남양주시 금곡동 603,경기도 남양주시 홍유릉로248번길 51,260.0,0.0,,"6억 5,000","4억~4억 5,000",,
금곡GS,196㎡,경기도 남양주시 금곡동 603,경기도 남양주시 홍유릉로248번길 51,260.0,0.0,,,,,
금곡GS,228㎡,경기도 남양주시 금곡동 603,경기도 남양주시 홍유릉로248번길 51,260.0,0.0,,,,,
금곡GS,242,경기도 남양주시 금곡동 603,경기도 남양주시 홍유릉로248번길 51,260.0,0.0,,,,,
금곡역디에브스,78㎡,경기도 남양주시 금곡동 777,경기도 남양주시 금곡로19번길 40,96.0,0.0,,"3억 6,000",,,
금곡역디에브스,108B㎡,경기도 남양주시 금곡동 777,경기도 남양주시 금곡로19번길 40,96.0,0.0,,"5억 5,000~6억","3억 5,000",,
금곡역디에브스,109A,경기도 남양주시 금곡동 777,경기도 남양주시 금곡로19번길 40,96.0,0.0,,5억,"3억 3,000~3억 5,000",,
금곡효창,56B㎡,경기도 남양주시 금곡동 402-6,경기도 남양주시 사릉로34번길 7-1,150.0,0.0,,"1억 4,000~1억 5,500",1억 500,,
금곡효창,56A㎡,경기도 남양주시 금곡동 402-6,경기도 남양주시 사릉로34번길 7-1,150.0,0.0,,,,,
금곡효창,71B㎡,경기도 남양주시 금곡동 402-6,경기도 남양주시 사릉로34번길 7-1,150.0,0.0,,"1억 6,000",,,
금곡효창,71A,경기도 남양주시 금곡동 402-6,경기도 남양주시 사릉로34번길 7-1,150.0,0.0,,,,,
금성하이빌,84㎡,경기도 남양주시 금곡동 162-69,경기도 남양주시 사릉로58번안길 41,13.0,0.0,,,,,
금성하이빌,116㎡,경기도 남양주시 금곡동 162-69,경기도 남양주시 사릉로58번안길 41,13.0,0.0,,,,,
금성하이빌,123㎡,경기도 남양주시 금곡동 162-69,경기도 남양주시 사릉로58번안길 41,13.0,0.0,,,,,
