아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
광암미군,64A㎡,경기도 동두천시 광암동 476,경기도 동두천시 삼육사로 1193,102.0,0.0,11500.0,"1억 2,000~1억 4,000",,,
광암미군,66B,경기도 동두천시 광암동 476,경기도 동두천시 삼육사로 1193,102.0,0.0,,,,,
한성,47㎡,경기도 동두천시 광암동 484-3,경기도 동두천시 광암로17번길 15-2,98.0,0.0,11500.0,"2,600",,,
한성,50㎡,경기도 동두천시 광암동 484-3,경기도 동두천시 광암로17번길 15-2,98.0,0.0,,"3,500",,300/35,300/35
한성,53,경기도 동두천시 광암동 484-3,경기도 동두천시 광암로17번길 15-2,98.0,0.0,,"4,500",,500/40,500/40
동두천신창비바패밀리1단지,112㎡,경기도 동두천시 동두천동 524,경기도 동두천시 강변로664번길 45,409.0,0.0,25750.0,"2억 5,500~3억","1억 5,000~2억 1,000","2,000/70~1억 5,000/25","2,000/70~1억 5,000/25"
동두천신창비바패밀리1단지,129,경기도 동두천시 동두천동 524,경기도 동두천시 강변로664번길 45,409.0,0.0,28500.0,"2억 9,000~3억 3,000","2억~2억 3,000","3,000/80~5,000/80","3,000/80~5,000/80"
동두천신창비바패밀리2단지,113,경기도 동두천시 동두천동 524-1,경기도 동두천시 강변로664번길 46,76.0,0.0,25750.0,"2억 6,000~3억 2,000","1억 7,000~2억","1억 3,000/50","1억 3,000/50"
리젠시빌하우스,106A㎡,경기도 동두천시 동두천동 109,경기도 동두천시 안창말로5번길 46,18.0,0.0,25750.0,,,,
리젠시빌하우스,107B㎡,경기도 동두천시 동두천동 109,경기도 동두천시 안창말로5번길 46,18.0,0.0,28500.0,,,"1,000/65","1,000/65"
리젠시빌하우스,108A㎡,경기도 동두천시 동두천동 109,경기도 동두천시 안창말로5번길 46,18.0,0.0,,,,,
리젠시빌하우스,109B,경기도 동두천시 동두천동 109,경기도 동두천시 안창말로5번길 46,18.0,0.0,,,,,
우방아이유쉘,113B㎡,경기도 동두천시 동두천동 524-2,경기도 동두천시 강변로664번길 25,221.0,0.0,28500.0,"2억 4,000~2억 8,000",2억,,
우방아이유쉘,114A㎡,경기도 동두천시 동두천동 524-2,경기도 동두천시 강변로664번길 25,221.0,0.0,25750.0,"2억 4,000~3억 5,000","1억 7,000","2,000/65","2,000/65"
우방아이유쉘,114C,경기도 동두천시 동두천동 524-2,경기도 동두천시 강변로664번길 25,221.0,0.0,,"2억 4,000~2억 5,000",,"1억 3,700/30","1억 3,700/30"
보산주공,49B㎡,경기도 동두천시 보산동 400-1,경기도 동두천시 동광로154번길 15,190.0,0.0,9600.0,"9,000~1억",,,
보산주공,49A㎡,경기도 동두천시 보산동 400-1,경기도 동두천시 동광로154번길 15,190.0,0.0,9650.0,1억,,,
보산주공,57,경기도 동두천시 보산동 400-1,경기도 동두천시 동광로154번길 15,190.0,0.0,10500.0,,,,
