아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
가야,59㎡,경기도 부천시 고강동 409-1,경기도 부천시 고리울로64번길 7,60.0,0.0,14000.0,"1억 5,000~1억 7,500","1억 3,000",,
가야,63㎡,경기도 부천시 고강동 409-1,경기도 부천시 고리울로64번길 7,60.0,0.0,15000.0,,,,
가야,67,경기도 부천시 고강동 409-1,경기도 부천시 고리울로64번길 7,60.0,0.0,15500.0,,,,
건우,64A㎡,경기도 부천시 고강동 307,경기도 부천시 역곡로455번길 60,190.0,0.0,14000.0,2억,,,
건우,65B,경기도 부천시 고강동 307,경기도 부천시 역곡로455번길 60,190.0,0.0,15000.0,,,,
건일,57,경기도 부천시 고강동 367-5,경기도 부천시 고리울로15번길 27,30.0,0.0,14000.0,,,,
고강1차,62㎡,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,14000.0,,,,
고강1차,66㎡,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,15000.0,"1억 9,000",,"2,000/50","2,000/50"
고강1차,70㎡,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,15500.0,"2억 5,000","1억 4,000",,
고강1차,78㎡,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,,,,"3,000/60","3,000/60"
고강1차,81㎡,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,,"2억 9,500",,,
고강1차,97,경기도 부천시 고강동 246-2,경기도 부천시 고강로170번길 19-4,208.0,0.0,,,,,
고강3차,58㎡,경기도 부천시 고강동 249,경기도 부천시 고강로154번길 27,210.0,0.0,14000.0,"1억 6,500~2억","1억 5,000",,
고강3차,64㎡,경기도 부천시 고강동 249,경기도 부천시 고강로154번길 27,210.0,0.0,15000.0,"2억 1,000",,,
고강3차,74㎡,경기도 부천시 고강동 249,경기도 부천시 고강로154번길 27,210.0,0.0,15500.0,"1억 9,000~2억 5,000",,,
고강3차,77,경기도 부천시 고강동 249,경기도 부천시 고강로154번길 27,210.0,0.0,,,,,
고강금강2차,64㎡,경기도 부천시 고강동 246-5,경기도 부천시 고강로154번길 37,130.0,0.0,14000.0,2억,,,
고강금강2차,67㎡,경기도 부천시 고강동 246-5,경기도 부천시 고강로154번길 37,130.0,0.0,15000.0,"2억 2,000","1억 1,000~1억 2,000",,
고강금강2차,74,경기도 부천시 고강동 246-5,경기도 부천시 고강로154번길 37,130.0,0.0,15500.0,,,,
네모하우스,65㎡,경기도 부천시 고강동 418-3,경기도 부천시 역곡로472번길 157,17.0,0.0,14000.0,"3억 6,300","3억 6,000",,
네모하우스,69㎡,경기도 부천시 고강동 418-3,경기도 부천시 역곡로472번길 157,17.0,0.0,15000.0,,,,
네모하우스,71A㎡,경기도 부천시 고강동 418-3,경기도 부천시 역곡로472번길 157,17.0,0.0,,,"3억 6,000",,
네모하우스,72B㎡,경기도 부천시 고강동 418-3,경기도 부천시 역곡로472번길 157,17.0,0.0,15500,,,,
네모하우스,73C㎡,경기도 부천시 고강동 418-3,경기도 부천시 역곡로472번길 157,17.0,0.0,,,,,
