아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
까치건영,72A㎡,경기도 성남시 분당구 구미동 12,경기도 성남시 분당구 미금일로90번길 23,540.0,0.0,,"9억 8,000","3억 6,000","4,000/120~4억/70","4,000/120~4억/70"
까치건영,73C㎡,경기도 성남시 분당구 구미동 12,경기도 성남시 분당구 미금일로90번길 23,540.0,0.0,,,"3억 4,000",,
까치건영,73B㎡,경기도 성남시 분당구 구미동 12,경기도 성남시 분당구 미금일로90번길 23,540.0,0.0,95000,"9억 8,000~12억","3억 4,000~5억 5,000","4,000/120~4억/70","4,000/120~4억/70"
까치건영,73D,경기도 성남시 분당구 구미동 12,경기도 성남시 분당구 미금일로90번길 23,540.0,0.0,,,,,
"까치대우,롯데,선경",68㎡,경기도 성남시 분당구 구미동 77,경기도 성남시 분당구 미금로 184,976.0,0.0,95000.0,"8억 4,000~9억 3,000",3억~4억,"5,000/140","5,000/140"
"까치대우,롯데,선경",89㎡,경기도 성남시 분당구 구미동 77,경기도 성남시 분당구 미금로 184,976.0,0.0,,"9억 9,000~13억","4억 8,000~6억 2,000",3억/120,3억/120
"까치대우,롯데,선경",104㎡,경기도 성남시 분당구 구미동 77,경기도 성남시 분당구 미금로 184,976.0,0.0,,"11억 7,000~15억","5억~6억 7,000",1억/170~5억/60,1억/170~5억/60
"까치대우,롯데,선경",123㎡,경기도 성남시 분당구 구미동 77,경기도 성남시 분당구 미금로 184,976.0,0.0,,,,,
"까치대우,롯데,선경",158,경기도 성남시 분당구 구미동 77,경기도 성남시 분당구 미금로 184,976.0,0.0,,16억,"6억 9,000~8억",,
"까치롯데,선경",70㎡,경기도 성남시 분당구 구미동 63,경기도 성남시 분당구 미금일로 58,1124.0,0.0,95000.0,"7억 5,000~10억","3억 9,000~5억","2억 5,000/70~3억/70","2억 5,000/70~3억/70"
"까치롯데,선경",91㎡,경기도 성남시 분당구 구미동 63,경기도 성남시 분당구 미금일로 58,1124.0,0.0,,"10억~13억 3,000",5억~6억,"3억/90~4억 5,000/50","3억/90~4억 5,000/50"
"까치롯데,선경",107㎡,경기도 성남시 분당구 구미동 63,경기도 성남시 분당구 미금일로 58,1124.0,0.0,,"11억 9,000~15억 5,000","5억 7,000~7억 6,000",,
"까치롯데,선경",126㎡,경기도 성남시 분당구 구미동 63,경기도 성남시 분당구 미금일로 58,1124.0,0.0,,"15억 5,000~16억 5,000","8억 1,000",,
"까치롯데,선경",162,경기도 성남시 분당구 구미동 63,경기도 성남시 분당구 미금일로 58,1124.0,0.0,,17억~18억,9억~10억,,
까치마을금성백조,70A㎡,경기도 성남시 분당구 구미동 20,경기도 성남시 분당구 미금일로90번길 11,112.0,0.0,95000.0,"9억~9억 5,000",,,
까치마을금성백조,70B,경기도 성남시 분당구 구미동 20,경기도 성남시 분당구 미금일로90번길 11,112.0,0.0,,,4억,,
