아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
판교밸리포레자이,81A㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,"6억 5,000",,
판교밸리포레자이,81C㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81B㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81D㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81F㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81E㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81G㎡,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
판교밸리포레자이,81H,경기도 성남시 수정구 고등동 576,경기도 성남시 수정구 고등로 33,603.0,105.0,,,,,
호반써밋판교밸리,110A㎡,경기도 성남시 수정구 고등동 592,경기도 성남시 수정구 고등로 34,768.0,0.0,,"10억 5,000~15억","6억 3,000~8억",1억/250~6억/80,1억/250~6억/80
호반써밋판교밸리,112B,경기도 성남시 수정구 고등동 592,경기도 성남시 수정구 고등로 34,768.0,0.0,,"11억 5,000~13억 5,000",7억,1억/250~5억/110,1억/250~5억/110
낙원,108㎡,경기도 성남시 수정구 단대동 3,경기도 성남시 수정구 수정로466번길 24,45.0,0.0,,"4억 9,000~6억",3억,,
낙원,138,경기도 성남시 수정구 단대동 3,경기도 성남시 수정구 수정로466번길 24,45.0,0.0,,,"3억 4,000~3억 5,000","2억 8,000/30","2억 8,000/30"
미도,82,경기도 성남시 수정구 단대동 182,경기도 성남시 수정구 희망로 472,280.0,0.0,,"7억~7억 8,000","2억 5,000~3억 3,000","3,000/100~2억 5,000/20","3,000/100~2억 5,000/20"
선경논골,47㎡,경기도 성남시 수정구 단대동 6,경기도 성남시 수정구 논골로 87,426.0,0.0,,"2억 8,000~3억 6,000","1억 2,000~1억 7,000","1,000/50~2,000/55","1,000/50~2,000/55"
선경논골,63,경기도 성남시 수정구 단대동 6,경기도 성남시 수정구 논골로 87,426.0,0.0,,"4억 5,000","2억 5,000",,
진로,82㎡,경기도 성남시 수정구 단대동 124,경기도 성남시 수정구 단대로23번길 32,499.0,0.0,,"5억 7,000~7억","3억~3억 3,000",1억/80,1억/80
진로,106㎡,경기도 성남시 수정구 단대동 124,경기도 성남시 수정구 단대로23번길 32,499.0,0.0,,"5억 9,000~6억 5,000","3억 1,000~4억 2,000",2억/50~3억/50,2억/50~3억/50
진로,139,경기도 성남시 수정구 단대동 124,경기도 성남시 수정구 단대로23번길 32,499.0,0.0,,"8억 2,000","5억 1,000",,
진흥더블파크,108B㎡,경기도 성남시 수정구 단대동 78,경기도 성남시 수정구 단대로23번길 10,188.0,0.0,,"8억~8억 1,000","5억~5억 8,000","1억 5,000/130~1억 5,000/150","1억 5,000/130~1억 5,000/150"
진흥더블파크,108A,경기도 성남시 수정구 단대동 78,경기도 성남시 수정구 단대로23번길 10,188.0,0.0,,"6억 7,000~7억 9,000","5억 5,000",,
코오롱하늘채,77A㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,,,
코오롱하늘채,77C㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,,,
코오롱하늘채,78B㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,,,
코오롱하늘채,109C㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,5억,1억/150~1억/170,1억/150~1억/170
코오롱하늘채,109A㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,"7억 7,000~8억 5,000","4억 5,000~5억",,
코오롱하늘채,109B㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,"4억 5,000~5억 2,000",2억/100,2억/100
코오롱하늘채,140㎡,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,"6억 5,000",,
코오롱하늘채,194,경기도 성남시 수정구 단대동 6986,경기도 성남시 수정구 단대로15번길 2,186.0,0.0,,,,,
푸르지오,85C㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"8억 2,000~8억 5,000","4억~5억 5,000",1억/110~1억/130,1억/110~1억/130
푸르지오,85A㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"8억 3,000","4억 5,000",,
푸르지오,85D㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"7억 3,000~7억 4,000","5억 5,000",,
푸르지오,85B㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"8억 3,000~9억",,,
푸르지오,85C1㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,7억,,,
푸르지오,110A㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"8억~11억 5,000","4억 8,000~5억 5,000",,
푸르지오,110B㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"8억 5,000~11억","4억 5,000~5억 5,000",3억/100,3억/100
푸르지오,110C㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,11억,6억,,
푸르지오,110B1㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,,,,
푸르지오,149A㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"9억 5,000","6억 5,000~8억 5,000",,
푸르지오,149B㎡,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"11억 5,000~13억",7억,"5억 8,500/65","5억 8,500/65"
푸르지오,164A,경기도 성남시 수정구 단대동 100,경기도 성남시 수정구 산성대로437번길 7,1015.0,0.0,,"13억 8,000",,,
훼밀리웰빙,105㎡,경기도 성남시 수정구 단대동 185-13,경기도 성남시 수정구 희망로 486,49.0,0.0,,,,,
훼밀리웰빙,107,경기도 성남시 수정구 단대동 185-13,경기도 성남시 수정구 희망로 486,49.0,0.0,,,4억,2억/60,2억/60
희망,52A㎡,경기도 성남시 수정구 단대동 127,경기도 성남시 수정구 희망로506번길 13,72.0,0.0,,,2억,,
희망,52B㎡,경기도 성남시 수정구 단대동 127,경기도 성남시 수정구 희망로506번길 13,72.0,0.0,,"3억 5,000~4억 2,500",,,
희망,66㎡,경기도 성남시 수정구 단대동 127,경기도 성남시 수정구 희망로506번길 13,72.0,0.0,,"3억 8,000","2억 5,000",,
희망,84,경기도 성남시 수정구 단대동 127,경기도 성남시 수정구 희망로506번길 13,72.0,0.0,,5억,,,
