아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
금광,85㎡,경기도 성남시 중원구 금광동 4622,경기도 성남시 중원구 산성대로426번길 5,42.0,0.0,,,"1억 8,000~2억 5,000",,
금광,90,경기도 성남시 중원구 금광동 4622,경기도 성남시 중원구 산성대로426번길 5,42.0,0.0,,,,,
금광드림팰리스(주상복합),67㎡,경기도 성남시 중원구 금광동 4610,경기도 성남시 중원구 산성대로426번길 2,15.0,0.0,,"2억 6,000",,,
금광드림팰리스(주상복합),68A㎡,경기도 성남시 중원구 금광동 4610,경기도 성남시 중원구 산성대로426번길 2,15.0,0.0,,,,,
금광드림팰리스(주상복합),70B㎡,경기도 성남시 중원구 금광동 4610,경기도 성남시 중원구 산성대로426번길 2,15.0,0.0,,,,,
금광드림팰리스(주상복합),83A㎡,경기도 성남시 중원구 금광동 4610,경기도 성남시 중원구 산성대로426번길 2,15.0,0.0,,,,,
금광드림팰리스(주상복합),83B,경기도 성남시 중원구 금광동 4610,경기도 성남시 중원구 산성대로426번길 2,15.0,0.0,,,,,
금광삼익,47㎡,경기도 성남시 중원구 금광동 3950,경기도 성남시 중원구 자혜로16번길 9,498.0,0.0,,4억~5억,"1억 6,800~1억 9,000",,
금광삼익,60,경기도 성남시 중원구 금광동 3950,경기도 성남시 중원구 자혜로16번길 9,498.0,0.0,,"4억~4억 5,000","1억 8,000~2억 5,000","1억 5,000/15~1억 6,000/20","1억 5,000/15~1억 6,000/20"
단남,79,경기도 성남시 중원구 금광동 92,경기도 성남시 중원구 희망로 412,160.0,0.0,,"6억 4,000~7억 2,000","4억 5,000",,
래미안금광,82㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"6억~6억 3,000",3억,"3,000/100~5,000/110","3,000/100~5,000/110"
래미안금광,102B㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"8억~8억 5,000","3억 6,000~3억 8,000","5,000/170~2억 5,000/50","5,000/170~2억 5,000/50"
래미안금광,105A㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"6억 5,000~9억","3억 3,000~4억",1억/120~3억/15,1억/120~3억/15
래미안금광,122㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"8억 8,000~9억",5억,,
래미안금광,135S㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"8억 8,000~9억 6,000","4억 5,000~5억 5,000",,
래미안금광,135N㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,,"4억 5,000",,
래미안금광,148N㎡,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"8억 3,900~10억",7억,,
래미안금광,148S,경기도 성남시 중원구 금광동 2500,경기도 성남시 중원구 황송로 77,1098.0,0.0,,"8억~9억 6,000","4억 5,000~5억 5,000",,
세일띠아모(주상복합),100A㎡,경기도 성남시 중원구 금광동 4464,경기도 성남시 중원구 산성대로 398-1,18.0,0.0,,,,,
세일띠아모(주상복합),101B,경기도 성남시 중원구 금광동 4464,경기도 성남시 중원구 산성대로 398-1,18.0,0.0,,,,,
용평금광,79㎡,경기도 성남시 중원구 금광동 2892,경기도 성남시 중원구 자혜로54번길 8,12.0,0.0,,,,,
용평금광,89㎡,경기도 성남시 중원구 금광동 2892,경기도 성남시 중원구 자혜로54번길 8,12.0,0.0,,,,,
용평금광,94A㎡,경기도 성남시 중원구 금광동 2892,경기도 성남시 중원구 자혜로54번길 8,12.0,0.0,,,,,
용평금광,95B,경기도 성남시 중원구 금광동 2892,경기도 성남시 중원구 자혜로54번길 8,12.0,0.0,,4억,,,
청솔타운(주상복합),82A㎡,경기도 성남시 중원구 금광동 9,경기도 성남시 중원구 광명로 287,12.0,0.0,,,,,
청솔타운(주상복합),83B㎡,경기도 성남시 중원구 금광동 9,경기도 성남시 중원구 광명로 287,12.0,0.0,,,,,
