아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
거산,78B㎡,경기도 수원시 권선구 고색동 306-1,경기도 수원시 권선구 고현로5번길 25,323.0,0.0,27500.0,,"1억 8,000~1억 9,000",,
거산,79A㎡,경기도 수원시 권선구 고색동 306-1,경기도 수원시 권선구 고현로5번길 25,323.0,0.0,27500.0,"2억 9,000~3억 3,000","1억 6,500~1억 9,000",,
거산,111,경기도 수원시 권선구 고색동 306-1,경기도 수원시 권선구 고현로5번길 25,323.0,0.0,36150.0,"3억 7,000~4억 3,000","1억 9,800~2억 3,000","1억 6,000/40","1억 6,000/40"
고색태산1차,78㎡,경기도 수원시 권선구 고색동 886-83,경기도 수원시 권선구 매송고색로673번길 11,623.0,0.0,27500.0,"3억 5,000~4억 2,000","2억~2억 3,000","3,000/80~1억/50","3,000/80~1억/50"
고색태산1차,105,경기도 수원시 권선구 고색동 886-83,경기도 수원시 권선구 매송고색로673번길 11,623.0,0.0,27500.0,"4억~5억 5,000","1억 6,000~3억 2,000","3,000/90~2억/50","3,000/90~2억/50"
고색태산2차,78㎡,경기도 수원시 권선구 고색동 887-56,경기도 수원시 권선구 매송고색로691번길 9,450.0,0.0,27500.0,"4억~4억 5,000","2억~2억 4,000","3,000/80~1억/35","3,000/80~1억/35"
고색태산2차,90㎡,경기도 수원시 권선구 고색동 887-56,경기도 수원시 권선구 매송고색로691번길 9,450.0,0.0,27500.0,"3억 8,000~5억 3,000","2억~2억 7,000","1,000/100~3,000/80","1,000/100~3,000/80"
고색태산2차,105,경기도 수원시 권선구 고색동 887-56,경기도 수원시 권선구 매송고색로691번길 9,450.0,0.0,36150.0,"4억 5,000",3억,"3,000/100","3,000/100"
골든팰리스(도시형),51㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,27500.0,,,,
골든팰리스(도시형),55㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,27500.0,,,,
골든팰리스(도시형),56A㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,36150.0,,,,
골든팰리스(도시형),58B㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,,,,,
골든팰리스(도시형),70㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,,,,,
골든팰리스(도시형),77A㎡,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,,,,,
골든팰리스(도시형),79B,경기도 수원시 권선구 고색동 74-18,경기도 수원시 권선구 고산로11번길 16-12,10.0,0.0,,,,,
대성(도시형),40㎡,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,27500.0,,,,
대성(도시형),47A㎡,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,27500.0,,,,
대성(도시형),47B㎡,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,36150.0,,,,
대성(도시형),53㎡,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,,,,,
대성(도시형),70㎡,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,,,,,
대성(도시형),71,경기도 수원시 권선구 고색동 283-2,경기도 수원시 권선구 고현로11번길 7,12.0,0.0,,,,,
대원,80㎡,경기도 수원시 권선구 고색동 291,경기도 수원시 권선구 고산로6번길 45,474.0,0.0,27500.0,"3억 3,000~3억 5,000","1억 9,000","3,000/80","3,000/80"
대원,107,경기도 수원시 권선구 고색동 291,경기도 수원시 권선구 고산로6번길 45,474.0,0.0,27500.0,"4억 1,000~4억 5,000","2억 3,000~2억 5,000",,
대한,77㎡,경기도 수원시 권선구 고색동 368-1,경기도 수원시 권선구 서부로 1534,713.0,0.0,27500.0,"2억 8,000~3억 2,000","1억 7,000~2억 5,000","1,000/90~3,000/70","1,000/90~3,000/70"
대한,109㎡,경기도 수원시 권선구 고색동 368-1,경기도 수원시 권선구 서부로 1534,713.0,0.0,27500.0,"3억 7,000~4억 6,000","2억~3억 1,000","3,000/90~6,000/60","3,000/90~6,000/60"
대한,156,경기도 수원시 권선구 고색동 368-1,경기도 수원시 권선구 서부로 1534,713.0,0.0,36150.0,"5억 5,000~5억 8,000","3억~3억 5,000",,
모던힐하우스(도시형),51㎡,경기도 수원시 권선구 고색동 285-5,경기도 수원시 권선구 고산로 17,10.0,0.0,27500.0,,,,
모던힐하우스(도시형),53A㎡,경기도 수원시 권선구 고색동 285-5,경기도 수원시 권선구 고산로 17,10.0,0.0,27500.0,,,,
모던힐하우스(도시형),53B㎡,경기도 수원시 권선구 고색동 285-5,경기도 수원시 권선구 고산로 17,10.0,0.0,36150.0,,,,
모던힐하우스(도시형),54C㎡,경기도 수원시 권선구 고색동 285-5,경기도 수원시 권선구 고산로 17,10.0,0.0,,,,,
