아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
YH빌리지,33A㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,,"4억 5,000",,,
YH빌리지,34B㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,,,,,
YH빌리지,35A㎡,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,,,,,
YH빌리지,36B,서울시 강남구 개포동 1237-8,서울시 강남구 논현로20길 22,16.0,0.0,,,,,
개포래미안포레스트,74㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,15억~17억,"5억 3,000~8억",3억/175~7억/30,3억/175~7억/30
개포래미안포레스트,86A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,17억~24억,"7억 5,000~11억 3,000","5,000/370~10억/100","5,000/370~10억/100"
개포래미안포레스트,86B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,,"8억 4,000~10억 5,000",7억/100,7억/100
개포래미안포레스트,101㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,"22억 5,000~27억","9억 9,000~14억",1억/380~10억/90,1억/380~10억/90
개포래미안포레스트,115A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,25억~32억,"11억~14억 3,000",1억/460~12억/240,1억/460~12억/240
개포래미안포레스트,115B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,27억~31억,11억~14억,1억/460~12억/60,1억/460~12억/60
개포래미안포레스트,115C㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,,"13억~13억 5,000",,
개포래미안포레스트,115D㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,29억~30억,9억,"5,000/100","5,000/100"
개포래미안포레스트,128A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,33억~40억,"15억 9,000~18억",3억/450~16억/30,3억/450~16억/30
개포래미안포레스트,129B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,40억,"15억 9,000~18억",1억/650~16억/100,1억/650~16억/100
개포래미안포레스트,135A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,35억~41억,17억~21억,"3억/500~16억 5,000/165","3억/500~16억 5,000/165"
개포래미안포레스트,136B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,38억,"17억 3,000~19억",3억/500~15억/120,3억/500~15억/120
개포래미안포레스트,148A㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,41억~44억,"18억 5,000~21억",5억/510~15억/165,5억/510~15억/165
개포래미안포레스트,149B㎡,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,42억,19억~20억,"5억/480~16억 5,000/165","5억/480~16억 5,000/165"
개포래미안포레스트,174,서울시 강남구 개포동 1282,서울시 강남구 개포로 264,2296.0,120.0,,,,,
개포비버리하임(도시형),28㎡,서울시 강남구 개포동 1193-5,서울시 강남구 논현로12길 14,29.0,0.0,,,,,
개포비버리하임(도시형),34A㎡,서울시 강남구 개포동 1193-5,서울시 강남구 논현로12길 14,29.0,0.0,,,,,
개포비버리하임(도시형),34B㎡,서울시 강남구 개포동 1193-5,서울시 강남구 논현로12길 14,29.0,0.0,,,,,
