아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
VIP,76㎡,서울시 관악구 남현동 602-284,서울시 관악구 승방1길 87,10.0,0.0,,,,,
VIP,85㎡,서울시 관악구 남현동 602-284,서울시 관악구 승방1길 87,10.0,0.0,,,,,
VIP,91,서울시 관악구 남현동 602-284,서울시 관악구 승방1길 87,10.0,0.0,,"7억 2,000",,,
관악산대창센시티(101동),73㎡,서울시 관악구 남현동 1137,서울시 관악구 남현12길 21,49.0,0.0,,,,,
관악산대창센시티(101동),98㎡,서울시 관악구 남현동 1137,서울시 관악구 남현12길 21,49.0,0.0,,"8억 7,000","6억 3,000~6억 5,000",,
관악산대창센시티(101동),107㎡,서울시 관악구 남현동 1137,서울시 관악구 남현12길 21,49.0,0.0,,,,,
관악산대창센시티(101동),137,서울시 관악구 남현동 1137,서울시 관악구 남현12길 21,49.0,0.0,,,,5억/40,5억/40
관악산대창센시티(201동),106A㎡,서울시 관악구 남현동 1139,서울시 관악구 남부순환로260길 119,49.0,0.0,,"8억 1,000~8억 2,000","6억 5,000",3억/150~4억/100,3억/150~4억/100
관악산대창센시티(201동),106B㎡,서울시 관악구 남현동 1139,서울시 관악구 남부순환로260길 119,49.0,0.0,,"7억 8,000",,,
관악산대창센시티(201동),106C㎡,서울시 관악구 남현동 1139,서울시 관악구 남부순환로260길 119,49.0,0.0,,,,,
관악산대창센시티(201동),106D,서울시 관악구 남현동 1139,서울시 관악구 남부순환로260길 119,49.0,0.0,,,,,
관악산센텀,62㎡,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,,,,
관악산센텀,88㎡,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,,,,
관악산센텀,93㎡,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,,,,
관악산센텀,100A㎡,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,"8억 5,000",,,
관악산센텀,101B㎡,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,,,,
관악산센텀,104,서울시 관악구 남현동 1066-13,서울시 관악구 남현1가길 22,16.0,0.0,,,,,
기아하이츠빌,101㎡,서울시 관악구 남현동 1053-4,서울시 관악구 남부순환로256길 12,12.0,0.0,,,,,
기아하이츠빌,104A㎡,서울시 관악구 남현동 1053-4,서울시 관악구 남부순환로256길 12,12.0,0.0,,,,,
기아하이츠빌,106B,서울시 관악구 남현동 1053-4,서울시 관악구 남부순환로256길 12,12.0,0.0,,,,,
남현그린,66㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,93㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,94A㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,96B㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,101㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,105A㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,107B㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,110㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,127㎡,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현그린,130,서울시 관악구 남현동 602-146,서울시 관악구 승방1길 66,15.0,0.0,,,,,
남현한일유앤아이,76㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,"7억 2,000~7억 5,000",,,
남현한일유앤아이,95A㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,,,,
남현한일유앤아이,96D㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,,,,
남현한일유앤아이,97C㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,,"6억 5,000",,
남현한일유앤아이,106C㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,,6억,3억/120,3억/120
남현한일유앤아이,106B㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,"9억 7,000","5억 5,000",,
남현한일유앤아이,106D㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,8억,,,
남현한일유앤아이,106A㎡,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,10억,,,
남현한일유앤아이,151,서울시 관악구 남현동 1136,서울시 관악구 남부순환로256라길 25,170.0,0.0,,13억,,,
남현한일유앤아이2차,91㎡,서울시 관악구 남현동 1077-1,서울시 관악구 남현길 113,40.0,0.0,,,,,
남현한일유앤아이2차,109,서울시 관악구 남현동 1077-1,서울시 관악구 남현길 113,40.0,0.0,,"7억 5,000~10억",,,
남현현대아이,57㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,72A㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,73B㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,76㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,89A㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,90B㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,92A㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,93B㎡,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현현대아이,95,서울시 관악구 남현동 1054-42,서울시 관악구 남부순환로260길 30,14.0,0.0,,,,,
남현흥화브라운빌,77㎡,서울시 관악구 남현동 1132,서울시 관악구 남현길 144,88.0,0.0,,9억,,,
남현흥화브라운빌,107㎡,서울시 관악구 남현동 1132,서울시 관악구 남현길 144,88.0,0.0,,9억,,,
남현흥화브라운빌,134,서울시 관악구 남현동 1132,서울시 관악구 남현길 144,88.0,0.0,,13억,"6억 8,000",,
네스코로와(민간임대),14A㎡,서울시 관악구 남현동 1061-13,서울시 관악구 남현1길 68-18,28.0,28.0,,,,,
네스코로와(민간임대),15B㎡,서울시 관악구 남현동 1061-13,서울시 관악구 남현1길 68-18,28.0,28.0,,,,,
네스코로와(민간임대),18,서울시 관악구 남현동 1061-13,서울시 관악구 남현1길 68-18,28.0,28.0,,,,,
네스코뮤즈빌,100㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,111㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,114㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,146A㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,147㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,147B㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,153A㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,153B㎡,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코뮤즈빌,154,서울시 관악구 남현동 602-216,서울시 관악구 승방1길 51,15.0,0.0,,,,,
네스코수피아(도시형),41C㎡,서울시 관악구 남현동 602-27,서울시 관악구 승방4길 6,50.0,0.0,,,,,
네스코수피아(도시형),42B㎡,서울시 관악구 남현동 602-27,서울시 관악구 승방4길 6,50.0,0.0,,,,,
네스코수피아(도시형),42A㎡,서울시 관악구 남현동 602-27,서울시 관악구 승방4길 6,50.0,0.0,,,"4억 2,000",,
네스코수피아(도시형),47㎡,서울시 관악구 남현동 602-27,서울시 관악구 승방4길 6,50.0,0.0,,,,,
