아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
광나루현대,103C㎡,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,123000.0,"10억 5,000~13억 8,000",6억,,
광나루현대,103A㎡,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,123000.0,,,,
광나루현대,104B,서울시 광진구 광장동 567,서울시 광진구 아차산로76길 31,380.0,0.0,122500.0,"9억 9,000~15억",5억~8억,1억/200~5억/70,1억/200~5억/70
광장극동2차,92㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,123000.0,16억,"4억 6,500~6억 2,000",,
광장극동2차,104㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,122500.0,"16억~17억 5,000",5억~7억,"1억/190~5억 5,000/30","1억/190~5억 5,000/30"
광장극동2차,120㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,123000.0,19억,8억,,
광장극동2차,149㎡,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,,,,,
광장극동2차,179,서울시 광진구 광장동 218-1,서울시 광진구 아차산로 552,896.0,0.0,,24억~25억,11억,"5억/160~8억 5,000/160","5억/160~8억 5,000/160"
광장금호베스트빌,81㎡,서울시 광진구 광장동 578,서울시 광진구 광나루로 579,242.0,0.0,123000.0,12억,"5억 8,000~6억 5,000",,
광장금호베스트빌,108,서울시 광진구 광장동 578,서울시 광진구 광나루로 579,242.0,0.0,122500.0,"13억~14억 9,000","7억 8,000~9억",6억/100,6억/100
광장빌리지(도시형),65A㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,123000.0,,,,
광장빌리지(도시형),65D㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,,,,,
광장빌리지(도시형),65E㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,,,,,
광장빌리지(도시형),66C㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,123000,"5억 8,000",,,
광장빌리지(도시형),66B㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,122500,,,,
광장빌리지(도시형),67A㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,,"5억 9,000",,,
광장빌리지(도시형),68B㎡,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,,,,,
광장빌리지(도시형),101,서울시 광진구 광장동 457-3,서울시 광진구 아차산로66길 70,29.0,0.0,,,,,
광장신동아파밀리에,107A㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,123000.0,"15억 5,000","8억~8억 5,000",,
광장신동아파밀리에,107B㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,122500.0,"15억 5,000~15억 6,000","7억~8억 5,000","4억 5,000/120~7억/50","4억 5,000/120~7억/50"
광장신동아파밀리에,107C㎡,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,123000.0,14억,8억,,
광장신동아파밀리에,107D,서울시 광진구 광장동 250,서울시 광진구 아차산로 599,302.0,0.0,,,,,
광장자이,157㎡,서울시 광진구 광장동 581,서울시 광진구 광나루로 595,122.0,0.0,123000.0,27억,,,
광장자이,198㎡,서울시 광진구 광장동 581,서울시 광진구 광나루로 595,122.0,0.0,122500.0,"28억~28억 5,000",15억~17억,"12억/120~12억 5,000/120","12억/120~12억 5,000/120"
