아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
미래하이츠,98A㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,,,,,
미래하이츠,99B㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,,,,,
미래하이츠,110㎡,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,,,,,
미래하이츠,114,서울시 구로구 가리봉동 137-7,서울시 구로구 남부순환로107길 12,18.0,0.0,,,,,
효성,84㎡,서울시 구로구 가리봉동 139,서울시 구로구 남부순환로 1299,96.0,0.0,,"5억 2,000~5억 5,000",,,
효성,119,서울시 구로구 가리봉동 139,서울시 구로구 남부순환로 1299,96.0,0.0,,"5억 5,000~6억 8,000",,,
e-푸른,72㎡,서울시 구로구 개봉동 491,서울시 구로구 개봉로17아길 41-13,36.0,0.0,,"4억 5,000","3억~3억 2,000",,
e-푸른,101,서울시 구로구 개봉동 491,서울시 구로구 개봉로17아길 41-13,36.0,0.0,,5억,,,
개봉가연(도시형),17㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),20㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),22B㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),22A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),24C㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),25B㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,"1,000/50","1,000/50"
개봉가연(도시형),25A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),33A㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),33B㎡,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉가연(도시형),47,서울시 구로구 개봉동 202-15,서울시 구로구 남부순환로97길 20-7,24.0,0.0,,,,,
개봉대상,88㎡,서울시 구로구 개봉동 477,서울시 구로구 개봉로1길 170,208.0,0.0,,"5억 5,000~6억",,,
개봉대상,109C㎡,서울시 구로구 개봉동 477,서울시 구로구 개봉로1길 170,208.0,0.0,,"5억 5,000~6억 3,000",,,
개봉대상,111A㎡,서울시 구로구 개봉동 477,서울시 구로구 개봉로1길 170,208.0,0.0,,"6억 5,000",,,
개봉대상,111B,서울시 구로구 개봉동 477,서울시 구로구 개봉로1길 170,208.0,0.0,,,"3억 2,000",,
개봉상우(상우2단지),85㎡,서울시 구로구 개봉동 487,서울시 구로구 남부순환로97길 74,72.0,0.0,,,,,
개봉상우(상우2단지),89㎡,서울시 구로구 개봉동 487,서울시 구로구 남부순환로97길 74,72.0,0.0,,6억,4억,,
개봉상우(상우2단지),106,서울시 구로구 개봉동 487,서울시 구로구 남부순환로97길 74,72.0,0.0,,7억,"4억 5,000~4억 9,000",,
개봉아이파크,80㎡,서울시 구로구 개봉동 489,서울시 구로구 개봉로2길 133-15,684.0,0.0,,"7억 5,000~8억 3,000",,,
개봉아이파크,115㎡,서울시 구로구 개봉동 489,서울시 구로구 개봉로2길 133-15,684.0,0.0,,"10억 1,000~12억","5억 2,000~6억 2,000","2억/135~2억 5,000/135","2억/135~2억 5,000/135"
개봉아이파크,151,서울시 구로구 개봉동 489,서울시 구로구 개봉로2길 133-15,684.0,0.0,,11억~14억,"5억 7,000~6억",,
개봉진로,78㎡,서울시 구로구 개봉동 479,서울시 구로구 개봉로15길 84-15,72.0,0.0,,"3억 7,000~4억 5,000","3억~3억 5,000",,
개봉진로,109㎡,서울시 구로구 개봉동 479,서울시 구로구 개봉로15길 84-15,72.0,0.0,,,,,
개봉진로,116,서울시 구로구 개봉동 479,서울시 구로구 개봉로15길 84-15,72.0,0.0,,,,,
개봉푸르지오,84C㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,,"4억 5,000",,
개봉푸르지오,85A㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"8억 5,000","4억 5,000~4억 7,000",,
개봉푸르지오,85B㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"9억 5,000~10억","4억 5,000",,
개봉푸르지오,99C㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"8억 5,000",,,
개봉푸르지오,100B㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"8억~11억 5,000","4억~4억 5,000",3억/50,3억/50
개봉푸르지오,101A㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"9억~9억 5,000","4억~5억 5,000",,
개봉푸르지오,110A㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,10억~12억,"4억 3,000~7억",2억/100~4억/60,2억/100~4억/60
개봉푸르지오,110B㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"8억 9,000~12억","4억 5,000~6억 2,000",3억/90~3억/100,3억/90~3억/100
개봉푸르지오,110C㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"9억 5,000~9억 9,000",6억,"2억 5,000/130","2억 5,000/130"
개봉푸르지오,150B㎡,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,14억,,,
개봉푸르지오,151A,서울시 구로구 개봉동 492,서울시 구로구 남부순환로 775,978.0,115.0,,"12억 8,000~14억",,,
개봉프라자(주상복합),111㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,"3억 5,000",,,
개봉프라자(주상복합),122A㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),122B㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),129㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),133㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),139㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),148㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),151A㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),152B㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),154A㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),154B㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),167A㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),170B㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,,,,
개봉프라자(주상복합),171A㎡,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,"4억 9,000~5억",,,
개봉프라자(주상복합),173B,서울시 구로구 개봉동 361-1,서울시 구로구 개봉로3길 51,19.0,0.0,,5억,,,
개봉한진타운,88㎡,서울시 구로구 개봉동 478,서울시 구로구 개봉로3길 87,1371.0,0.0,,"5억 3,000~6억 8,000","3억 5,000~4억","1,000/100~5,000/100","1,000/100~5,000/100"
개봉한진타운,110SN㎡,서울시 구로구 개봉동 478,서울시 구로구 개봉로3길 87,1371.0,0.0,,"6억 7,000~7억 7,000","4억~4억 9,000",2억/100,2억/100
개봉한진타운,110N1㎡,서울시 구로구 개봉동 478,서울시 구로구 개봉로3길 87,1371.0,0.0,,,,,
개봉한진타운,148N㎡,서울시 구로구 개봉동 478,서울시 구로구 개봉로3길 87,1371.0,0.0,,"8억~9억 2,000",,,
개봉한진타운,148N1,서울시 구로구 개봉동 478,서울시 구로구 개봉로3길 87,1371.0,0.0,,,,,
거성,63㎡,서울시 구로구 개봉동 270-80,서울시 구로구 개봉로15길 91,190.0,0.0,,"2억 8,000~3억 6,000","1억 6,000",,
거성,76㎡,서울시 구로구 개봉동 270-80,서울시 구로구 개봉로15길 91,190.0,0.0,,4억~5억,2억,,
거성,101,서울시 구로구 개봉동 270-80,서울시 구로구 개봉로15길 91,190.0,0.0,,"5억 3,000~6억",,,
거성푸르뫼,62㎡,서울시 구로구 개봉동 60-101,서울시 구로구 고척로 85,249.0,0.0,,"4억 5,000",,,
거성푸르뫼,75A㎡,서울시 구로구 개봉동 60-101,서울시 구로구 고척로 85,249.0,0.0,,"4억 5,000~4억 6,000",,,
거성푸르뫼,75B㎡,서울시 구로구 개봉동 60-101,서울시 구로구 고척로 85,249.0,0.0,,,,,
거성푸르뫼,107㎡,서울시 구로구 개봉동 60-101,서울시 구로구 고척로 85,249.0,0.0,,"7억 1,000","3억 5,000~3억 9,000",,
