아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
G밸리페트라힐스(도시형),20A㎡,서울시 금천구 가산동 139-15,서울시 금천구 디지털로 207,142.0,0.0,,,"1억 4,000~1억 4,500","1억 3,000/5","1억 3,000/5"
G밸리페트라힐스(도시형),41B,서울시 금천구 가산동 139-15,서울시 금천구 디지털로 207,142.0,0.0,,,"2억 4,000","1억 5,000/50","1억 5,000/50"
S-클레스(도시형),34㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,"1억 9,950",,
S-클레스(도시형),35D㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,,,
S-클레스(도시형),35B㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,,,
S-클레스(도시형),36E㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,,,
S-클레스(도시형),36A㎡,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,,,
S-클레스(도시형),36C,서울시 금천구 가산동 238-105,서울시 금천구 두산로3길 39-16,32.0,0.0,,,,,
UCL,29A㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
UCL,30B㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
UCL,31C㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
UCL,32D㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
UCL,32E㎡,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
UCL,32F,서울시 금천구 가산동 238-87,서울시 금천구 벚꽃로26길 7,18.0,0.0,,,,,
가산양우내안애애플(도시형),21A㎡,서울시 금천구 가산동 141-2,서울시 금천구 남부순환로 1266,200.0,0.0,,"1억 3,000","1억 2,000~1억 4,000","500/50~1억 3,000/5","500/50~1억 3,000/5"
가산양우내안애애플(도시형),28B,서울시 금천구 가산동 141-2,서울시 금천구 남부순환로 1266,200.0,0.0,,"1억 5,000",,"2,000/60","2,000/60"
가산지웰에스테이트(도시형),20㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,,,
가산지웰에스테이트(도시형),25A㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,"1억 3,500",,
가산지웰에스테이트(도시형),26B㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,"1억 7,000",,"500/55~1억 2,000/10","500/55~1억 2,000/10"
가산지웰에스테이트(도시형),26D㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,,,
가산지웰에스테이트(도시형),27E㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,,,
가산지웰에스테이트(도시형),27C㎡,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,,,
가산지웰에스테이트(도시형),54,서울시 금천구 가산동 140-9,서울시 금천구 가산로 147,99.0,0.0,,,,,
가산지웰에스테이트2차(도시형),21AA㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,,"1억 3,000~1억 6,000","1억 3,500~1억 5,000","1,000/60~3,700/35","1,000/60~3,700/35"
가산지웰에스테이트2차(도시형),21AB㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,,,,,
가산지웰에스테이트2차(도시형),21AD㎡,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,,,,"500/52~1,000/60","500/52~1,000/60"
가산지웰에스테이트2차(도시형),22AC,서울시 금천구 가산동 143-6,서울시 금천구 가산로9길 12-8,238.0,0.0,,,,,
