아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
67디벨리움(도시형),24A㎡,서울시 노원구 공릉동 670-7,서울시 노원구 화랑로 443,106.0,0.0,16500.0,"1억 6,000~1억 7,500",,,
67디벨리움(도시형),39B㎡,서울시 노원구 공릉동 670-7,서울시 노원구 화랑로 443,106.0,0.0,,"2억 3,000~2억 5,000",,,
67디벨리움(도시형),40C,서울시 노원구 공릉동 670-7,서울시 노원구 화랑로 443,106.0,0.0,,,,,
건영,81㎡,서울시 노원구 공릉동 404-3,서울시 노원구 동일로173가길 145,90.0,0.0,16500.0,"4억 7,000~5억 7,500",,,
건영,114㎡,서울시 노원구 공릉동 404-3,서울시 노원구 동일로173가길 145,90.0,0.0,,"7억 5,000~7억 6,000","3억 8,000~4억 2,000",2억/90~3억/50,2억/90~3억/50
건영,143,서울시 노원구 공릉동 404-3,서울시 노원구 동일로173가길 145,90.0,0.0,,"8억 9,000",,,
건영장미,84㎡,서울시 노원구 공릉동 744,서울시 노원구 공릉로51길 14-17,215.0,0.0,16500.0,"6억 3,000~7억",,,
건영장미,109,서울시 노원구 공릉동 744,서울시 노원구 공릉로51길 14-17,215.0,0.0,,"7억 5,000~8억 3,000",4억,"2억 5,000/70","2억 5,000/70"
골든하우스2(도시형),18A㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,16500.0,,,,
골든하우스2(도시형),20D㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
골든하우스2(도시형),20B㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
골든하우스2(도시형),20C㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
골든하우스2(도시형),21㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
골든하우스2(도시형),21E㎡,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
골든하우스2(도시형),28,서울시 노원구 공릉동 362-38,서울시 노원구 동일로196길 21,12.0,0.0,,,,,
공릉2단지라이프,46㎡,서울시 노원구 공릉동 707,서울시 노원구 동일로198가길 149,660.0,0.0,16500.0,"3억 8,000~4억 7,000","2억 6,000",,
공릉2단지라이프,53㎡,서울시 노원구 공릉동 707,서울시 노원구 동일로198가길 149,660.0,0.0,,"4억 5,000~5억 3,000","2억~2억 3,000","2,000/70~2,000/75","2,000/70~2,000/75"
공릉2단지라이프,66,서울시 노원구 공릉동 707,서울시 노원구 동일로198가길 149,660.0,0.0,,"5억~6억 5,000","2억 8,000~3억 2,000","3,000/90~5,000/75","3,000/90~5,000/75"
공릉3단지라이프,44㎡,서울시 노원구 공릉동 715,서울시 노원구 섬밭로 123,840.0,0.0,16500.0,"3억 7,000~4억 5,000","1억 9,000",,
공릉3단지라이프,51㎡,서울시 노원구 공릉동 715,서울시 노원구 섬밭로 123,840.0,0.0,,"4억 1,000~5억 4,000","2억 1,000~2억 2,000","2,000/65~5,000/55","2,000/65~5,000/55"
공릉3단지라이프,64,서울시 노원구 공릉동 715,서울시 노원구 섬밭로 123,840.0,0.0,,"5억 3,000~6억 5,000","2억 8,000~2억 9,000","1억 3,000/65~1억 3,000/70","1억 3,000/65~1억 3,000/70"
공릉8단지청솔,99㎡,서울시 노원구 공릉동 91,서울시 노원구 노원로1가길 10,278.0,0.0,16500.0,"7억 1,000~9억","4억 6,000~5억 5,000",2억/120~3억/90,2억/120~3억/90
공릉8단지청솔,100N,서울시 노원구 공릉동 91,서울시 노원구 노원로1가길 10,278.0,0.0,,"7억 2,000~7억 5,000","4억 5,000",1억/120,1억/120
공릉9단지청솔,108A㎡,서울시 노원구 공릉동 90,서울시 노원구 노원로1길 21,297.0,0.0,,"8억 3,000~9억",4억 700,"4억 5,000/35","4억 5,000/35"
공릉9단지청솔,108B㎡,서울시 노원구 공릉동 90,서울시 노원구 노원로1길 21,297.0,0.0,16500,"8억 5,000~9억",,,
공릉9단지청솔,108C㎡,서울시 노원구 공릉동 90,서울시 노원구 노원로1길 21,297.0,0.0,,"8억 5,000",,,
공릉9단지청솔,108D㎡,서울시 노원구 공릉동 90,서울시 노원구 노원로1길 21,297.0,0.0,,9억,,,
공릉9단지청솔,108E,서울시 노원구 공릉동 90,서울시 노원구 노원로1길 21,297.0,0.0,,,"4억 8,000",3억/90,3억/90
