아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
극동,101A㎡,서울시 도봉구 도봉동 81-1,서울시 도봉구 도봉로180길 77,205.0,0.0,57000.0,6억,,"3,000/110","3,000/110"
극동,102C㎡,서울시 도봉구 도봉동 81-1,서울시 도봉구 도봉로180길 77,205.0,0.0,53000.0,"4억 8,000~6억 5,000","3억~3억 2,000",,
극동,102B,서울시 도봉구 도봉동 81-1,서울시 도봉구 도봉로180길 77,205.0,0.0,57000.0,,,,
다이아포레,33A㎡,서울시 도봉구 도봉동 634-6,서울시 도봉구 마들로 696,16.0,0.0,53000.0,,,,
다이아포레,34B㎡,서울시 도봉구 도봉동 634-6,서울시 도봉구 마들로 696,16.0,0.0,57000.0,,,,
다이아포레,41,서울시 도봉구 도봉동 634-6,서울시 도봉구 마들로 696,16.0,0.0,57000.0,,,,
도봉미성,29A㎡,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,53000.0,,,,
도봉미성,30B㎡,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,57000.0,,,,
도봉미성,30C㎡,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,57000.0,,,,
도봉미성,31D㎡,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,,,,,
도봉미성,32㎡,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,,,,,
도봉미성,35,서울시 도봉구 도봉동 596-7,서울시 도봉구 도봉로165길 18,14.0,0.0,,,,,
도봉산리베니움,79㎡,서울시 도봉구 도봉동 571,서울시 도봉구 도봉로181길 74-30,49.0,0.0,53000.0,,,,
도봉산리베니움,96㎡,서울시 도봉구 도봉동 571,서울시 도봉구 도봉로181길 74-30,49.0,0.0,,,,,
도봉산리베니움,98A㎡,서울시 도봉구 도봉동 571,서울시 도봉구 도봉로181길 74-30,49.0,0.0,57000,"4억 5,000~5억 3,000","3억 5,000",,
도봉산리베니움,98B㎡,서울시 도봉구 도봉동 571,서울시 도봉구 도봉로181길 74-30,49.0,0.0,57000,,,,
도봉산리베니움,99C,서울시 도봉구 도봉동 571,서울시 도봉구 도봉로181길 74-30,49.0,0.0,,,,,
도봉숲아뜨리움(도시형),59A㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,53000.0,"4억 5,000",,,
도봉숲아뜨리움(도시형),60B㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,57000.0,,,,
도봉숲아뜨리움(도시형),62㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,57000.0,,,,
도봉숲아뜨리움(도시형),67B㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,,,,
도봉숲아뜨리움(도시형),68D㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,"4억 5,000",,,
도봉숲아뜨리움(도시형),68C㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,,,,
도봉숲아뜨리움(도시형),68E㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,,,,
도봉숲아뜨리움(도시형),70A㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,"4억 5,000~5억 2,500",,1억/80,1억/80
도봉숲아뜨리움(도시형),71㎡,서울시 도봉구 도봉동 593-37,서울시 도봉구 도봉로167길 38,172.0,0.0,,,,,
