아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
답십리대우,89㎡,서울시 동대문구 답십리동 111,서울시 동대문구 답십리로41길 33,319.0,0.0,80000.0,"7억 5,000~8억 7,000","4억 5,000~4억 9,000","2억 5,000/60~2억 8,000/60","2억 5,000/60~2억 8,000/60"
답십리대우,108㎡,서울시 동대문구 답십리동 111,서울시 동대문구 답십리로41길 33,319.0,0.0,91500.0,"9억 1,000~10억 2,000",,,
답십리대우,141,서울시 동대문구 답십리동 111,서울시 동대문구 답십리로41길 33,319.0,0.0,107500.0,"11억 2,000~12억 5,000",,,
답십리엘림퍼스트,70A㎡,서울시 동대문구 답십리동 1015,서울시 동대문구 전농로3길 20,79.0,0.0,,"7억~7억 6,000","5억~5억 5,000",,
답십리엘림퍼스트,70B㎡,서울시 동대문구 답십리동 1015,서울시 동대문구 전농로3길 20,79.0,0.0,80000,"5억 9,000~7억 9,000","5억~5억 6,000",,
답십리엘림퍼스트,71C,서울시 동대문구 답십리동 1015,서울시 동대문구 전농로3길 20,79.0,0.0,91500,"7억 8,000",,,
답십리청솔우성,78B㎡,서울시 동대문구 답십리동 80,서울시 동대문구 전농로10길 20,1542.0,432.0,91500.0,8억~9억,"4억 2,000",1억/140,1억/140
답십리청솔우성,78A㎡,서울시 동대문구 답십리동 80,서울시 동대문구 전농로10길 20,1542.0,432.0,80000.0,"7억 3,000~8억 8,000","3억 8,000~4억 3,000","1억/120~1억 5,000/80","1억/120~1억 5,000/80"
답십리청솔우성,108㎡,서울시 동대문구 답십리동 80,서울시 동대문구 전농로10길 20,1542.0,432.0,107500.0,"8억 9,000~11억","4억 2,000~5억","3억/100~3억 6,000/50","3억/100~3억 6,000/50"
답십리청솔우성,140,서울시 동대문구 답십리동 80,서울시 동대문구 전농로10길 20,1542.0,432.0,,"9억 8,000~12억 3,000","5억 2,500~6억 5,000","1억/240~3억 5,000/120","1억/240~3억 5,000/120"
답십리파크자이,68A㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,,"8억 2,000~10억 3,000","4억 1,000~4억 4,000","1억 5,000/160~3억 9,000/20","1억 5,000/160~3억 9,000/20"
답십리파크자이,69B㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,80000,"7억 9,000~10억 1,000","3억 8,500~5억 5,000","2억 5,000/80~3억/70","2억 5,000/80~3억/70"
답십리파크자이,83A㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,91500,"9억 5,000~12억 5,000","4억 9,000~6억 1,000","5,000/200~4억 5,000/40","5,000/200~4억 5,000/40"
답십리파크자이,83E㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,107500,"10억 8,000~11억 5,000","5억 5,000",1억/180,1억/180
답십리파크자이,84B㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,,,"4억 6,000",,
답십리파크자이,85C㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,,"10억 9,000~11억 4,000",,,
답십리파크자이,110A㎡,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,,"11억 5,000~14억 5,000","6억 5,000~7억 1,000","5억 5,000/100~6억 5,000/50","5억 5,000/100~6억 5,000/50"
답십리파크자이,111B,서울시 동대문구 답십리동 1014,서울시 동대문구 답십리로56길 105,802.0,140.0,,"12억 9,000~14억 5,000","6억 3,000~7억 3,000",5억/60,5억/60
답십리한화(주상복합),116,서울시 동대문구 답십리동 994,서울시 동대문구 고미술로 57,146.0,0.0,,"8억 5,000~10억 5,000",,,
대림,81㎡,서울시 동대문구 답십리동 808,서울시 동대문구 답십리로60길 38,228.0,0.0,80000.0,"6억 9,000~7억",,,
대림,107A㎡,서울시 동대문구 답십리동 808,서울시 동대문구 답십리로60길 38,228.0,0.0,91500.0,"7억 3,000~9억","4억 5,000~5억",,
대림,108B㎡,서울시 동대문구 답십리동 808,서울시 동대문구 답십리로60길 38,228.0,0.0,107500.0,,5억,,
대림,141,서울시 동대문구 답십리동 808,서울시 동대문구 답십리로60길 38,228.0,0.0,,10억~12억,,,
더프레젠트259(도시형),33A㎡,서울시 동대문구 답십리동 259-10,서울시 동대문구 전농로 59,20.0,0.0,,,,,
더프레젠트259(도시형),33B㎡,서울시 동대문구 답십리동 259-10,서울시 동대문구 전농로 59,20.0,0.0,80000,,,,
더프레젠트259(도시형),34C㎡,서울시 동대문구 답십리동 259-10,서울시 동대문구 전농로 59,20.0,0.0,91500,,,,
더프레젠트259(도시형),34D,서울시 동대문구 답십리동 259-10,서울시 동대문구 전농로 59,20.0,0.0,107500,,,,
더헤이븐,35㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,,,,,
더헤이븐,40A㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,80000,,,"2,000/93~2,000/94","2,000/93~2,000/94"
더헤이븐,41B㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,91500,,,,
더헤이븐,41A㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,107500,,,,
더헤이븐,42B㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,,,,,
더헤이븐,56㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,,,,,
더헤이븐,70㎡,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,,,,,
더헤이븐,74,서울시 동대문구 답십리동 477-60,서울시 동대문구 사가정로2길 7-3,28.0,0.0,,,,"3,000/173","3,000/173"
