아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
JS타운(주상복합),14A㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),14B㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),17A㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),17B㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),20A㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),20B㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),22A㎡,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
JS타운(주상복합),22B,서울시 동작구 노량진동 39-9,서울시 동작구 노량진로12길 15-3,16.0,0.0,,,,,
노량진큐브스테이트(도시형),21A㎡,서울시 동작구 노량진동 267-6,서울시 동작구 노량진로 80,18.0,0.0,,3억,,,
노량진큐브스테이트(도시형),24B㎡,서울시 동작구 노량진동 267-6,서울시 동작구 노량진로 80,18.0,0.0,,,,,
노량진큐브스테이트(도시형),25C,서울시 동작구 노량진동 267-6,서울시 동작구 노량진로 80,18.0,0.0,,,,,
더클래식동작(도시형),21A㎡,서울시 동작구 노량진동 37-1,서울시 동작구 노량진로8길 55,272.0,0.0,,,,,
더클래식동작(도시형),21B㎡,서울시 동작구 노량진동 37-1,서울시 동작구 노량진로8길 55,272.0,0.0,,,,,
더클래식동작(도시형),24㎡,서울시 동작구 노량진동 37-1,서울시 동작구 노량진로8길 55,272.0,0.0,,,,,
더클래식동작(도시형),47,서울시 동작구 노량진동 37-1,서울시 동작구 노량진로8길 55,272.0,0.0,,,,,
메가스터디타워(도시형),27A㎡,서울시 동작구 노량진동 57-1,서울시 동작구 노량진로 140,299.0,0.0,,"1억 7,000~2억 1,000",,,
메가스터디타워(도시형),27B㎡,서울시 동작구 노량진동 57-1,서울시 동작구 노량진로 140,299.0,0.0,,"1억 7,000~2억","1억 7,100",,
메가스터디타워(도시형),27C㎡,서울시 동작구 노량진동 57-1,서울시 동작구 노량진로 140,299.0,0.0,,"1억 7,000",,"1,000/71","1,000/71"
메가스터디타워(도시형),36D㎡,서울시 동작구 노량진동 57-1,서울시 동작구 노량진로 140,299.0,0.0,,"2억 6,000",,,
메가스터디타워(도시형),55E,서울시 동작구 노량진동 57-1,서울시 동작구 노량진로 140,299.0,0.0,,,,,
미도빌(도시형),17A㎡,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,,
미도빌(도시형),17B㎡,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,500/50,500/50
미도빌(도시형),19A㎡,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,,
미도빌(도시형),19B㎡,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,,
미도빌(도시형),19C㎡,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,,
미도빌(도시형),19D,서울시 동작구 노량진동 148-5,서울시 동작구 노량진로 184,70.0,0.0,,,,,
벧엘포줌,47㎡,서울시 동작구 노량진동 315-13,서울시 동작구 장승배기로17길 31,18.0,0.0,,,,,
벧엘포줌,51㎡,서울시 동작구 노량진동 315-13,서울시 동작구 장승배기로17길 31,18.0,0.0,,,,,
벧엘포줌,61A㎡,서울시 동작구 노량진동 315-13,서울시 동작구 장승배기로17길 31,18.0,0.0,,,,,
벧엘포줌,63B㎡,서울시 동작구 노량진동 315-13,서울시 동작구 장승배기로17길 31,18.0,0.0,,,,,
벧엘포줌,75A㎡,서울시 동작구 노량진동 315-13,서울시 동작구 장승배기로17길 31,18.0,0.0,,,,,
