아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
공덕SK리더스뷰(주상복합),88㎡,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,"15억 8,000~16억 5,000","8억~8억 5,000",5억/150,5억/150
공덕SK리더스뷰(주상복합),111A㎡,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,"17억 5,000~20억","9억 9,500~12억 5,000",3억/300~10억/70,3억/300~10억/70
공덕SK리더스뷰(주상복합),112B㎡,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,,"9억 5,000~11억 5,000",3억/250~5억/250,3억/250~5억/250
공덕SK리더스뷰(주상복합),128A㎡,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,22억,"13억 5,000",,
공덕SK리더스뷰(주상복합),128B㎡,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,,"14억 5,000",,
공덕SK리더스뷰(주상복합),151,서울시 마포구 공덕동 479,서울시 마포구 백범로31길 7,472.0,152.0,,,15억,5억/400~7억/300,5억/400~7억/300
공덕더샵(주상복합),27㎡,서울시 마포구 공덕동 478,서울시 마포구 백범로 170,124.0,0.0,,,,,
공덕더샵(주상복합),80㎡,서울시 마포구 공덕동 478,서울시 마포구 백범로 170,124.0,0.0,,,,,
공덕더샵(주상복합),112C㎡,서울시 마포구 공덕동 478,서울시 마포구 백범로 170,124.0,0.0,,"16억 5,000~19억 5,000",8억 850,"5억/230~8억 5,000/60","5억/230~8억 5,000/60"
공덕더샵(주상복합),113A㎡,서울시 마포구 공덕동 478,서울시 마포구 백범로 170,124.0,0.0,,"18억 5,000~19억 5,000",,3억/300~7억/160,3억/300~7억/160
공덕더샵(주상복합),113B,서울시 마포구 공덕동 478,서울시 마포구 백범로 170,124.0,0.0,,"18억~18억 9,000",,,
공덕래미안4차,84㎡,서울시 마포구 공덕동 464,서울시 마포구 마포대로11길 50,597.0,0.0,,"9억 9,000~14억 3,000","5억 6,000~6억","5,000/200~1억/220","5,000/200~1억/220"
공덕래미안4차,104A㎡,서울시 마포구 공덕동 464,서울시 마포구 마포대로11길 50,597.0,0.0,,"13억 5,000~14억 5,000","6억~7억 7,000","6억 5,000/35","6억 5,000/35"
공덕래미안4차,105B㎡,서울시 마포구 공덕동 464,서울시 마포구 마포대로11길 50,597.0,0.0,,"15억~15억 9,000",,,
공덕래미안4차,141,서울시 마포구 공덕동 464,서울시 마포구 마포대로11길 50,597.0,0.0,,16억~19억,"9억~9억 7,000",,
공덕삼성,85㎡,서울시 마포구 공덕동 371,서울시 마포구 마포대로 115-8,651.0,0.0,,"12억~12억 5,000","4억 5,000~6억",,
공덕삼성,112㎡,서울시 마포구 공덕동 371,서울시 마포구 마포대로 115-8,651.0,0.0,,"14억 5,000~17억 5,000","6억~7억 5,000","3억 5,000/100~4억/80","3억 5,000/100~4억/80"
공덕삼성,142,서울시 마포구 공덕동 371,서울시 마포구 마포대로 115-8,651.0,0.0,,"18억 3,000~18억 5,000","7억 5,000~10억 5,000",8억/30,8억/30
공덕스카이(주상복합),106,서울시 마포구 공덕동 4-32,서울시 마포구 만리재로 119,9.0,0.0,,,,,
공덕시티하우스(주상복합),26㎡,서울시 마포구 공덕동 115-45,서울시 마포구 만리재로 81,4.0,0.0,,,,,
공덕시티하우스(주상복합),118㎡,서울시 마포구 공덕동 115-45,서울시 마포구 만리재로 81,4.0,0.0,,,,,
공덕시티하우스(주상복합),131㎡,서울시 마포구 공덕동 115-45,서울시 마포구 만리재로 81,4.0,0.0,,,,,
공덕시티하우스(주상복합),134,서울시 마포구 공덕동 115-45,서울시 마포구 만리재로 81,4.0,0.0,,,,,
공덕파크자이(주상복합),37㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,,,,
공덕파크자이(주상복합),72㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,,,,
공덕파크자이(주상복합),112㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,,,,
공덕파크자이(주상복합),113C㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,18억,,,
공덕파크자이(주상복합),113B㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,"17억 8,000~18억",9억~10억,"5,000/380~1억/360","5,000/380~1억/360"
공덕파크자이(주상복합),113E㎡,서울시 마포구 공덕동 476,서울시 마포구 백범로 152,288.0,0.0,,"17억 9,000",,,
