아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
DMC금호리첸시아,27㎡,서울시 서대문구 남가좌동 290 일대,서울시 서대문구,450.0,0.0,,,,,
DMC금호리첸시아,83A㎡,서울시 서대문구 남가좌동 290 일대,서울시 서대문구,450.0,0.0,,12억,,,
DMC금호리첸시아,84B㎡,서울시 서대문구 남가좌동 290 일대,서울시 서대문구,450.0,0.0,,,6억,3억/130,3억/130
DMC금호리첸시아,102㎡,서울시 서대문구 남가좌동 290 일대,서울시 서대문구,450.0,0.0,,13억,"6억 5,000",,
DMC금호리첸시아,114,서울시 서대문구 남가좌동 290 일대,서울시 서대문구,450.0,0.0,,,"6억~7억 4,000",2억/190~6억/20,2억/190~6억/20
DMC래미안클라시스,82C㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"7억 5,000~8억 4,000","3억 1,000~5억 3,000",,
DMC래미안클라시스,84B㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"7억 5,000~10억","3억 2,500~4억 2,000",,
DMC래미안클라시스,84A㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"7억~8억 5,000","4억 5,000",,
DMC래미안클라시스,110B㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"9억~11억 8,000","4억 5,000~5억 2,000","2억/150~3억 5,000/100","2억/150~3억 5,000/100"
DMC래미안클라시스,112A㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,11억,,,
DMC래미안클라시스,145B㎡,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"10억~13억 5,000","5억 6,000~6억 5,000",3억/160~4억/100,3억/160~4억/100
DMC래미안클라시스,145A,서울시 서대문구 남가좌동 377,서울시 서대문구 증가로 191,1114.0,0.0,,"11억 5,000~14억","5억 5,000~6억 2,000","4억 5,000/30","4억 5,000/30"
DMC센트럴아이파크,78C㎡,서울시 서대문구 남가좌동 388,서울시 서대문구 증가로 150,1061.0,47.0,,"10억 2,000~10억 3,000",5억,,
DMC센트럴아이파크,78B㎡,서울시 서대문구 남가좌동 388,서울시 서대문구 증가로 150,1061.0,47.0,,"10억 3,000~12억","4억 6,000~5억 3,000",,
DMC센트럴아이파크,81A㎡,서울시 서대문구 남가좌동 388,서울시 서대문구 증가로 150,1061.0,47.0,,"10억~10억 5,000","4억 5,000~4억 8,000","3,000/200~2억/130","3,000/200~2억/130"
DMC센트럴아이파크,107D㎡,서울시 서대문구 남가좌동 388,서울시 서대문구 증가로 150,1061.0,47.0,,,"4억 9,600~7억","1억/200~4억 5,000/30","1억/200~4억 5,000/30"
DMC센트럴아이파크,108E㎡,서울시 서대문구 남가좌동 388,서울시 서대문구 증가로 150,1061.0,47.0,,"13억~13억 9,000","5억 5,000~6억 5,000",3억/140~4억/60,3억/140~4억/60
