아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
서초더샵포레,80A㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,144000.0,,"6억 5,000~7억",2억/200~2억/220,2억/200~2억/220
서초더샵포레,80A1㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,144000.0,"14억 5,000~15억","6억 5,000~6억 8,000",2억/200~6억/35,2억/200~6억/35
서초더샵포레,80B1㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,144000.0,"15억~17억 5,000","6억 2,000~6억 5,000",,
서초더샵포레,112C㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,"17억 5,000~21억","7억 5,000~10억",1억/300~7억/100,1억/300~7억/100
서초더샵포레,112B㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,16억,"7억 5,000~9억",5억/160~7억/60,5억/160~7억/60
서초더샵포레,112A㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,,9억,7억/70,7억/70
서초더샵포레,113B1㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,19억,8억~9억,,
서초더샵포레,113H㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,17억,8억,,
서초더샵포레,113F㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,19억,,,
서초더샵포레,113F1㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,,,,
서초더샵포레,114E㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,167500.0,"18억 2,000~19억","7억 5,000",2억/240~5억/100,2억/240~5억/100
서초더샵포레,134B㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,182500.0,"19억~21억 5,000",10억~11억,,
서초더샵포레,135A㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,182500.0,"18억~21억 5,000",10억~11억,5억/210,5억/210
서초더샵포레,135F㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,182500.0,,11억,6억/200,6억/200
서초더샵포레,135E㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,182500.0,,10억,1억/300~5억/220,1억/300~5억/220
서초더샵포레,136C㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,182500.0,18억,"9억 5,000",,
서초더샵포레,152B㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,192500.0,18억~25억,9억~14억,5억/245~10억/80,5억/245~10억/80
서초더샵포레,152A㎡,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,192500.0,,,,
서초더샵포레,153D,서울시 서초구 내곡동 411,서울시 서초구 헌릉로8길 58,1264.0,215.0,192500.0,20억~25억,10억~12억,,
서초포레스타2단지,87B1㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,144000.0,,"6억 8,000",6억/60,6억/60
서초포레스타2단지,87B3㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,144000.0,,"7억 3,000~8억 5,000","6억/80~6억 7,000/70","6억/80~6억 7,000/70"
서초포레스타2단지,88B4㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,144000.0,14억~17억,"5억 9,850~8억",6억/90,6억/90
서초포레스타2단지,123B㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,167500.0,17억,,,
서초포레스타2단지,123B2㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,167500.0,,,,
서초포레스타2단지,124B1㎡,서울시 서초구 내곡동 384,서울시 서초구 헌릉로8길 45,1077.0,858.0,167500.0,"17억 6,000","8억 2,000~8억 3,000",,
