아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
e편한세상금호파크힐스,85A㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,144000.0,"13억~15억 8,000",7억~8억,1억/280~6억/70,1억/280~6억/70
e편한세상금호파크힐스,86B㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,144000.0,"13억 8,000~18억 3,000",7억~8억,2억/240~7억/15,2억/240~7억/15
e편한세상금호파크힐스,90C㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,144000.0,,,,
e편한세상금호파크힐스,110A㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,171000.0,"16억 2,000~19억 3,000","8억 3,000~9억 5,000","5,000/360~8억/80","5,000/360~8억/80"
e편한세상금호파크힐스,113B㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,171000.0,"15억 2,000~19억","7억 6,600~8억 8,000",,
e편한세상금호파크힐스,118C㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,171000.0,"16억 5,000~18억","8억 5,000~9억",1억/320,1억/320
e편한세상금호파크힐스,151㎡,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,197500.0,"21억~22억 7,000","13억 5,000~14억 5,000",,
e편한세상금호파크힐스,164,서울시 성동구 금호동1가 1823,서울시 성동구 금호로 140,1330.0,137.0,202500.0,,,,
금호삼성래미안,78㎡,서울시 성동구 금호동1가 1500,서울시 성동구 독서당로 343,582.0,0.0,144000.0,"10억 2,000~12억 5,000","5억~6억 5,000","1억 5,000/200","1억 5,000/200"
금호삼성래미안,105㎡,서울시 성동구 금호동1가 1500,서울시 성동구 독서당로 343,582.0,0.0,144000.0,"13억 5,000~16억","6억 5,000~9억","1억/220~5억 5,000/80","1억/220~5억 5,000/80"
금호삼성래미안,138,서울시 성동구 금호동1가 1500,서울시 성동구 독서당로 343,582.0,0.0,171000.0,14억~18억,"8억 7,000~12억",7억/200,7억/200
금화신금호,97A㎡,서울시 성동구 금호동1가 128-5,서울시 성동구 행당로 31-43,19.0,0.0,144000.0,,,,
금화신금호,97B㎡,서울시 성동구 금호동1가 128-5,서울시 성동구 행당로 31-43,19.0,0.0,171000.0,,,,
금화신금호,102,서울시 성동구 금호동1가 128-5,서울시 성동구 행당로 31-43,19.0,0.0,144000.0,7억,5억,,
벽산,78㎡,서울시 성동구 금호동1가 633,서울시 성동구 금호로 100,1707.0,0.0,144000.0,"10억 5,000",,,
벽산,86㎡,서울시 성동구 금호동1가 633,서울시 성동구 금호로 100,1707.0,0.0,171000.0,9억~12억,4억~5억,"5,000/160~4억/40","5,000/160~4억/40"
벽산,108A㎡,서울시 성동구 금호동1가 633,서울시 성동구 금호로 100,1707.0,0.0,171000.0,"11억~16억 5,000","5억 3,000~7억","5,000/210~4억/80","5,000/210~4억/80"
벽산,110B㎡,서울시 성동구 금호동1가 633,서울시 성동구 금호로 100,1707.0,0.0,171000.0,14억~15억,"5억~6억 5,000","2억 3,000/120","2억 3,000/120"
벽산,141,서울시 성동구 금호동1가 633,서울시 성동구 금호로 100,1707.0,0.0,197500.0,"14억 2,000~19억","5억 5,000~8억 5,000","5,000/250~6억/80","5,000/250~6억/80"
신금호두산위브,79B㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,144000.0,,,"1억 5,000/160","1억 5,000/160"
신금호두산위브,79A㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,144000.0,,,,
신금호두산위브,109C㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,171000.0,11억~13억,"6억 5,000",,
신금호두산위브,109A㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,171000.0,11억~14억,"6억 5,000",,
신금호두산위브,109B㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,171000.0,,,,
신금호두산위브,113㎡,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,197500.0,,,,
신금호두산위브,143,서울시 성동구 금호동1가 1818,서울시 성동구 행당로 27,169.0,0.0,202500.0,14억~15억,,,
푸른마을8차,85B㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,171000.0,,,,
푸른마을8차,85A㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,202500.0,,,,
푸른마을8차,88A㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,144000.0,,,,
푸른마을8차,88B㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,,,,,
푸른마을8차,89C㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,,,,,
푸른마을8차,89D㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,,,,,
푸른마을8차,90E㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,171000,,,,
푸른마을8차,91㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,171000,,,,
푸른마을8차,94A㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,,,,,
푸른마을8차,95B㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,197500,,,,
푸른마을8차,99㎡,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,144000,,,,
푸른마을8차,116,서울시 성동구 금호동1가 128-4,서울시 성동구 행당로 31-35,19.0,0.0,144000,,,,
하나,55㎡,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,171000.0,,,,
하나,99A㎡,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,144000.0,,,,
하나,99B㎡,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,144000.0,,,,
하나,100C㎡,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,171000.0,,,,
하나,101㎡,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,171000.0,,,,
하나,104,서울시 성동구 금호동1가 635,서울시 성동구 독서당로55길 28,18.0,0.0,197500.0,,,,
