아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
SJ497(주상복합),21㎡,서울시 영등포구 당산동 171-47,서울시 영등포구 영중로42길 7,11.0,11.0,,,"2억 6,000",,
SJ497(주상복합),24㎡,서울시 영등포구 당산동 171-47,서울시 영등포구 영중로42길 7,11.0,11.0,,,"2억 6,000",,
SJ497(주상복합),25㎡,서울시 영등포구 당산동 171-47,서울시 영등포구 영중로42길 7,11.0,11.0,,,,,
SJ497(주상복합),35㎡,서울시 영등포구 당산동 171-47,서울시 영등포구 영중로42길 7,11.0,11.0,,,,,
SJ497(주상복합),57,서울시 영등포구 당산동 171-47,서울시 영등포구 영중로42길 7,11.0,11.0,,,,,
가온빌(도시형),34,서울시 영등포구 당산동 121-289,서울시 영등포구 버드나루로 102-1,27.0,0.0,,,,,
강변래미안,81㎡,서울시 영등포구 당산동 376,서울시 영등포구 버드나루로 130,801.0,0.0,,"10억 3,000~12억 2,000",6억,3억/120~4억/120,3억/120~4억/120
강변래미안,109㎡,서울시 영등포구 당산동 376,서울시 영등포구 버드나루로 130,801.0,0.0,,"10억 8,000~14억 5,000","6억 2,000~7억 5,000",4억/120~6억/50,4억/120~6억/50
강변래미안,109A㎡,서울시 영등포구 당산동 376,서울시 영등포구 버드나루로 130,801.0,0.0,,14억,6억,,
강변래미안,111B㎡,서울시 영등포구 당산동 376,서울시 영등포구 버드나루로 130,801.0,0.0,,"11억~15억 3,000",6억~7억,5억/80,5억/80
강변래미안,145,서울시 영등포구 당산동 376,서울시 영등포구 버드나루로 130,801.0,0.0,,14억~18억,"9억~9억 3,000",2억/250~7억/80,2억/250~7억/80
강변한솔그라치아,90㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,107A㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,107B㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,10억,,,
강변한솔그라치아,107A㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,107B㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,107C㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,111㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,137A㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,137B㎡,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
강변한솔그라치아,138C,서울시 영등포구 당산동 121-41,서울시 영등포구 버드나루로22길 5,19.0,0.0,,,,,
계명,66㎡,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,,,,
계명,68A㎡,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,,,,
계명,69B㎡,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,,,,
계명,69C㎡,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,,,,
계명,70D㎡,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,"5억 2,000~5억 3,000",3억~4억,,
계명,96,서울시 영등포구 당산동 121-19,서울시 영등포구 국회대로55길 31,17.0,0.0,,,,,
나온타워(도시형),18A㎡,서울시 영등포구 당산동 121-3,서울시 영등포구 국회대로53길 24-12,21.0,0.0,,,,,
나온타워(도시형),20B㎡,서울시 영등포구 당산동 121-3,서울시 영등포구 국회대로53길 24-12,21.0,0.0,,,,,
나온타워(도시형),22A㎡,서울시 영등포구 당산동 121-3,서울시 영등포구 국회대로53길 24-12,21.0,0.0,,,,,
나온타워(도시형),23B㎡,서울시 영등포구 당산동 121-3,서울시 영등포구 국회대로53길 24-12,21.0,0.0,,,,,
나온타워(도시형),32,서울시 영등포구 당산동 121-3,서울시 영등포구 국회대로53길 24-12,21.0,0.0,,,,,
다빈치(도시형),16㎡,서울시 영등포구 당산동 121-111,서울시 영등포구 국회대로55길 30,32.0,0.0,,,,"3,000/36","3,000/36"
다빈치(도시형),21A㎡,서울시 영등포구 당산동 121-111,서울시 영등포구 국회대로55길 30,32.0,0.0,,,,,
다빈치(도시형),22B,서울시 영등포구 당산동 121-111,서울시 영등포구 국회대로55길 30,32.0,0.0,,,,,
대우,54㎡,서울시 영등포구 당산동 121-215,서울시 영등포구 버드나루로15길 11,18.0,0.0,,,,,
대우,73A㎡,서울시 영등포구 당산동 121-215,서울시 영등포구 버드나루로15길 11,18.0,0.0,,"6억 5,000",,,
대우,74B㎡,서울시 영등포구 당산동 121-215,서울시 영등포구 버드나루로15길 11,18.0,0.0,,,,,
