아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
두리파크빌,52㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,72㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,75㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,86㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,91A㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,91B㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,102㎡,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
두리파크빌,118,서울시 용산구 갈월동 6-48,서울시 용산구 한강대로102나길 23,14.0,0.0,,,,,
도원,41B㎡,서울시 용산구 도원동 3-7,서울시 용산구 새창로12길 11-15,17.0,0.0,,,,,
도원,41C㎡,서울시 용산구 도원동 3-7,서울시 용산구 새창로12길 11-15,17.0,0.0,,,,,
도원,41A,서울시 용산구 도원동 3-7,서울시 용산구 새창로12길 11-15,17.0,0.0,,,,,
도원삼성래미안,81㎡,서울시 용산구 도원동 23,서울시 용산구 새창로 70,1458.0,0.0,,"10억 5,000~15억","4억~6억 5,000","3,000/270~4억 3,000/60","3,000/270~4억 3,000/60"
도원삼성래미안,108A㎡,서울시 용산구 도원동 23,서울시 용산구 새창로 70,1458.0,0.0,,"13억~17억 5,000","5억 2,900~8억","4억 9,000/75","4억 9,000/75"
도원삼성래미안,108B㎡,서울시 용산구 도원동 23,서울시 용산구 새창로 70,1458.0,0.0,,"14억 5,000~18억","5억~5억 5,000",3억/80~4억/40,3억/80~4억/40
도원삼성래미안,142B㎡,서울시 용산구 도원동 23,서울시 용산구 새창로 70,1458.0,0.0,,16억~19억,7억~8억,"1억/300~3억 5,000/250","1억/300~3억 5,000/250"
도원삼성래미안,142A,서울시 용산구 도원동 23,서울시 용산구 새창로 70,1458.0,0.0,,15억~19억,"7억 5,000~10억 5,000",1억/300~6억/60,1억/300~6억/60
제일,45A㎡,서울시 용산구 도원동 3-4,서울시 용산구 새창로12길 11-7,34.0,0.0,,,"2억~2억 2,000",,
제일,45C㎡,서울시 용산구 도원동 3-4,서울시 용산구 새창로12길 11-7,34.0,0.0,,,2억,,
제일,45B,서울시 용산구 도원동 3-4,서울시 용산구 새창로12길 11-7,34.0,0.0,,,,,
노블캐슬,178A㎡,서울시 용산구 동빙고동 310-10,서울시 용산구 장문로 30,14.0,0.0,,25억,,,
노블캐슬,179B,서울시 용산구 동빙고동 310-10,서울시 용산구 장문로 30,14.0,0.0,,,,,
라이온스,107㎡,서울시 용산구 동빙고동 310-17,서울시 용산구 장문로 24,14.0,0.0,,,,,
