아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
G-캐슬,48㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,54㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,64㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,68A㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,70B㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,73A㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,74㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,74B㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,74C㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,89㎡,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
G-캐슬,118,서울시 은평구 갈현동 487-2,서울시 은평구 연서로21길 25,18.0,0.0,,,,,
갈현건영,74㎡,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,"3억 9,500~4억 6,000","2억 8,000~3억 1,000",,
갈현건영,95㎡,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,,,,
갈현건영,102㎡,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,,"3억 5,000~3억 8,000",,
갈현건영,104A㎡,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,"6억 1,000","3억 7,000~6억","2억 2,000/60~3억/150","2억 2,000/60~3억/150"
갈현건영,104B㎡,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,,4억,,
갈현건영,105C,서울시 은평구 갈현동 541-1,서울시 은평구 갈현로45길 57,140.0,0.0,,,,,
갈현삼성,98A㎡,서울시 은평구 갈현동 544,서울시 은평구 서오릉로 228,32.0,0.0,,"6억~6억 6,000","3억 8,000",,
갈현삼성,99B,서울시 은평구 갈현동 544,서울시 은평구 서오릉로 228,32.0,0.0,,,,,
갈현현대,77㎡,서울시 은평구 갈현동 537,서울시 은평구 갈현로33길 24,278.0,0.0,,"6억~6억 3,000","3억~3억 2,000",1억/80,1억/80
갈현현대,110㎡,서울시 은평구 갈현동 537,서울시 은평구 갈현로33길 24,278.0,0.0,,"8억~9억 5,000",,"1억 8,000/55~1억 8,900/51","1억 8,000/55~1억 8,900/51"
갈현현대,115㎡,서울시 은평구 갈현동 537,서울시 은평구 갈현로33길 24,278.0,0.0,,,,,
갈현현대,142㎡,서울시 은평구 갈현동 537,서울시 은평구 갈현로33길 24,278.0,0.0,,,,,
갈현현대,144,서울시 은평구 갈현동 537,서울시 은평구 갈현로33길 24,278.0,0.0,,10억~11억,"5억 6,000~5억 8,000",,
"골드스타(민간임대,도시형)",17A㎡,서울시 은평구 갈현동 456-19,서울시 은평구 연서로29길 7-19,20.0,20.0,,,,"9,000/15","9,000/15"
"골드스타(민간임대,도시형)",17B㎡,서울시 은평구 갈현동 456-19,서울시 은평구 연서로29길 7-19,20.0,20.0,,,,,
"골드스타(민간임대,도시형)",17C㎡,서울시 은평구 갈현동 456-19,서울시 은평구 연서로29길 7-19,20.0,20.0,,,,,
"골드스타(민간임대,도시형)",24,서울시 은평구 갈현동 456-19,서울시 은평구 연서로29길 7-19,20.0,20.0,,,,,
대양,48㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,64㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,71㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,76A㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,77B㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,80㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,82㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,90㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,93㎡,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대양,96,서울시 은평구 갈현동 281-208,서울시 은평구 갈현로37길 64,19.0,0.0,,,,,
대한웰빙홈(도시형),28㎡,서울시 은평구 갈현동 549,서울시 은평구 통일로 925,86.0,0.0,,,,"3,000/53","3,000/53"
대한웰빙홈(도시형),45㎡,서울시 은평구 갈현동 549,서울시 은평구 통일로 925,86.0,0.0,,,,,
대한웰빙홈(도시형),56,서울시 은평구 갈현동 549,서울시 은평구 통일로 925,86.0,0.0,,,"2억 2,050~2억 3,100",,
대훈,77㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,81㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,89A㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,"6억 5,000","3억 5,000",,
대훈,90B㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,92A㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,93E㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,93B㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
대훈,93C㎡,서울시 은평구 갈현동 136-6,서울시 은평구 연서로25길 23-9,19.0,0.0,,,,,
