아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
종로1가대성스카이렉스(주상복합),142㎡,서울시 종로구 견지동 110,서울시 종로구 삼봉로 95,54.0,0.0,107500.0,18억,,,
종로1가대성스카이렉스(주상복합),166㎡,서울시 종로구 견지동 110,서울시 종로구 삼봉로 95,54.0,0.0,125000.0,18억,,,
종로1가대성스카이렉스(주상복합),179B㎡,서울시 종로구 견지동 110,서울시 종로구 삼봉로 95,54.0,0.0,135000.0,,,,
종로1가대성스카이렉스(주상복합),181A,서울시 종로구 견지동 110,서울시 종로구 삼봉로 95,54.0,0.0,135000.0,,,,
종로하이뷰디아트(도시형),20D㎡,서울시 종로구 관수동 98-1,서울시 종로구 종로18길 37,24.0,0.0,,,,,
종로하이뷰디아트(도시형),23A㎡,서울시 종로구 관수동 98-1,서울시 종로구 종로18길 37,24.0,0.0,,,,"1,000/95","1,000/95"
종로하이뷰디아트(도시형),25B㎡,서울시 종로구 관수동 98-1,서울시 종로구 종로18길 37,24.0,0.0,,,,,
종로하이뷰디아트(도시형),30C,서울시 종로구 관수동 98-1,서울시 종로구 종로18길 37,24.0,0.0,,,"2억 3,000",,
경희궁자이4단지,50㎡,서울시 종로구 교북동 126,서울시 종로구 송월길 155,182.0,0.0,79000.0,"8억 5,000",,,
경희궁자이4단지,55㎡,서울시 종로구 교북동 126,서울시 종로구 송월길 155,182.0,0.0,88000.0,"8억 5,000~9억 5,000",,"5,000/180~3억/90","5,000/180~3억/90"
경희궁자이4단지,67,서울시 종로구 교북동 126,서울시 종로구 송월길 155,182.0,0.0,117000.0,"11억 3,000~12억 7,000","6억~6억 7,000",1억/165~4억/120,1억/165~4억/120
동아,81㎡,서울시 종로구 교북동 101,서울시 종로구 송월길 147,48.0,0.0,79000.0,"7억 5,000~8억 5,000",,,
동아,115㎡,서울시 종로구 교북동 101,서울시 종로구 송월길 147,48.0,0.0,88000.0,11억,"4억 8,000",,
동아,131㎡,서울시 종로구 교북동 101,서울시 종로구 송월길 147,48.0,0.0,,,,,
동아,135㎡,서울시 종로구 교북동 101,서울시 종로구 송월길 147,48.0,0.0,117000,"11억 5,000~12억",7억,,
동아,156,서울시 종로구 교북동 101,서울시 종로구 송월길 147,48.0,0.0,,,,,
건덕,121㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,134A㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,136B㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,136C㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,149㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,193㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,196㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,202㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,206㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,208A㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,209B㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,213㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,223A㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,224B㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,229㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,232㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,238㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,1억/400,1억/400
건덕,244㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,251㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,"19억 5,000",,,
건덕,265㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,319㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,341㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,374㎡,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
건덕,380,서울시 종로구 구기동 160-3,서울시 종로구 비봉4길 40,78.0,0.0,,,,,
구기현대,93㎡,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,,,,
구기현대,99A㎡,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,,,,
구기현대,99B㎡,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,"8억 4,000",,,
구기현대,106㎡,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,,,,
구기현대,108㎡,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,,"5억 5,000",,
구기현대,123,서울시 종로구 구기동 130,서울시 종로구 비봉길 14,139.0,0.0,,,,,
동익,110㎡,서울시 종로구 구기동 40,서울시 종로구 홍지문길 64,123.0,0.0,,"7억~7억 1,000","4억 5,000~5억",,
동익,188,서울시 종로구 구기동 40,서울시 종로구 홍지문길 64,123.0,0.0,,,,,
렉스팰리스,202㎡,서울시 종로구 구기동 95-1,서울시 종로구 진흥로22나길 18,17.0,0.0,,,,,
렉스팰리스,213㎡,서울시 종로구 구기동 95-1,서울시 종로구 진흥로22나길 18,17.0,0.0,,,,,
